relationship_id,source_entity_id,target_entity_id,relationship_type,ground_truth_status
REL_000062,PERSON_0736,PERSON_0785,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000063,PERSON_0794,PERSON_1327,ASSOCIATED_WITH,INNOCENT
REL_000064,PERSON_0809,PERSON_0969,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000065,PERSON_0833,PERSON_1232,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000066,PERSON_0833,PERSON_1343,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000067,PERSON_0884,PERSON_1446,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000068,PERSON_0892,PERSON_1159,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000069,PERSON_0894,PERSON_1383,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000070,PERSON_0945,PERSON_1203,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000071,PERSON_0966,PERSON_0981,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000072,PERSON_0969,PERSON_1226,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000073,PERSON_0991,PERSON_1166,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000074,PERSON_1002,PERSON_1269,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000075,PERSON_1046,PERSON_1242,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000076,PERSON_1079,PERSON_1278,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000077,PERSON_1104,PERSON_1226,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000078,PERSON_1114,PERSON_1421,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000079,PERSON_1170,PERSON_1190,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000080,PERSON_1303,PERSON_1449,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000081,PERSON_1332,PERSON_1390,ASSOCIATED_WITH,INNOCENT
REL_000082,PERSON_1350,PERSON_1380,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000083,PERSON_1049,PERSON_1236,CALLED,WEAK
REL_000084,PERSON_0631,PERSON_1432,CALLED,UNKNOWN
REL_000085,PERSON_0521,PERSON_1249,CALLED,WEAK
REL_000086,PERSON_0191,PERSON_0456,CALLED,LIKELY
REL_000087,PERSON_0342,PERSON_1256,CALLED,LIKELY
REL_000088,PERSON_0266,PERSON_1400,CALLED,UNKNOWN
REL_000089,PERSON_1081,PERSON_1112,CALLED,LIKELY
REL_000090,PERSON_0141,PERSON_0909,CALLED,LIKELY
REL_000091,PERSON_0023,PERSON_0063,CALLED,LIKELY
REL_000092,PERSON_0074,PERSON_0419,CALLED,WEAK
REL_000093,PERSON_1232,PERSON_1469,CALLED,UNKNOWN
REL_000094,PERSON_0221,PERSON_0908,CALLED,UNKNOWN
REL_000095,PERSON_0174,PERSON_1166,CALLED,WEAK
REL_000096,PERSON_0421,PERSON_1273,CALLED,LIKELY
REL_000097,PERSON_0177,PERSON_1002,CALLED,WEAK
REL_000098,PERSON_0538,PERSON_0923,CALLED,UNKNOWN
REL_000099,PERSON_0008,PERSON_1311,CALLED,UNKNOWN
REL_000100,PERSON_0051,PERSON_0291,CALLED,LIKELY
REL_000101,PERSON_1238,PERSON_1251,CALLED,LIKELY
REL_000102,PERSON_0362,PERSON_0564,CALLED,WEAK
REL_000103,PERSON_0543,PERSON_1391,CALLED,LIKELY
REL_000104,PERSON_0483,PERSON_1014,CALLED,WEAK
REL_000105,PERSON_0995,PERSON_1161,CALLED,UNKNOWN
REL_000106,PERSON_0780,PERSON_0836,CALLED,LIKELY
REL_000107,PERSON_0725,PERSON_1408,CALLED,WEAK
REL_000108,PERSON_0356,PERSON_1413,CALLED,LIKELY
REL_000109,PERSON_1482,PERSON_1498,CALLED,LIKELY
REL_000110,PERSON_0488,PERSON_1354,CALLED,WEAK
REL_000111,PERSON_0027,PERSON_0603,CALLED,LIKELY
REL_000112,PERSON_0584,PERSON_0591,CALLED,WEAK
REL_000113,PERSON_0197,PERSON_0868,CALLED,UNKNOWN
REL_000114,PERSON_0788,PERSON_0917,CALLED,WEAK
REL_000115,PERSON_0700,PERSON_1458,CALLED,WEAK
REL_000116,PERSON_0682,PERSON_0871,CALLED,UNKNOWN
REL_000117,PERSON_0070,PERSON_0259,CALLED,UNKNOWN
REL_000118,PERSON_0171,PERSON_0506,CALLED,WEAK
REL_000119,PERSON_0348,PERSON_1201,CALLED,UNKNOWN
REL_000120,PERSON_0102,PERSON_0395,CALLED,LIKELY
REL_000121,PERSON_0066,PERSON_1366,CALLED,WEAK
REL_000122,PERSON_0387,PERSON_0847,CALLED,UNKNOWN
REL_000123,PERSON_0690,PERSON_0993,CALLED,WEAK
REL_000124,PERSON_0303,PERSON_1111,CALLED,UNKNOWN
REL_000125,PERSON_0454,PERSON_0561,CALLED,UNKNOWN
REL_000126,PERSON_1183,PERSON_1246,CALLED,LIKELY
REL_000127,PERSON_0092,PERSON_0172,CALLED,UNKNOWN
REL_000128,PERSON_0424,PERSON_1042,CALLED,UNKNOWN
REL_000129,PERSON_0283,PERSON_0641,CALLED,WEAK
REL_000130,PERSON_0128,PERSON_0961,CALLED,LIKELY
REL_000131,PERSON_0631,PERSON_0807,CALLED,LIKELY
REL_000132,PERSON_0484,PERSON_0965,CALLED,LIKELY
REL_000133,PERSON_0890,PERSON_1033,CALLED,UNKNOWN
REL_000134,PERSON_0964,PERSON_1097,CALLED,LIKELY
REL_000135,PERSON_1228,PERSON_1482,CALLED,UNKNOWN
REL_000136,PERSON_0538,PERSON_0620,CALLED,LIKELY
REL_000137,PERSON_1261,PERSON_1449,CALLED,UNKNOWN
REL_000138,PERSON_1384,PERSON_1484,CALLED,WEAK
REL_000139,PERSON_0456,PERSON_0867,CALLED,UNKNOWN
REL_000140,PERSON_0287,PERSON_1132,CALLED,UNKNOWN
REL_000141,PERSON_0519,PERSON_1408,CALLED,WEAK
REL_000142,PERSON_0646,PERSON_0780,CALLED,WEAK
REL_000143,PERSON_0397,PERSON_1367,CALLED,WEAK
REL_000144,PERSON_1050,PERSON_1356,CALLED,LIKELY
REL_000145,PERSON_0076,PERSON_1112,CALLED,LIKELY
REL_000146,PERSON_1085,PERSON_1326,CALLED,UNKNOWN
REL_000147,PERSON_0638,PERSON_0824,CALLED,WEAK
REL_000148,PERSON_0280,PERSON_1454,CALLED,LIKELY
REL_000149,PERSON_0748,PERSON_1485,CALLED,WEAK
REL_000150,PERSON_0610,PERSON_0634,CALLED,WEAK
REL_000151,PERSON_0323,PERSON_1367,CALLED,LIKELY
REL_000152,PERSON_0272,PERSON_0556,CALLED,UNKNOWN
REL_000153,PERSON_0210,PERSON_1351,CALLED,LIKELY
REL_000154,PERSON_0294,PERSON_1474,CALLED,LIKELY
REL_000155,PERSON_1171,PERSON_1484,CALLED,UNKNOWN
REL_000156,PERSON_0809,PERSON_1464,CALLED,WEAK
REL_000157,PERSON_0222,PERSON_1499,CALLED,UNKNOWN
REL_000158,PERSON_0601,PERSON_1477,CALLED,WEAK
REL_000159,PERSON_0076,PERSON_1088,CALLED,LIKELY
REL_000160,PERSON_0054,PERSON_1234,CALLED,LIKELY
REL_000161,PERSON_0193,PERSON_1186,CALLED,WEAK
REL_000162,PERSON_0163,PERSON_1034,CALLED,LIKELY
REL_000163,PERSON_0052,PERSON_0488,CALLED,WEAK
REL_000164,PERSON_0461,PERSON_1318,CALLED,UNKNOWN
REL_000165,PERSON_0602,PERSON_1112,CALLED,WEAK
REL_000166,PERSON_1149,PERSON_1441,CALLED,WEAK
REL_000167,PERSON_0172,PERSON_1136,CALLED,UNKNOWN
REL_000168,PERSON_0372,PERSON_0437,CALLED,WEAK
REL_000169,PERSON_0029,PERSON_0601,CALLED,WEAK
REL_000170,PERSON_0903,PERSON_1025,CALLED,UNKNOWN
REL_000171,PERSON_0679,PERSON_1004,CALLED,LIKELY
REL_000172,PERSON_0989,PERSON_1065,CALLED,WEAK
REL_000173,PERSON_0186,PERSON_1328,CALLED,WEAK
REL_000174,PERSON_0546,PERSON_0905,CALLED,WEAK
REL_000175,PERSON_0023,PERSON_0604,CALLED,UNKNOWN
REL_000176,PERSON_0117,PERSON_0673,CALLED,WEAK
REL_000177,PERSON_0340,PERSON_1390,CALLED,UNKNOWN
REL_000178,PERSON_1383,PERSON_1438,CALLED,LIKELY
REL_000179,PERSON_0727,PERSON_1017,CALLED,LIKELY
REL_000180,PERSON_0386,PERSON_1438,CALLED,UNKNOWN
REL_000181,PERSON_0809,PERSON_0958,CALLED,WEAK
REL_000182,PERSON_0041,PERSON_1210,CALLED,LIKELY
REL_000183,PERSON_0625,PERSON_0902,CALLED,WEAK
REL_000184,PERSON_0152,PERSON_0538,CALLED,LIKELY
REL_000185,PERSON_0093,PERSON_0839,CALLED,LIKELY
REL_000186,PERSON_0101,PERSON_0372,CALLED,WEAK
REL_000187,PERSON_0771,PERSON_1255,CALLED,UNKNOWN
REL_000188,PERSON_0464,PERSON_0688,CALLED,LIKELY
REL_000189,PERSON_0731,PERSON_1074,CALLED,WEAK
REL_000190,PERSON_0344,PERSON_0449,CALLED,WEAK
REL_000191,PERSON_0697,PERSON_0994,CALLED,LIKELY
REL_000192,PERSON_0003,PERSON_0962,CALLED,WEAK
REL_000193,PERSON_0598,PERSON_1140,CALLED,WEAK
REL_000194,PERSON_0049,PERSON_0512,CALLED,WEAK
REL_000195,PERSON_0241,PERSON_0846,CALLED,UNKNOWN
REL_000196,PERSON_0313,PERSON_1355,CALLED,UNKNOWN
REL_000197,PERSON_0706,PERSON_0727,CALLED,WEAK
REL_000198,PERSON_1360,PERSON_1407,CALLED,WEAK
REL_000199,PERSON_0517,PERSON_0938,CALLED,WEAK
REL_000200,PERSON_0519,PERSON_0920,CALLED,LIKELY
REL_000201,PERSON_1294,PERSON_1482,CALLED,WEAK
REL_000202,PERSON_0351,PERSON_0365,CALLED,WEAK
REL_000203,PERSON_0673,PERSON_1026,CALLED,WEAK
REL_000204,PERSON_1367,PERSON_1413,CALLED,WEAK
REL_000205,PERSON_0094,PERSON_0538,CALLED,WEAK
REL_000206,PERSON_0214,PERSON_1221,CALLED,WEAK
REL_000207,PERSON_0050,PERSON_1336,CALLED,LIKELY
REL_000208,PERSON_0713,PERSON_0812,CALLED,UNKNOWN
REL_000209,PERSON_0588,PERSON_1445,CALLED,WEAK
REL_000210,PERSON_0032,PERSON_0595,CALLED,UNKNOWN
REL_000211,PERSON_0185,PERSON_1390,CALLED,WEAK
REL_000212,PERSON_0072,PERSON_0437,CALLED,UNKNOWN
REL_000213,PERSON_0502,PERSON_1166,CALLED,WEAK
REL_000214,PERSON_0138,PERSON_0445,CALLED,WEAK
REL_000215,PERSON_1110,PERSON_1122,CALLED,LIKELY
REL_000216,PERSON_0174,PERSON_1266,CALLED,LIKELY
REL_000217,PERSON_1014,PERSON_1386,CALLED,UNKNOWN
REL_000218,PERSON_0535,PERSON_0630,CALLED,LIKELY
REL_000219,PERSON_0076,PERSON_0759,CALLED,UNKNOWN
REL_000220,PERSON_0817,PERSON_1216,CALLED,LIKELY
REL_000221,PERSON_0271,PERSON_1432,CALLED,WEAK
REL_000222,PERSON_0068,PERSON_0185,CALLED,WEAK
REL_000223,PERSON_0199,PERSON_0889,CALLED,LIKELY
REL_000224,PERSON_0922,PERSON_1085,CALLED,WEAK
REL_000225,PERSON_0565,PERSON_0827,CALLED,WEAK
REL_000226,PERSON_0514,PERSON_1403,CALLED,WEAK
REL_000227,PERSON_0800,PERSON_1140,CALLED,LIKELY
REL_000228,PERSON_0460,PERSON_1068,CALLED,LIKELY
REL_000229,PERSON_0193,PERSON_0582,CALLED,UNKNOWN
REL_000230,PERSON_0887,PERSON_1315,CALLED,LIKELY
REL_000231,PERSON_0216,PERSON_1047,CALLED,UNKNOWN
REL_000232,PERSON_0127,PERSON_1179,CALLED,LIKELY
REL_000233,PERSON_0049,PERSON_0198,CALLED,WEAK
REL_000234,PERSON_0415,PERSON_0593,CALLED,UNKNOWN
REL_000235,PERSON_0520,PERSON_1369,CALLED,WEAK
REL_000236,PERSON_0790,PERSON_0839,CALLED,LIKELY
REL_000237,PERSON_0076,PERSON_0706,CALLED,UNKNOWN
REL_000238,PERSON_0343,PERSON_0731,CALLED,UNKNOWN
REL_000239,PERSON_0475,PERSON_0839,CALLED,WEAK
REL_000240,PERSON_0831,PERSON_1101,CALLED,WEAK
REL_000241,PERSON_0099,PERSON_0246,CALLED,WEAK
REL_000242,PERSON_0118,PERSON_1090,CALLED,LIKELY
REL_000243,PERSON_0611,PERSON_1425,CALLED,WEAK
REL_000244,PERSON_0456,PERSON_1166,CALLED,LIKELY
REL_000245,PERSON_0280,PERSON_1323,CALLED,UNKNOWN
REL_000246,PERSON_1029,PERSON_1243,CALLED,WEAK
REL_000247,PERSON_1126,PERSON_1335,CALLED,LIKELY
REL_000248,PERSON_0898,PERSON_1095,CALLED,WEAK
REL_000249,PERSON_0741,PERSON_0817,CALLED,WEAK
REL_000250,PERSON_0385,PERSON_1005,CALLED,WEAK
REL_000251,PERSON_0954,PERSON_1316,CALLED,LIKELY
REL_000252,PERSON_0339,PERSON_0538,CALLED,UNKNOWN
REL_000253,PERSON_0173,PERSON_0767,CALLED,UNKNOWN
REL_000254,PERSON_0410,PERSON_0759,CALLED,LIKELY
REL_000255,PERSON_1171,PERSON_1291,CALLED,LIKELY
REL_000256,PERSON_0438,PERSON_1256,CALLED,UNKNOWN
REL_000257,PERSON_0443,PERSON_1097,CALLED,LIKELY
REL_000258,PERSON_1127,PERSON_1474,CALLED,UNKNOWN
REL_000259,PERSON_1097,PERSON_1476,CALLED,UNKNOWN
REL_000260,PERSON_0490,PERSON_1284,CALLED,UNKNOWN
REL_000261,PERSON_0060,PERSON_0173,CALLED,UNKNOWN
REL_000262,PERSON_0764,PERSON_0821,CALLED,LIKELY
REL_000263,PERSON_0311,PERSON_1388,CALLED,UNKNOWN
REL_000264,PERSON_0267,PERSON_0742,CALLED,WEAK
REL_000265,PERSON_0938,PERSON_1274,CALLED,UNKNOWN
REL_000266,PERSON_0453,PERSON_1051,CALLED,UNKNOWN
REL_000267,PERSON_0103,PERSON_0724,CALLED,LIKELY
REL_000268,PERSON_0561,PERSON_1031,CALLED,WEAK
REL_000269,PERSON_0279,PERSON_0753,CALLED,LIKELY
REL_000270,PERSON_0878,PERSON_1236,CALLED,LIKELY
REL_000271,PERSON_0235,PERSON_0357,CALLED,WEAK
REL_000272,PERSON_0709,PERSON_0931,CALLED,UNKNOWN
REL_000273,PERSON_0206,PERSON_0455,CALLED,WEAK
REL_000274,PERSON_0199,PERSON_0305,CALLED,WEAK
REL_000275,PERSON_0203,PERSON_0257,CALLED,WEAK
REL_000276,PERSON_0528,PERSON_1340,CALLED,WEAK
REL_000277,PERSON_1068,PERSON_1396,CALLED,LIKELY
REL_000278,PERSON_0314,PERSON_1202,CALLED,WEAK
REL_000279,PERSON_0184,PERSON_1495,CALLED,UNKNOWN
REL_000280,PERSON_0797,PERSON_1359,CALLED,LIKELY
REL_000281,PERSON_0155,PERSON_0951,CALLED,UNKNOWN
REL_000282,PERSON_1349,PERSON_1467,CALLED,WEAK
REL_000283,PERSON_0588,PERSON_0678,CALLED,UNKNOWN
REL_000284,PERSON_1105,PERSON_1358,CALLED,UNKNOWN
REL_000285,PERSON_0164,PERSON_0596,CALLED,UNKNOWN
REL_000286,PERSON_0353,PERSON_1149,CALLED,WEAK
REL_000287,PERSON_0740,PERSON_1206,CALLED,WEAK
REL_000288,PERSON_0147,PERSON_0820,CALLED,WEAK
REL_000289,PERSON_0046,PERSON_0103,CALLED,LIKELY
REL_000290,PERSON_0565,PERSON_1364,CALLED,LIKELY
REL_000291,PERSON_0297,PERSON_0641,CALLED,LIKELY
REL_000292,PERSON_1153,PERSON_1323,CALLED,UNKNOWN
REL_000293,PERSON_0646,PERSON_1234,CALLED,UNKNOWN
REL_000294,PERSON_0265,PERSON_0408,CALLED,WEAK
REL_000295,PERSON_0007,PERSON_1433,CALLED,WEAK
REL_000296,PERSON_0481,PERSON_1269,CALLED,UNKNOWN
REL_000297,PERSON_0034,PERSON_0151,CALLED,LIKELY
REL_000298,PERSON_1037,PERSON_1042,CALLED,UNKNOWN
REL_000299,PERSON_0512,PERSON_1241,CALLED,UNKNOWN
REL_000300,PERSON_0559,PERSON_0641,CALLED,WEAK
REL_000301,PERSON_0707,PERSON_0827,CALLED,UNKNOWN
REL_000302,PERSON_0530,PERSON_0847,CALLED,UNKNOWN
REL_000303,PERSON_0307,PERSON_0912,CALLED,WEAK
REL_000304,PERSON_0857,PERSON_1399,CALLED,LIKELY
REL_000305,PERSON_0323,PERSON_1445,CALLED,WEAK
REL_000306,PERSON_0411,PERSON_1063,CALLED,WEAK
REL_000307,PERSON_0918,PERSON_1423,CALLED,LIKELY
REL_000308,PERSON_0961,PERSON_1367,CALLED,WEAK
REL_000309,PERSON_0153,PERSON_1290,CALLED,LIKELY
REL_000310,PERSON_1103,PERSON_1291,CALLED,WEAK
REL_000311,PERSON_0356,PERSON_1015,CALLED,WEAK
REL_000312,PERSON_0598,PERSON_0930,CALLED,LIKELY
REL_000313,PERSON_0128,PERSON_0203,CALLED,LIKELY
REL_000314,PERSON_0731,PERSON_1414,CALLED,UNKNOWN
REL_000315,PERSON_0837,PERSON_0992,CALLED,LIKELY
REL_000316,PERSON_0217,PERSON_0911,CALLED,UNKNOWN
REL_000317,PERSON_0984,PERSON_1375,CALLED,UNKNOWN
REL_000318,PERSON_0437,PERSON_1110,CALLED,LIKELY
REL_000319,PERSON_0074,PERSON_0474,CALLED,UNKNOWN
REL_000320,PERSON_0122,PERSON_0148,CALLED,UNKNOWN
REL_000321,PERSON_0086,PERSON_1379,CALLED,WEAK
REL_000322,PERSON_0773,PERSON_1155,CALLED,LIKELY
REL_000323,PERSON_0550,PERSON_0900,CALLED,WEAK
REL_000324,PERSON_0177,PERSON_1040,CALLED,WEAK
REL_000325,PERSON_0019,PERSON_0053,CALLED,UNKNOWN
REL_000326,PERSON_0528,PERSON_0962,CALLED,WEAK
REL_000327,PERSON_0352,PERSON_1409,CALLED,LIKELY
REL_000328,PERSON_0912,PERSON_1337,CALLED,UNKNOWN
REL_000329,PERSON_0593,PERSON_1319,CALLED,WEAK
REL_000330,PERSON_0413,PERSON_0935,CALLED,UNKNOWN
REL_000331,PERSON_0049,PERSON_1495,CALLED,LIKELY
REL_000332,PERSON_0341,PERSON_0622,CALLED,UNKNOWN
REL_000333,PERSON_0300,PERSON_1231,CALLED,WEAK
REL_000334,PERSON_1134,PERSON_1193,CALLED,UNKNOWN
REL_000335,PERSON_0066,PERSON_0958,CALLED,WEAK
REL_000336,PERSON_1053,PERSON_1175,CALLED,UNKNOWN
REL_000337,PERSON_0662,PERSON_1037,CALLED,WEAK
REL_000338,PERSON_0039,PERSON_0394,CALLED,WEAK
REL_000339,PERSON_0936,PERSON_0998,CALLED,WEAK
REL_000340,PERSON_0188,PERSON_1223,CALLED,WEAK
REL_000341,PERSON_0139,PERSON_1227,CALLED,WEAK
REL_000342,PERSON_1129,PERSON_1271,CALLED,UNKNOWN
REL_000343,PERSON_1153,PERSON_1269,CALLED,UNKNOWN
REL_000344,PERSON_0205,PERSON_0532,CALLED,UNKNOWN
REL_000345,PERSON_0702,PERSON_1160,CALLED,LIKELY
REL_000346,PERSON_0402,PERSON_1250,CALLED,WEAK
REL_000347,PERSON_0207,PERSON_1038,CALLED,WEAK
REL_000348,PERSON_0686,PERSON_1327,CALLED,UNKNOWN
REL_000349,PERSON_0603,PERSON_0920,CALLED,WEAK
REL_000350,PERSON_0148,PERSON_0204,CALLED,LIKELY
REL_000351,PERSON_0305,PERSON_0607,CALLED,UNKNOWN
REL_000352,PERSON_0480,PERSON_0876,CALLED,WEAK
REL_000353,PERSON_0199,PERSON_0954,CALLED,UNKNOWN
REL_000354,PERSON_0908,PERSON_0963,CALLED,UNKNOWN
REL_000355,PERSON_0893,PERSON_1177,CALLED,LIKELY
REL_000356,PERSON_0876,PERSON_1272,CALLED,UNKNOWN
REL_000357,PERSON_0303,PERSON_1293,CALLED,WEAK
REL_000358,PERSON_0275,PERSON_1248,CALLED,LIKELY
REL_000359,PERSON_0424,PERSON_0596,CALLED,UNKNOWN
REL_000360,PERSON_0127,PERSON_1404,CALLED,LIKELY
REL_000361,PERSON_0388,PERSON_0512,CALLED,WEAK
REL_000362,PERSON_0244,PERSON_0929,CALLED,LIKELY
REL_000363,PERSON_0891,PERSON_1163,CALLED,LIKELY
REL_000364,PERSON_0024,PERSON_0483,CALLED,UNKNOWN
REL_000365,PERSON_0243,PERSON_0923,CALLED,WEAK
REL_000366,PERSON_0060,PERSON_0907,CALLED,UNKNOWN
REL_000367,PERSON_0121,PERSON_0841,CALLED,UNKNOWN
REL_000368,PERSON_1439,PERSON_1443,CALLED,LIKELY
REL_000369,PERSON_0721,PERSON_0811,CALLED,WEAK
REL_000370,PERSON_0384,PERSON_0729,CALLED,WEAK
REL_000371,PERSON_0844,PERSON_1100,CALLED,WEAK
REL_000372,PERSON_0387,PERSON_1396,CALLED,WEAK
REL_000373,PERSON_0875,PERSON_1340,CALLED,WEAK
REL_000374,PERSON_0471,PERSON_0549,CALLED,WEAK
REL_000375,PERSON_0162,PERSON_0194,CALLED,WEAK
REL_000376,PERSON_0707,PERSON_0796,CALLED,LIKELY
REL_000377,PERSON_0603,PERSON_0945,CALLED,UNKNOWN
REL_000378,PERSON_0670,PERSON_1307,CALLED,WEAK
REL_000379,PERSON_0036,PERSON_1253,CALLED,UNKNOWN
REL_000380,PERSON_0340,PERSON_0370,CALLED,WEAK
REL_000381,PERSON_0426,PERSON_0640,CALLED,WEAK
REL_000382,PERSON_1363,PERSON_1490,CALLED,UNKNOWN
