network_id,person_id,role,pattern,case_id
NET_005,PERSON_0105,PERIPHERAL_ASSOCIATE,PATTERN4_BRANCH,CASE_0005
NET_005,PERSON_1002,BROKER,PATTERN4_BRANCH,CASE_0005
NET_005,PERSON_1269,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0005
NET_005,PERSON_0807,FINANCIAL_FACILITATOR,PATTERN4_BRANCH,CASE_0005
NET_005,PERSON_0959,PERIPHERAL_ASSOCIATE,PATTERN4_BRANCH,CASE_0005
NET_005,PERSON_1363,PERIPHERAL_ASSOCIATE,PATTERN4_BRANCH,CASE_0005
NET_005,PERSON_1405,PERIPHERAL_ASSOCIATE,PATTERN4_BRANCH,CASE_0005
NET_005,PERSON_1044,INNOCENT_CONTACT,PATTERN4_BRANCH,CASE_0005
NET_005,PERSON_1092,INNOCENT_CONTACT,PATTERN4_BRANCH,CASE_0005
NET_005,PERSON_0748,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0005
NET_005,PERSON_1103,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0005
NET_005,PERSON_0650,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0005
NET_005,PERSON_1468,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0005
NET_005,PERSON_0591,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0005
NET_006,PERSON_1190,UPSTREAM_COORDINATOR,PATTERN1_ABC_EVENT,CASE_0006
NET_006,PERSON_1170,BROKER,PATTERN1_ABC_EVENT,CASE_0006
NET_006,PERSON_0266,OPERATIONAL_MEMBER,PATTERN1_ABC_EVENT,CASE_0006
NET_006,PERSON_0660,FINANCIAL_FACILITATOR,PATTERN1_ABC_EVENT,CASE_0006
NET_006,PERSON_1352,HIGH_DEGREE_INNOCENT,PATTERN1_ABC_EVENT,CASE_0006
NET_006,PERSON_0219,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0006
NET_006,PERSON_1286,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0006
NET_006,PERSON_0854,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0006
NET_006,PERSON_1188,INNOCENT_CONTACT,PATTERN1_ABC_EVENT,CASE_0006
NET_006,PERSON_1282,INNOCENT_CONTACT,PATTERN1_ABC_EVENT,CASE_0006
NET_006,PERSON_1066,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0006
NET_006,PERSON_1056,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0006
NET_006,PERSON_1186,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0006
NET_006,PERSON_0790,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0006
NET_006,PERSON_0937,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0006
NET_007,PERSON_1499,UPSTREAM_COORDINATOR,PATTERN3_CONVERGENT,CASE_0007
NET_007,PERSON_0037,BROKER,PATTERN3_CONVERGENT,CASE_0007
NET_007,PERSON_1449,BROKER,PATTERN3_CONVERGENT,CASE_0007
NET_007,PERSON_1303,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0007
NET_007,PERSON_0766,FINANCIAL_FACILITATOR,PATTERN3_CONVERGENT,CASE_0007
NET_007,PERSON_0171,PERIPHERAL_ASSOCIATE,PATTERN3_CONVERGENT,CASE_0007
NET_007,PERSON_0298,PERIPHERAL_ASSOCIATE,PATTERN3_CONVERGENT,CASE_0007
NET_007,PERSON_0022,PERIPHERAL_ASSOCIATE,PATTERN3_CONVERGENT,CASE_0007
NET_007,PERSON_0696,INNOCENT_CONTACT,PATTERN3_CONVERGENT,CASE_0007
NET_007,PERSON_0083,INNOCENT_CONTACT,PATTERN3_CONVERGENT,CASE_0007
NET_007,PERSON_1250,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0007
NET_007,PERSON_0554,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0007
NET_007,PERSON_1353,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0007
NET_007,PERSON_0666,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0007
NET_007,PERSON_1115,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0007
NET_008,PERSON_0398,UPSTREAM_COORDINATOR,PATTERN1_ABC_EVENT,CASE_0008
NET_008,PERSON_0736,BROKER,PATTERN1_ABC_EVENT,CASE_0008
NET_008,PERSON_0785,OPERATIONAL_MEMBER,PATTERN1_ABC_EVENT,CASE_0008
NET_008,PERSON_0198,FINANCIAL_FACILITATOR,PATTERN1_ABC_EVENT,CASE_0008
NET_008,PERSON_1285,HIGH_DEGREE_INNOCENT,PATTERN1_ABC_EVENT,CASE_0008
NET_008,PERSON_0370,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0008
NET_008,PERSON_0392,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0008
NET_008,PERSON_0970,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0008
NET_008,PERSON_0187,INNOCENT_CONTACT,PATTERN1_ABC_EVENT,CASE_0008
NET_008,PERSON_0050,INNOCENT_CONTACT,PATTERN1_ABC_EVENT,CASE_0008
NET_008,PERSON_1389,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0008
NET_008,PERSON_1438,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0008
NET_008,PERSON_0779,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0008
NET_008,PERSON_1063,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0008
NET_008,PERSON_0517,PERIPHERAL_ASSOCIATE,PATTERN1_ABC_EVENT,CASE_0008
NET_009,PERSON_0671,UPSTREAM_COORDINATOR,PATTERN3_CONVERGENT,CASE_0009
NET_009,PERSON_0639,BROKER,PATTERN3_CONVERGENT,CASE_0009
NET_009,PERSON_1203,BROKER,PATTERN3_CONVERGENT,CASE_0009
NET_009,PERSON_0945,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0009
NET_009,PERSON_0302,FINANCIAL_FACILITATOR,PATTERN3_CONVERGENT,CASE_0009
NET_009,PERSON_0500,PERIPHERAL_ASSOCIATE,PATTERN3_CONVERGENT,CASE_0009
NET_009,PERSON_1310,PERIPHERAL_ASSOCIATE,PATTERN3_CONVERGENT,CASE_0009
NET_009,PERSON_1461,PERIPHERAL_ASSOCIATE,PATTERN3_CONVERGENT,CASE_0009
NET_009,PERSON_0200,INNOCENT_CONTACT,PATTERN3_CONVERGENT,CASE_0009
NET_009,PERSON_0727,INNOCENT_CONTACT,PATTERN3_CONVERGENT,CASE_0009
NET_009,PERSON_0065,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0009
NET_009,PERSON_0319,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0009
NET_009,PERSON_0032,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0009
NET_009,PERSON_0938,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0009
NET_009,PERSON_0676,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0009
NET_010,PERSON_0104,UPSTREAM_COORDINATOR,PATTERN5_BROKER_FANOUT,CASE_0010
NET_010,PERSON_1433,BROKER,PATTERN5_BROKER_FANOUT,CASE_0010
NET_010,PERSON_0551,OPERATIONAL_MEMBER,PATTERN5_BROKER_FANOUT,CASE_0010
NET_010,PERSON_0180,OPERATIONAL_MEMBER,PATTERN5_BROKER_FANOUT,CASE_0010
NET_010,PERSON_0030,OPERATIONAL_MEMBER,PATTERN5_BROKER_FANOUT,CASE_0010
NET_010,PERSON_1483,FINANCIAL_FACILITATOR,PATTERN5_BROKER_FANOUT,CASE_0010
NET_010,PERSON_0974,PERIPHERAL_ASSOCIATE,PATTERN5_BROKER_FANOUT,CASE_0010
NET_010,PERSON_0067,PERIPHERAL_ASSOCIATE,PATTERN5_BROKER_FANOUT,CASE_0010
NET_010,PERSON_0046,PERIPHERAL_ASSOCIATE,PATTERN5_BROKER_FANOUT,CASE_0010
NET_010,PERSON_0985,INNOCENT_CONTACT,PATTERN5_BROKER_FANOUT,CASE_0010
NET_010,PERSON_0467,INNOCENT_CONTACT,PATTERN5_BROKER_FANOUT,CASE_0010
NET_010,PERSON_1171,RECRUITER,PATTERN5_BROKER_FANOUT,CASE_0010
NET_010,PERSON_1341,RECRUITER,PATTERN5_BROKER_FANOUT,CASE_0010
NET_010,PERSON_0713,RECRUITER,PATTERN5_BROKER_FANOUT,CASE_0010
NET_010,PERSON_1035,RECRUITER,PATTERN5_BROKER_FANOUT,CASE_0010
NET_011,PERSON_1242,UPSTREAM_COORDINATOR,PATTERN4_BRANCH,CASE_0011
NET_011,PERSON_1046,PERIPHERAL_ASSOCIATE,PATTERN4_BRANCH,CASE_0011
NET_011,PERSON_0256,BROKER,PATTERN4_BRANCH,CASE_0011
NET_011,PERSON_1376,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0011
NET_011,PERSON_1412,FINANCIAL_FACILITATOR,PATTERN4_BRANCH,CASE_0011
NET_011,PERSON_0726,PERIPHERAL_ASSOCIATE,PATTERN4_BRANCH,CASE_0011
NET_011,PERSON_0788,PERIPHERAL_ASSOCIATE,PATTERN4_BRANCH,CASE_0011
NET_011,PERSON_1336,PERIPHERAL_ASSOCIATE,PATTERN4_BRANCH,CASE_0011
NET_011,PERSON_1206,INNOCENT_CONTACT,PATTERN4_BRANCH,CASE_0011
NET_011,PERSON_0698,INNOCENT_CONTACT,PATTERN4_BRANCH,CASE_0011
NET_011,PERSON_0504,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0011
NET_011,PERSON_1007,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0011
NET_011,PERSON_0048,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0011
NET_011,PERSON_0376,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0011
NET_011,PERSON_1464,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0011
NET_012,PERSON_0423,UPSTREAM_COORDINATOR,PATTERN5_BROKER_FANOUT,CASE_0012
NET_012,PERSON_0784,BROKER,PATTERN5_BROKER_FANOUT,CASE_0012
NET_012,PERSON_0580,OPERATIONAL_MEMBER,PATTERN5_BROKER_FANOUT,CASE_0012
NET_012,PERSON_0903,OPERATIONAL_MEMBER,PATTERN5_BROKER_FANOUT,CASE_0012
NET_012,PERSON_0725,OPERATIONAL_MEMBER,PATTERN5_BROKER_FANOUT,CASE_0012
NET_012,PERSON_1204,FINANCIAL_FACILITATOR,PATTERN5_BROKER_FANOUT,CASE_0012
NET_012,PERSON_0857,PERIPHERAL_ASSOCIATE,PATTERN5_BROKER_FANOUT,CASE_0012
NET_012,PERSON_0146,PERIPHERAL_ASSOCIATE,PATTERN5_BROKER_FANOUT,CASE_0012
NET_012,PERSON_0618,PERIPHERAL_ASSOCIATE,PATTERN5_BROKER_FANOUT,CASE_0012
NET_012,PERSON_0269,INNOCENT_CONTACT,PATTERN5_BROKER_FANOUT,CASE_0012
NET_012,PERSON_0311,INNOCENT_CONTACT,PATTERN5_BROKER_FANOUT,CASE_0012
NET_012,PERSON_0874,RECRUITER,PATTERN5_BROKER_FANOUT,CASE_0012
NET_012,PERSON_0095,RECRUITER,PATTERN5_BROKER_FANOUT,CASE_0012
NET_012,PERSON_0752,RECRUITER,PATTERN5_BROKER_FANOUT,CASE_0012
NET_012,PERSON_0803,RECRUITER,PATTERN5_BROKER_FANOUT,CASE_0012
