network_id,person_id,role
NET_006,PERSON_0937,PERIPHERAL_ASSOCIATE
NET_007,PERSON_1499,UPSTREAM_COORDINATOR
NET_007,PERSON_0037,BROKER
NET_007,PERSON_1449,BROKER
NET_007,PERSON_1303,OPERATIONAL_MEMBER
NET_007,PERSON_0766,FINANCIAL_FACILITATOR
NET_007,PERSON_0171,PERIPHERAL_ASSOCIATE
NET_007,PERSON_0298,PERIPHERAL_ASSOCIATE
NET_007,PERSON_0022,PERIPHERAL_ASSOCIATE
NET_007,PERSON_0696,INNOCENT_CONTACT
NET_007,PERSON_0083,INNOCENT_CONTACT
NET_007,PERSON_1250,OPERATIONAL_MEMBER
NET_007,PERSON_0554,OPERATIONAL_MEMBER
NET_007,PERSON_1353,OPERATIONAL_MEMBER
NET_007,PERSON_0666,OPERATIONAL_MEMBER
NET_007,PERSON_1115,OPERATIONAL_MEMBER
NET_008,PERSON_0398,UPSTREAM_COORDINATOR
NET_008,PERSON_0736,BROKER
NET_008,PERSON_0785,OPERATIONAL_MEMBER
NET_008,PERSON_0198,FINANCIAL_FACILITATOR
NET_008,PERSON_1285,HIGH_DEGREE_INNOCENT
NET_008,PERSON_0370,PERIPHERAL_ASSOCIATE
NET_008,PERSON_0392,PERIPHERAL_ASSOCIATE
NET_008,PERSON_0970,PERIPHERAL_ASSOCIATE
NET_008,PERSON_0187,INNOCENT_CONTACT
NET_008,PERSON_0050,INNOCENT_CONTACT
NET_008,PERSON_1389,PERIPHERAL_ASSOCIATE
NET_008,PERSON_1438,PERIPHERAL_ASSOCIATE
NET_008,PERSON_0779,PERIPHERAL_ASSOCIATE
NET_008,PERSON_1063,PERIPHERAL_ASSOCIATE
NET_008,PERSON_0517,PERIPHERAL_ASSOCIATE
NET_009,PERSON_0671,UPSTREAM_COORDINATOR
NET_009,PERSON_0639,BROKER
NET_009,PERSON_1203,BROKER
NET_009,PERSON_0945,OPERATIONAL_MEMBER
NET_009,PERSON_0302,FINANCIAL_FACILITATOR
NET_009,PERSON_0500,PERIPHERAL_ASSOCIATE
NET_009,PERSON_1310,PERIPHERAL_ASSOCIATE
NET_009,PERSON_1461,PERIPHERAL_ASSOCIATE
NET_009,PERSON_0200,INNOCENT_CONTACT
NET_009,PERSON_0727,INNOCENT_CONTACT
NET_009,PERSON_0065,OPERATIONAL_MEMBER
NET_009,PERSON_0319,OPERATIONAL_MEMBER
NET_009,PERSON_0032,OPERATIONAL_MEMBER
NET_009,PERSON_0938,OPERATIONAL_MEMBER
NET_009,PERSON_0676,OPERATIONAL_MEMBER
NET_010,PERSON_0104,UPSTREAM_COORDINATOR
NET_010,PERSON_1433,BROKER
NET_010,PERSON_0551,OPERATIONAL_MEMBER
NET_010,PERSON_0180,OPERATIONAL_MEMBER
NET_010,PERSON_0030,OPERATIONAL_MEMBER
NET_010,PERSON_1483,FINANCIAL_FACILITATOR
NET_010,PERSON_0974,PERIPHERAL_ASSOCIATE
NET_010,PERSON_0067,PERIPHERAL_ASSOCIATE
NET_010,PERSON_0046,PERIPHERAL_ASSOCIATE
NET_010,PERSON_0985,INNOCENT_CONTACT
NET_010,PERSON_0467,INNOCENT_CONTACT
NET_010,PERSON_1171,RECRUITER
NET_010,PERSON_1341,RECRUITER
NET_010,PERSON_0713,RECRUITER
NET_010,PERSON_1035,RECRUITER
NET_011,PERSON_1242,UPSTREAM_COORDINATOR
NET_011,PERSON_1046,PERIPHERAL_ASSOCIATE
NET_011,PERSON_0256,BROKER
NET_011,PERSON_1376,OPERATIONAL_MEMBER
NET_011,PERSON_1412,FINANCIAL_FACILITATOR
NET_011,PERSON_0726,PERIPHERAL_ASSOCIATE
NET_011,PERSON_0788,PERIPHERAL_ASSOCIATE
NET_011,PERSON_1336,PERIPHERAL_ASSOCIATE
NET_011,PERSON_1206,INNOCENT_CONTACT
NET_011,PERSON_0698,INNOCENT_CONTACT
NET_011,PERSON_0504,OPERATIONAL_MEMBER
NET_011,PERSON_1007,OPERATIONAL_MEMBER
NET_011,PERSON_0048,OPERATIONAL_MEMBER
NET_011,PERSON_0376,OPERATIONAL_MEMBER
NET_011,PERSON_1464,OPERATIONAL_MEMBER
NET_012,PERSON_0423,UPSTREAM_COORDINATOR
NET_012,PERSON_0784,BROKER
NET_012,PERSON_0580,OPERATIONAL_MEMBER
NET_012,PERSON_0903,OPERATIONAL_MEMBER
NET_012,PERSON_0725,OPERATIONAL_MEMBER
NET_012,PERSON_1204,FINANCIAL_FACILITATOR
NET_012,PERSON_0857,PERIPHERAL_ASSOCIATE
NET_012,PERSON_0146,PERIPHERAL_ASSOCIATE
NET_012,PERSON_0618,PERIPHERAL_ASSOCIATE
NET_012,PERSON_0269,INNOCENT_CONTACT
NET_012,PERSON_0311,INNOCENT_CONTACT
NET_012,PERSON_0874,RECRUITER
NET_012,PERSON_0095,RECRUITER
NET_012,PERSON_0752,RECRUITER
NET_012,PERSON_0803,RECRUITER
