co_travel_id,person_id_1,person_id_2,vehicle_id_1,vehicle_id_2,n_shared_trips,strength,has_direct_calls
COTRAVEL_STRONG_026,PERSON_0087,PERSON_1003,VEHICLE_00460,VEHICLE_00480,8,strong,False
COTRAVEL_STRONG_027,PERSON_1387,PERSON_1479,VEHICLE_00541,VEHICLE_00331,5,strong,False
COTRAVEL_STRONG_028,PERSON_0401,PERSON_0933,VEHICLE_00742,VEHICLE_00671,5,strong,False
COTRAVEL_STRONG_029,PERSON_0628,PERSON_1115,VEHICLE_00294,VEHICLE_00051,7,strong,False
COTRAVEL_STRONG_030,PERSON_1447,PERSON_0693,VEHICLE_00698,VEHICLE_00741,8,strong,False
COTRAVEL_STRONG_031,PERSON_0900,PERSON_0042,VEHICLE_00577,VEHICLE_00263,9,strong,False
COTRAVEL_STRONG_032,PERSON_0973,PERSON_0626,VEHICLE_00248,VEHICLE_00450,4,strong,False
COTRAVEL_STRONG_033,PERSON_1443,PERSON_0711,VEHICLE_00138,VEHICLE_00481,4,strong,False
COTRAVEL_STRONG_034,PERSON_1437,PERSON_0549,VEHICLE_00497,VEHICLE_00604,5,strong,False
COTRAVEL_STRONG_035,PERSON_0176,PERSON_0149,VEHICLE_00272,VEHICLE_00324,7,strong,False
COTRAVEL_STRONG_036,PERSON_0996,PERSON_0129,VEHICLE_00733,VEHICLE_00275,5,strong,False
COTRAVEL_STRONG_037,PERSON_0821,PERSON_1141,VEHICLE_00521,VEHICLE_00622,7,strong,False
COTRAVEL_STRONG_038,PERSON_0751,PERSON_0613,VEHICLE_00227,VEHICLE_00557,9,strong,False
COTRAVEL_STRONG_039,PERSON_0686,PERSON_0816,VEHICLE_00559,VEHICLE_00124,4,strong,False
COTRAVEL_STRONG_040,PERSON_0874,PERSON_0923,VEHICLE_00511,VEHICLE_00487,8,strong,False
COTRAVEL_STRONG_041,PERSON_0737,PERSON_1370,VEHICLE_00473,VEHICLE_00230,8,strong,False
COTRAVEL_STRONG_042,PERSON_0789,PERSON_0334,VEHICLE_00447,VEHICLE_00385,6,strong,False
COTRAVEL_STRONG_043,PERSON_0438,PERSON_0373,VEHICLE_00590,VEHICLE_00496,7,strong,False
COTRAVEL_STRONG_044,PERSON_0201,PERSON_0164,VEHICLE_00669,VEHICLE_00545,6,strong,False
COTRAVEL_STRONG_045,PERSON_0061,PERSON_1341,VEHICLE_00378,VEHICLE_00373,6,strong,False
COTRAVEL_STRONG_046,PERSON_0477,PERSON_0431,VEHICLE_00092,VEHICLE_00558,5,strong,False
COTRAVEL_STRONG_047,PERSON_0792,PERSON_1436,VEHICLE_00433,VEHICLE_00196,7,strong,False
COTRAVEL_STRONG_048,PERSON_1435,PERSON_0833,VEHICLE_00659,VEHICLE_00016,8,strong,False
COTRAVEL_STRONG_049,PERSON_0177,PERSON_0861,VEHICLE_00579,VEHICLE_00200,5,strong,False
COTRAVEL_STRONG_050,PERSON_0370,PERSON_0040,VEHICLE_00404,VEHICLE_00218,7,strong,False
COTRAVEL_STRONG_051,PERSON_0486,PERSON_0280,VEHICLE_00015,VEHICLE_00327,4,strong,False
COTRAVEL_STRONG_052,PERSON_0406,PERSON_0659,VEHICLE_00131,VEHICLE_00389,7,strong,False
COTRAVEL_STRONG_053,PERSON_0889,PERSON_0929,VEHICLE_00633,VEHICLE_00403,8,strong,False
COTRAVEL_STRONG_054,PERSON_0558,PERSON_0489,VEHICLE_00467,VEHICLE_00308,4,strong,False
COTRAVEL_STRONG_055,PERSON_0017,PERSON_0220,VEHICLE_00472,VEHICLE_00721,7,strong,False
COTRAVEL_WEAK_001,PERSON_0503,PERSON_1291,VEHICLE_00746,VEHICLE_00247,1,weak,False
COTRAVEL_WEAK_002,PERSON_0104,PERSON_0082,VEHICLE_00064,VEHICLE_00619,1,weak,False
COTRAVEL_WEAK_003,PERSON_0450,PERSON_0715,VEHICLE_00513,VEHICLE_00287,1,weak,False
COTRAVEL_WEAK_004,PERSON_0600,PERSON_0771,VEHICLE_00100,VEHICLE_00630,1,weak,False
COTRAVEL_WEAK_005,PERSON_0093,PERSON_1206,VEHICLE_00370,VEHICLE_00713,1,weak,False
COTRAVEL_WEAK_006,PERSON_1410,PERSON_0256,VEHICLE_00271,VEHICLE_00070,1,weak,False
COTRAVEL_WEAK_007,PERSON_0743,PERSON_1198,VEHICLE_00355,VEHICLE_00241,1,weak,False
COTRAVEL_WEAK_008,PERSON_1033,PERSON_0283,VEHICLE_00711,VEHICLE_00705,1,weak,False
COTRAVEL_WEAK_009,PERSON_0616,PERSON_0829,VEHICLE_00346,VEHICLE_00582,1,weak,False
COTRAVEL_WEAK_010,PERSON_0083,PERSON_0278,VEHICLE_00184,VEHICLE_00381,1,weak,False
COTRAVEL_WEAK_011,PERSON_1396,PERSON_0894,VEHICLE_00328,VEHICLE_00438,1,weak,False
COTRAVEL_WEAK_012,PERSON_1296,PERSON_0796,VEHICLE_00368,VEHICLE_00719,1,weak,False
COTRAVEL_WEAK_013,PERSON_0698,PERSON_0173,VEHICLE_00750,VEHICLE_00395,1,weak,False
COTRAVEL_WEAK_014,PERSON_0352,PERSON_1376,VEHICLE_00627,VEHICLE_00071,1,weak,False
COTRAVEL_WEAK_015,PERSON_0107,PERSON_1139,VEHICLE_00012,VEHICLE_00749,1,weak,False
COTRAVEL_WEAK_016,PERSON_0318,PERSON_1364,VEHICLE_00295,VEHICLE_00265,1,weak,False
COTRAVEL_WEAK_017,PERSON_1303,PERSON_0679,VEHICLE_00046,VEHICLE_00125,1,weak,False
COTRAVEL_WEAK_018,PERSON_0221,PERSON_0295,VEHICLE_00152,VEHICLE_00376,1,weak,False
COTRAVEL_WEAK_019,PERSON_0317,PERSON_1212,VEHICLE_00143,VEHICLE_00761,1,weak,False
COTRAVEL_WEAK_020,PERSON_0592,PERSON_0802,VEHICLE_00601,VEHICLE_00278,1,weak,False
COTRAVEL_WEAK_021,PERSON_0702,PERSON_0410,VEHICLE_00693,VEHICLE_00538,1,weak,False
COTRAVEL_WEAK_022,PERSON_1438,PERSON_0768,VEHICLE_00748,VEHICLE_00445,1,weak,False
COTRAVEL_WEAK_023,PERSON_0062,PERSON_1321,VEHICLE_00137,VEHICLE_00107,1,weak,False
COTRAVEL_WEAK_024,PERSON_0470,PERSON_0067,VEHICLE_00600,VEHICLE_00330,1,weak,False
COTRAVEL_WEAK_025,PERSON_0264,PERSON_0268,VEHICLE_00658,VEHICLE_00560,1,weak,False
COTRAVEL_WEAK_026,PERSON_0981,PERSON_1154,VEHICLE_00540,VEHICLE_00314,1,weak,False
COTRAVEL_WEAK_027,PERSON_0452,PERSON_0057,VEHICLE_00583,VEHICLE_00509,1,weak,False
COTRAVEL_WEAK_028,PERSON_0404,PERSON_1386,VEHICLE_00591,VEHICLE_00396,1,weak,False
COTRAVEL_WEAK_029,PERSON_1054,PERSON_1472,VEHICLE_00646,VEHICLE_00292,1,weak,False
COTRAVEL_WEAK_030,PERSON_1069,PERSON_1243,VEHICLE_00182,VEHICLE_00716,1,weak,False
COTRAVEL_WEAK_031,PERSON_0922,PERSON_1227,VEHICLE_00458,VEHICLE_00589,1,weak,False
COTRAVEL_WEAK_032,PERSON_1449,PERSON_1135,VEHICLE_00045,VEHICLE_00140,1,weak,False
COTRAVEL_WEAK_033,PERSON_0050,PERSON_1267,VEHICLE_00689,VEHICLE_00145,1,weak,False
COTRAVEL_WEAK_034,PERSON_0215,PERSON_0448,VEHICLE_00102,VEHICLE_00400,1,weak,False
COTRAVEL_WEAK_035,PERSON_0865,PERSON_0294,VEHICLE_00663,VEHICLE_00202,1,weak,False
COTRAVEL_WEAK_036,PERSON_0559,PERSON_0319,VEHICLE_00363,VEHICLE_00060,1,weak,False
COTRAVEL_WEAK_037,PERSON_0454,PERSON_0537,VEHICLE_00629,VEHICLE_00425,1,weak,False
COTRAVEL_WEAK_038,PERSON_1153,PERSON_0263,VEHICLE_00522,VEHICLE_00199,1,weak,False
COTRAVEL_WEAK_039,PERSON_1161,PERSON_0270,VEHICLE_00388,VEHICLE_00321,1,weak,False
COTRAVEL_WEAK_040,PERSON_1060,PERSON_1312,VEHICLE_00023,VEHICLE_00578,1,weak,False
COTRAVEL_WEAK_041,PERSON_1002,PERSON_1383,VEHICLE_00033,VEHICLE_00398,1,weak,False
COTRAVEL_WEAK_042,PERSON_0524,PERSON_0029,VEHICLE_00637,VEHICLE_00028,1,weak,False
COTRAVEL_WEAK_043,PERSON_0269,PERSON_0908,VEHICLE_00621,VEHICLE_00085,1,weak,False
COTRAVEL_WEAK_044,PERSON_1103,PERSON_0938,VEHICLE_00036,VEHICLE_00062,1,weak,False
COTRAVEL_WEAK_045,PERSON_0266,PERSON_1497,VEHICLE_00042,VEHICLE_00626,1,weak,False
COTRAVEL_WEAK_046,PERSON_0775,PERSON_0275,VEHICLE_00234,VEHICLE_00666,1,weak,False
COTRAVEL_WEAK_047,PERSON_1408,PERSON_0593,VEHICLE_00470,VEHICLE_00172,1,weak,False
COTRAVEL_WEAK_048,PERSON_1330,PERSON_1400,VEHICLE_00309,VEHICLE_00239,1,weak,False
COTRAVEL_WEAK_049,PERSON_0864,PERSON_0755,VEHICLE_00098,VEHICLE_00166,1,weak,False
COTRAVEL_WEAK_050,PERSON_1019,PERSON_0697,VEHICLE_00335,VEHICLE_00743,1,weak,False
COTRAVEL_WEAK_051,PERSON_0795,PERSON_0984,VEHICLE_00415,VEHICLE_00281,1,weak,False
COTRAVEL_WEAK_052,PERSON_0615,PERSON_0636,VEHICLE_00528,VEHICLE_00159,1,weak,False
COTRAVEL_WEAK_053,PERSON_1099,PERSON_1338,VEHICLE_00329,VEHICLE_00580,1,weak,False
COTRAVEL_WEAK_054,PERSON_0760,PERSON_1016,VEHICLE_00421,VEHICLE_00357,1,weak,False
COTRAVEL_WEAK_055,PERSON_0238,PERSON_0391,VEHICLE_00162,VEHICLE_00692,1,weak,False
COTRAVEL_WEAK_056,PERSON_1185,PERSON_0345,VEHICLE_00738,VEHICLE_00359,1,weak,False
COTRAVEL_WEAK_057,PERSON_0793,PERSON_1240,VEHICLE_00534,VEHICLE_00332,1,weak,False
COTRAVEL_WEAK_058,PERSON_0562,PERSON_0290,VEHICLE_00236,VEHICLE_00245,1,weak,False
COTRAVEL_WEAK_059,PERSON_0039,PERSON_1166,VEHICLE_00383,VEHICLE_00611,1,weak,False
COTRAVEL_WEAK_060,PERSON_0975,PERSON_0976,VEHICLE_00597,VEHICLE_00655,1,weak,False
COTRAVEL_WEAK_061,PERSON_0692,PERSON_1360,VEHICLE_00262,VEHICLE_00090,1,weak,False
COTRAVEL_WEAK_062,PERSON_0962,PERSON_1290,VEHICLE_00029,VEHICLE_00500,1,weak,False
COTRAVEL_WEAK_063,PERSON_0603,PERSON_0752,VEHICLE_00529,VEHICLE_00089,1,weak,False
COTRAVEL_WEAK_064,PERSON_1262,PERSON_0650,VEHICLE_00471,VEHICLE_00037,1,weak,False
COTRAVEL_WEAK_065,PERSON_0288,PERSON_1323,VEHICLE_00387,VEHICLE_00486,1,weak,False
COTRAVEL_WEAK_066,PERSON_0329,PERSON_0955,VEHICLE_00623,VEHICLE_00186,1,weak,False
COTRAVEL_WEAK_067,PERSON_1342,PERSON_0203,VEHICLE_00452,VEHICLE_00505,1,weak,False
COTRAVEL_WEAK_068,PERSON_0302,PERSON_1265,VEHICLE_00728,VEHICLE_00737,1,weak,False
COTRAVEL_WEAK_069,PERSON_0872,PERSON_1248,VEHICLE_00284,VEHICLE_00688,1,weak,False
COTRAVEL_WEAK_070,PERSON_1398,PERSON_1349,VEHICLE_00574,VEHICLE_00554,1,weak,False
COTRAVEL_WEAK_071,PERSON_0732,PERSON_1211,VEHICLE_00544,VEHICLE_00399,1,weak,False
COTRAVEL_WEAK_072,PERSON_1469,PERSON_1170,VEHICLE_00014,VEHICLE_00041,1,weak,False
COTRAVEL_WEAK_073,PERSON_1336,PERSON_1026,VEHICLE_00127,VEHICLE_00270,1,weak,False
COTRAVEL_WEAK_074,PERSON_0564,PERSON_1499,VEHICLE_00514,VEHICLE_00043,1,weak,False
COTRAVEL_WEAK_075,PERSON_0208,PERSON_0554,VEHICLE_00644,VEHICLE_00048,1,weak,False
COTRAVEL_WEAK_076,PERSON_0023,PERSON_0428,VEHICLE_00155,VEHICLE_00110,1,weak,False
COTRAVEL_WEAK_077,PERSON_1313,PERSON_0041,VEHICLE_00685,VEHICLE_00617,1,weak,False
COTRAVEL_WEAK_078,PERSON_0296,PERSON_0500,VEHICLE_00730,VEHICLE_00266,1,weak,False
COTRAVEL_WEAK_079,PERSON_0117,PERSON_0301,VEHICLE_00762,VEHICLE_00595,1,weak,False
COTRAVEL_WEAK_080,PERSON_0920,PERSON_0951,VEHICLE_00229,VEHICLE_00504,1,weak,False
COTRAVEL_WEAK_081,PERSON_0573,PERSON_0633,VEHICLE_00517,VEHICLE_00542,1,weak,False
COTRAVEL_WEAK_082,PERSON_1102,PERSON_1418,VEHICLE_00175,VEHICLE_00434,1,weak,False
COTRAVEL_WEAK_083,PERSON_1412,PERSON_0974,VEHICLE_00096,VEHICLE_00568,1,weak,False
COTRAVEL_WEAK_084,PERSON_0354,PERSON_0608,VEHICLE_00297,VEHICLE_00384,1,weak,False
COTRAVEL_WEAK_085,PERSON_1404,PERSON_0657,VEHICLE_00598,VEHICLE_00120,1,weak,False
COTRAVEL_WEAK_086,PERSON_0661,PERSON_0941,VEHICLE_00212,VEHICLE_00699,1,weak,False
COTRAVEL_WEAK_087,PERSON_1245,PERSON_0516,VEHICLE_00546,VEHICLE_00657,1,weak,False
COTRAVEL_WEAK_088,PERSON_0814,PERSON_0660,VEHICLE_00401,VEHICLE_00641,1,weak,False
COTRAVEL_WEAK_089,PERSON_0063,PERSON_0577,VEHICLE_00718,VEHICLE_00083,1,weak,False
COTRAVEL_WEAK_090,PERSON_0308,PERSON_0748,VEHICLE_00724,VEHICLE_00035,1,weak,False
COTRAVEL_WEAK_091,PERSON_0605,PERSON_0736,VEHICLE_00516,VEHICLE_00053,1,weak,False
COTRAVEL_WEAK_092,PERSON_0501,PERSON_0578,VEHICLE_00482,VEHICLE_00437,1,weak,False
COTRAVEL_WEAK_093,PERSON_1452,PERSON_1047,VEHICLE_00556,VEHICLE_00429,1,weak,False
COTRAVEL_WEAK_094,PERSON_0990,PERSON_1236,VEHICLE_00668,VEHICLE_00171,1,weak,False
COTRAVEL_WEAK_095,PERSON_0032,PERSON_0423,VEHICLE_00061,VEHICLE_00077,1,weak,False
COTRAVEL_WEAK_096,PERSON_0204,PERSON_1216,VEHICLE_00727,VEHICLE_00168,1,weak,False
COTRAVEL_WEAK_097,PERSON_0353,PERSON_0972,VEHICLE_00507,VEHICLE_00628,1,weak,False
COTRAVEL_WEAK_098,PERSON_0468,PERSON_0458,VEHICLE_00613,VEHICLE_00128,1,weak,False
COTRAVEL_WEAK_099,PERSON_1460,PERSON_1358,VEHICLE_00672,VEHICLE_00569,1,weak,False
COTRAVEL_WEAK_100,PERSON_0888,PERSON_0412,VEHICLE_00687,VEHICLE_00091,1,weak,False
COTRAVEL_WEAK_101,PERSON_0904,PERSON_1292,VEHICLE_00310,VEHICLE_00356,1,weak,False
COTRAVEL_WEAK_102,PERSON_0824,PERSON_0260,VEHICLE_00697,VEHICLE_00366,1,weak,False
COTRAVEL_WEAK_103,PERSON_0427,PERSON_0863,VEHICLE_00011,VEHICLE_00180,1,weak,False
COTRAVEL_WEAK_104,PERSON_0196,PERSON_0089,VEHICLE_00150,VEHICLE_00084,1,weak,False
COTRAVEL_WEAK_105,PERSON_1280,PERSON_1333,VEHICLE_00192,VEHICLE_00315,1,weak,False
COTRAVEL_WEAK_106,PERSON_0071,PERSON_0868,VEHICLE_00103,VEHICLE_00195,1,weak,False
COTRAVEL_WEAK_107,PERSON_1137,PERSON_0545,VEHICLE_00700,VEHICLE_00189,1,weak,False
COTRAVEL_WEAK_108,PERSON_1221,PERSON_0906,VEHICLE_00382,VEHICLE_00268,1,weak,False
COTRAVEL_WEAK_109,PERSON_0137,PERSON_0262,VEHICLE_00249,VEHICLE_00745,1,weak,False
COTRAVEL_WEAK_110,PERSON_0723,PERSON_0646,VEHICLE_00662,VEHICLE_00694,1,weak,False
