source_id,source_type,target_id,target_type,edge_type,timestamp,weight,confidence,source_record_id
PERSON_0371,PERSON,PERSON_0611,PERSON,ASSOCIATED_WITH,2026-06-08 15:16:07,1.0,0.62,CDR_AGG_PERSON_0371_PERSON_0611
PERSON_0373,PERSON,PERSON_0411,PERSON,ASSOCIATED_WITH,2026-05-15 04:58:12,1.0,0.75,CDR_AGG_PERSON_0373_PERSON_0411
PERSON_0397,PERSON,PERSON_0405,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-08-29 21:00:50,0.1,0.81,CDR_AGG_PERSON_0397_PERSON_0405
PERSON_0398,PERSON,PERSON_0736,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-05-12 06:46:40,0.15,0.77,CDR_AGG_PERSON_0398_PERSON_0736
PERSON_0403,PERSON,PERSON_0743,PERSON,ASSOCIATED_WITH,2026-06-12 12:46:37,1.0,0.72,CDR_AGG_PERSON_0403_PERSON_0743
PERSON_0405,PERSON,PERSON_1459,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-08-29 20:35:50,0.1,0.93,CDR_AGG_PERSON_0405_PERSON_1459
PERSON_0417,PERSON,PERSON_1447,PERSON,ASSOCIATED_WITH,2026-04-26 12:30:29,1.0,0.71,CDR_AGG_PERSON_0417_PERSON_1447
PERSON_0423,PERSON,PERSON_0784,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-04-05 14:10:43,0.1,0.76,CDR_AGG_PERSON_0423_PERSON_0784
PERSON_0445,PERSON,PERSON_0673,PERSON,ASSOCIATED_WITH,2026-05-13 05:29:18,0.9,0.76,CDR_AGG_PERSON_0445_PERSON_0673
PERSON_0452,PERSON,PERSON_1131,PERSON,ASSOCIATED_WITH,2026-05-22 06:01:16,0.9,0.63,CDR_AGG_PERSON_0452_PERSON_1131
PERSON_0478,PERSON,PERSON_1369,PERSON,ASSOCIATED_WITH,2026-05-29 15:51:28,1.0,0.59,CDR_AGG_PERSON_0478_PERSON_1369
PERSON_0486,PERSON,PERSON_1343,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-10-15 10:29:43,0.15,0.76,CDR_AGG_PERSON_0486_PERSON_1343
PERSON_0509,PERSON,PERSON_1184,PERSON,ASSOCIATED_WITH,2026-03-08 10:38:47,1.0,0.71,CDR_AGG_PERSON_0509_PERSON_1184
PERSON_0522,PERSON,PERSON_1026,PERSON,ASSOCIATED_WITH,2026-06-07 02:09:33,1.0,0.8,CDR_AGG_PERSON_0522_PERSON_1026
PERSON_0527,PERSON,PERSON_1163,PERSON,ASSOCIATED_WITH,2026-04-26 16:22:40,1.0,0.64,CDR_AGG_PERSON_0527_PERSON_1163
PERSON_0539,PERSON,PERSON_1358,PERSON,ASSOCIATED_WITH,2026-05-27 11:20:31,1.0,0.57,CDR_AGG_PERSON_0539_PERSON_1358
PERSON_0551,PERSON,PERSON_1433,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-10-20 16:03:44,0.15,0.87,CDR_AGG_PERSON_0551_PERSON_1433
PERSON_0560,PERSON,PERSON_1441,PERSON,ASSOCIATED_WITH,2026-05-01 12:16:54,0.85,0.73,CDR_AGG_PERSON_0560_PERSON_1441
PERSON_0565,PERSON,PERSON_1272,PERSON,ASSOCIATED_WITH,2026-06-07 01:04:11,1.0,0.66,CDR_AGG_PERSON_0565_PERSON_1272
PERSON_0570,PERSON,PERSON_1132,PERSON,ASSOCIATED_WITH,2026-04-13 01:01:24,1.0,0.7,CDR_AGG_PERSON_0570_PERSON_1132
PERSON_0580,PERSON,PERSON_0784,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-04-05 13:59:43,0.15,0.9,CDR_AGG_PERSON_0580_PERSON_0784
PERSON_0580,PERSON,PERSON_0903,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-04-05 13:47:43,0.15,0.87,CDR_AGG_PERSON_0580_PERSON_0903
PERSON_0582,PERSON,PERSON_1241,PERSON,ASSOCIATED_WITH,2026-05-27 18:21:54,1.0,0.76,CDR_AGG_PERSON_0582_PERSON_1241
PERSON_0603,PERSON,PERSON_1385,PERSON,ASSOCIATED_WITH,2026-06-27 10:18:06,1.0,0.68,CDR_AGG_PERSON_0603_PERSON_1385
PERSON_0639,PERSON,PERSON_0671,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-12-02 17:28:34,0.1,0.85,CDR_AGG_PERSON_0639_PERSON_0671
PERSON_0639,PERSON,PERSON_1203,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-12-02 17:13:34,0.25,0.84,CDR_AGG_PERSON_0639_PERSON_1203
PERSON_0669,PERSON,PERSON_0789,PERSON,ASSOCIATED_WITH,2026-06-26 02:02:33,1.0,0.69,CDR_AGG_PERSON_0669_PERSON_0789
PERSON_0710,PERSON,PERSON_1322,PERSON,ASSOCIATED_WITH,2026-05-19 03:19:41,1.0,0.62,CDR_AGG_PERSON_0710_PERSON_1322
PERSON_0720,PERSON,PERSON_0950,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-11-18 16:41:44,0.1,0.91,CDR_AGG_PERSON_0720_PERSON_0950
PERSON_0720,PERSON,PERSON_1060,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-11-18 17:04:44,0.15,0.91,CDR_AGG_PERSON_0720_PERSON_1060
PERSON_0725,PERSON,PERSON_0903,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-04-05 13:33:43,0.1,0.88,CDR_AGG_PERSON_0725_PERSON_0903
PERSON_0736,PERSON,PERSON_0785,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-05-12 06:24:40,0.15,0.89,CDR_AGG_PERSON_0736_PERSON_0785
PERSON_0794,PERSON,PERSON_1327,PERSON,ASSOCIATED_WITH,2026-06-02 06:38:40,1.0,0.72,CDR_AGG_PERSON_0794_PERSON_1327
PERSON_0809,PERSON,PERSON_0969,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-07-31 02:35:23,0.15,0.78,CDR_AGG_PERSON_0809_PERSON_0969
PERSON_0833,PERSON,PERSON_1232,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-10-15 09:50:43,0.1,0.89,CDR_AGG_PERSON_0833_PERSON_1232
PERSON_0833,PERSON,PERSON_1343,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-10-15 10:12:43,0.15,0.82,CDR_AGG_PERSON_0833_PERSON_1343
PERSON_0884,PERSON,PERSON_1446,PERSON,ASSOCIATED_WITH,2026-05-28 22:48:18,1.0,0.7,CDR_AGG_PERSON_0884_PERSON_1446
PERSON_0892,PERSON,PERSON_1159,PERSON,ASSOCIATED_WITH,2026-06-25 10:52:54,1.0,0.72,CDR_AGG_PERSON_0892_PERSON_1159
PERSON_0894,PERSON,PERSON_1383,PERSON,ASSOCIATED_WITH,2026-05-30 10:43:50,1.0,0.57,CDR_AGG_PERSON_0894_PERSON_1383
PERSON_0945,PERSON,PERSON_1203,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-12-02 17:02:34,0.1,0.84,CDR_AGG_PERSON_0945_PERSON_1203
PERSON_0966,PERSON,PERSON_0981,PERSON,ASSOCIATED_WITH,2026-06-08 12:04:39,1.0,0.66,CDR_AGG_PERSON_0966_PERSON_0981
PERSON_0969,PERSON,PERSON_1226,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-07-31 02:44:23,0.15,0.81,CDR_AGG_PERSON_0969_PERSON_1226
PERSON_0991,PERSON,PERSON_1166,PERSON,ASSOCIATED_WITH,2026-02-08 12:16:58,0.95,0.69,CDR_AGG_PERSON_0991_PERSON_1166
PERSON_1002,PERSON,PERSON_1269,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-05-14 16:23:21,0.2,0.84,CDR_AGG_PERSON_1002_PERSON_1269
PERSON_1046,PERSON,PERSON_1242,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-06-17 19:58:20,0.1,0.94,CDR_AGG_PERSON_1046_PERSON_1242
PERSON_1079,PERSON,PERSON_1278,PERSON,ASSOCIATED_WITH,2026-03-28 13:44:40,0.9,0.76,CDR_AGG_PERSON_1079_PERSON_1278
PERSON_1104,PERSON,PERSON_1226,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-07-31 02:57:23,0.1,0.84,CDR_AGG_PERSON_1104_PERSON_1226
PERSON_1114,PERSON,PERSON_1421,PERSON,ASSOCIATED_WITH,2026-05-09 11:01:08,1.0,0.63,CDR_AGG_PERSON_1114_PERSON_1421
PERSON_1170,PERSON,PERSON_1190,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-12-31 21:20:31,0.15,0.87,CDR_AGG_PERSON_1170_PERSON_1190
PERSON_1303,PERSON,PERSON_1449,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-01-19 20:24:00,0.1,0.92,CDR_AGG_PERSON_1303_PERSON_1449
PERSON_1332,PERSON,PERSON_1390,PERSON,ASSOCIATED_WITH,2026-06-15 22:31:18,1.0,0.61,CDR_AGG_PERSON_1332_PERSON_1390
PERSON_1350,PERSON,PERSON_1380,PERSON,ASSOCIATED_WITH,2026-06-19 06:39:51,0.9,0.73,CDR_AGG_PERSON_1350_PERSON_1380
PERSON_1049,PERSON,PERSON_1236,PERSON,CALLED,2026-02-05 07:24:14,0.05,0.58,CDR_AGG_PERSON_1049_PERSON_1236
PERSON_0631,PERSON,PERSON_1432,PERSON,CALLED,2025-05-05 18:35:02,0.05,0.78,CDR_AGG_PERSON_0631_PERSON_1432
PERSON_0521,PERSON,PERSON_1249,PERSON,CALLED,2025-12-09 15:59:17,0.05,0.57,CDR_AGG_PERSON_0521_PERSON_1249
PERSON_0191,PERSON,PERSON_0456,PERSON,CALLED,2025-03-15 15:02:41,0.05,0.72,CDR_AGG_PERSON_0191_PERSON_0456
PERSON_0342,PERSON,PERSON_1256,PERSON,CALLED,2026-04-04 03:15:39,0.05,0.68,CDR_AGG_PERSON_0342_PERSON_1256
PERSON_0266,PERSON,PERSON_1400,PERSON,CALLED,2025-06-20 22:43:07,0.05,0.73,CDR_AGG_PERSON_0266_PERSON_1400
PERSON_1081,PERSON,PERSON_1112,PERSON,CALLED,2026-06-21 16:18:30,0.05,0.57,CDR_AGG_PERSON_1081_PERSON_1112
PERSON_0141,PERSON,PERSON_0909,PERSON,CALLED,2025-04-16 07:54:12,0.05,0.43,CDR_AGG_PERSON_0141_PERSON_0909
PERSON_0023,PERSON,PERSON_0063,PERSON,CALLED,2025-05-27 11:22:23,0.05,0.46,CDR_AGG_PERSON_0023_PERSON_0063
PERSON_0074,PERSON,PERSON_0419,PERSON,CALLED,2024-09-11 07:58:10,0.05,0.49,CDR_AGG_PERSON_0074_PERSON_0419
PERSON_1232,PERSON,PERSON_1469,PERSON,CALLED,2026-05-28 05:55:50,0.05,0.77,CDR_AGG_PERSON_1232_PERSON_1469
PERSON_0221,PERSON,PERSON_0908,PERSON,CALLED,2024-08-14 21:45:28,0.05,0.54,CDR_AGG_PERSON_0221_PERSON_0908
PERSON_0174,PERSON,PERSON_1166,PERSON,CALLED,2024-03-05 06:55:10,0.05,0.7,CDR_AGG_PERSON_0174_PERSON_1166
PERSON_0421,PERSON,PERSON_1273,PERSON,CALLED,2024-11-26 07:22:34,0.05,0.51,CDR_AGG_PERSON_0421_PERSON_1273
PERSON_0177,PERSON,PERSON_1002,PERSON,CALLED,2025-05-28 06:28:44,0.05,0.74,CDR_AGG_PERSON_0177_PERSON_1002
PERSON_0538,PERSON,PERSON_0923,PERSON,CALLED,2025-12-31 20:43:29,0.1,0.76,CDR_AGG_PERSON_0538_PERSON_0923
PERSON_0008,PERSON,PERSON_1311,PERSON,CALLED,2025-07-31 23:17:24,0.05,0.55,CDR_AGG_PERSON_0008_PERSON_1311
PERSON_0051,PERSON,PERSON_0291,PERSON,CALLED,2025-10-07 05:03:12,0.05,0.59,CDR_AGG_PERSON_0051_PERSON_0291
PERSON_1238,PERSON,PERSON_1251,PERSON,CALLED,2026-01-31 14:09:32,0.05,0.52,CDR_AGG_PERSON_1238_PERSON_1251
PERSON_0362,PERSON,PERSON_0564,PERSON,CALLED,2025-07-31 22:12:00,0.05,0.5,CDR_AGG_PERSON_0362_PERSON_0564
PERSON_0543,PERSON,PERSON_1391,PERSON,CALLED,2025-09-12 11:11:26,0.05,0.79,CDR_AGG_PERSON_0543_PERSON_1391
PERSON_0483,PERSON,PERSON_1014,PERSON,CALLED,2025-10-19 03:10:53,0.05,0.8,CDR_AGG_PERSON_0483_PERSON_1014
PERSON_0995,PERSON,PERSON_1161,PERSON,CALLED,2024-04-26 22:56:21,0.05,0.5,CDR_AGG_PERSON_0995_PERSON_1161
PERSON_0780,PERSON,PERSON_0836,PERSON,CALLED,2025-01-13 13:31:08,0.05,0.43,CDR_AGG_PERSON_0780_PERSON_0836
PERSON_0725,PERSON,PERSON_1408,PERSON,CALLED,2025-06-08 03:23:27,0.05,0.62,CDR_AGG_PERSON_0725_PERSON_1408
PERSON_0356,PERSON,PERSON_1413,PERSON,CALLED,2026-06-14 23:45:59,0.05,0.73,CDR_AGG_PERSON_0356_PERSON_1413
PERSON_1482,PERSON,PERSON_1498,PERSON,CALLED,2026-03-05 03:25:28,0.05,0.61,CDR_AGG_PERSON_1482_PERSON_1498
PERSON_0488,PERSON,PERSON_1354,PERSON,CALLED,2024-08-08 19:32:36,0.05,0.79,CDR_AGG_PERSON_0488_PERSON_1354
PERSON_0027,PERSON,PERSON_0603,PERSON,CALLED,2024-12-24 00:59:09,0.05,0.68,CDR_AGG_PERSON_0027_PERSON_0603
PERSON_0584,PERSON,PERSON_0591,PERSON,CALLED,2025-08-29 18:14:40,0.05,0.5,CDR_AGG_PERSON_0584_PERSON_0591
PERSON_0197,PERSON,PERSON_0868,PERSON,CALLED,2024-07-11 17:17:32,0.05,0.45,CDR_AGG_PERSON_0197_PERSON_0868
PERSON_0788,PERSON,PERSON_0917,PERSON,CALLED,2025-04-02 18:11:15,0.05,0.61,CDR_AGG_PERSON_0788_PERSON_0917
PERSON_0700,PERSON,PERSON_1458,PERSON,CALLED,2024-03-16 03:41:20,0.05,0.76,CDR_AGG_PERSON_0700_PERSON_1458
PERSON_0682,PERSON,PERSON_0871,PERSON,CALLED,2026-04-30 18:39:14,0.05,0.52,CDR_AGG_PERSON_0682_PERSON_0871
PERSON_0070,PERSON,PERSON_0259,PERSON,CALLED,2024-04-29 08:42:49,0.05,0.62,CDR_AGG_PERSON_0070_PERSON_0259
PERSON_0171,PERSON,PERSON_0506,PERSON,CALLED,2026-04-11 14:56:01,0.05,0.7,CDR_AGG_PERSON_0171_PERSON_0506
PERSON_0348,PERSON,PERSON_1201,PERSON,CALLED,2026-06-23 05:23:07,0.05,0.77,CDR_AGG_PERSON_0348_PERSON_1201
PERSON_0102,PERSON,PERSON_0395,PERSON,CALLED,2024-01-01 19:27:41,0.05,0.43,CDR_AGG_PERSON_0102_PERSON_0395
PERSON_0066,PERSON,PERSON_1366,PERSON,CALLED,2025-02-03 17:22:05,0.05,0.83,CDR_AGG_PERSON_0066_PERSON_1366
PERSON_0387,PERSON,PERSON_0847,PERSON,CALLED,2024-02-21 07:32:20,0.05,0.59,CDR_AGG_PERSON_0387_PERSON_0847
PERSON_0690,PERSON,PERSON_0993,PERSON,CALLED,2025-01-27 22:17:58,0.05,0.61,CDR_AGG_PERSON_0690_PERSON_0993
PERSON_0303,PERSON,PERSON_1111,PERSON,CALLED,2026-03-21 09:55:17,0.05,0.57,CDR_AGG_PERSON_0303_PERSON_1111
PERSON_0454,PERSON,PERSON_0561,PERSON,CALLED,2024-07-13 19:57:35,0.05,0.72,CDR_AGG_PERSON_0454_PERSON_0561
PERSON_1183,PERSON,PERSON_1246,PERSON,CALLED,2026-06-22 16:07:35,0.05,0.76,CDR_AGG_PERSON_1183_PERSON_1246
PERSON_0092,PERSON,PERSON_0172,PERSON,CALLED,2025-08-16 15:16:07,0.05,0.73,CDR_AGG_PERSON_0092_PERSON_0172
PERSON_0424,PERSON,PERSON_1042,PERSON,CALLED,2025-02-01 17:23:15,0.05,0.47,CDR_AGG_PERSON_0424_PERSON_1042
PERSON_0283,PERSON,PERSON_0641,PERSON,CALLED,2026-03-04 13:57:48,0.05,0.72,CDR_AGG_PERSON_0283_PERSON_0641
PERSON_0128,PERSON,PERSON_0961,PERSON,CALLED,2024-08-25 07:13:21,0.05,0.46,CDR_AGG_PERSON_0128_PERSON_0961
PERSON_0631,PERSON,PERSON_0807,PERSON,CALLED,2024-06-15 11:48:10,0.05,0.5,CDR_AGG_PERSON_0631_PERSON_0807
PERSON_0484,PERSON,PERSON_0965,PERSON,CALLED,2024-03-16 16:15:43,0.05,0.48,CDR_AGG_PERSON_0484_PERSON_0965
PERSON_0890,PERSON,PERSON_1033,PERSON,CALLED,2025-08-24 00:28:43,0.05,0.58,CDR_AGG_PERSON_0890_PERSON_1033
PERSON_0964,PERSON,PERSON_1097,PERSON,CALLED,2024-09-25 15:26:53,0.05,0.74,CDR_AGG_PERSON_0964_PERSON_1097
PERSON_1228,PERSON,PERSON_1482,PERSON,CALLED,2024-09-29 01:34:34,0.05,0.81,CDR_AGG_PERSON_1228_PERSON_1482
PERSON_0538,PERSON,PERSON_0620,PERSON,CALLED,2024-06-16 14:03:40,0.05,0.63,CDR_AGG_PERSON_0538_PERSON_0620
PERSON_1261,PERSON,PERSON_1449,PERSON,CALLED,2024-02-24 22:26:33,0.05,0.58,CDR_AGG_PERSON_1261_PERSON_1449
PERSON_1384,PERSON,PERSON_1484,PERSON,CALLED,2024-10-15 13:43:54,0.1,0.84,CDR_AGG_PERSON_1384_PERSON_1484
PERSON_0456,PERSON,PERSON_0867,PERSON,CALLED,2024-02-26 08:16:18,0.05,0.78,CDR_AGG_PERSON_0456_PERSON_0867
PERSON_0287,PERSON,PERSON_1132,PERSON,CALLED,2024-12-21 12:19:05,0.05,0.61,CDR_AGG_PERSON_0287_PERSON_1132
PERSON_0519,PERSON,PERSON_1408,PERSON,CALLED,2024-04-07 01:43:45,0.05,0.82,CDR_AGG_PERSON_0519_PERSON_1408
PERSON_0646,PERSON,PERSON_0780,PERSON,CALLED,2025-04-13 09:38:01,0.05,0.49,CDR_AGG_PERSON_0646_PERSON_0780
PERSON_0397,PERSON,PERSON_1367,PERSON,CALLED,2024-04-14 16:08:39,0.05,0.6,CDR_AGG_PERSON_0397_PERSON_1367
PERSON_1050,PERSON,PERSON_1356,PERSON,CALLED,2024-03-18 08:27:40,0.05,0.64,CDR_AGG_PERSON_1050_PERSON_1356
PERSON_0076,PERSON,PERSON_1112,PERSON,CALLED,2025-03-31 07:28:44,0.05,0.62,CDR_AGG_PERSON_0076_PERSON_1112
PERSON_1085,PERSON,PERSON_1326,PERSON,CALLED,2025-03-21 08:06:25,0.05,0.41,CDR_AGG_PERSON_1085_PERSON_1326
PERSON_0638,PERSON,PERSON_0824,PERSON,CALLED,2024-09-09 02:22:05,0.05,0.53,CDR_AGG_PERSON_0638_PERSON_0824
PERSON_0280,PERSON,PERSON_1454,PERSON,CALLED,2025-08-08 16:11:24,0.05,0.57,CDR_AGG_PERSON_0280_PERSON_1454
PERSON_0748,PERSON,PERSON_1485,PERSON,CALLED,2026-03-02 17:17:38,0.05,0.57,CDR_AGG_PERSON_0748_PERSON_1485
PERSON_0610,PERSON,PERSON_0634,PERSON,CALLED,2025-11-05 15:20:48,0.05,0.54,CDR_AGG_PERSON_0610_PERSON_0634
PERSON_0323,PERSON,PERSON_1367,PERSON,CALLED,2025-08-17 03:59:10,0.05,0.77,CDR_AGG_PERSON_0323_PERSON_1367
PERSON_0272,PERSON,PERSON_0556,PERSON,CALLED,2025-09-06 15:22:11,0.05,0.51,CDR_AGG_PERSON_0272_PERSON_0556
PERSON_0210,PERSON,PERSON_1351,PERSON,CALLED,2025-05-07 09:25:00,0.05,0.84,CDR_AGG_PERSON_0210_PERSON_1351
PERSON_0294,PERSON,PERSON_1474,PERSON,CALLED,2025-03-02 02:12:43,0.05,0.41,CDR_AGG_PERSON_0294_PERSON_1474
PERSON_1171,PERSON,PERSON_1484,PERSON,CALLED,2024-11-06 17:59:20,0.05,0.61,CDR_AGG_PERSON_1171_PERSON_1484
PERSON_0809,PERSON,PERSON_1464,PERSON,CALLED,2025-10-26 17:55:49,0.05,0.68,CDR_AGG_PERSON_0809_PERSON_1464
PERSON_0222,PERSON,PERSON_1499,PERSON,CALLED,2025-01-15 07:34:30,0.05,0.57,CDR_AGG_PERSON_0222_PERSON_1499
PERSON_0601,PERSON,PERSON_1477,PERSON,CALLED,2025-05-30 03:55:12,0.05,0.53,CDR_AGG_PERSON_0601_PERSON_1477
PERSON_0076,PERSON,PERSON_1088,PERSON,CALLED,2026-01-19 04:16:22,0.05,0.8,CDR_AGG_PERSON_0076_PERSON_1088
PERSON_0054,PERSON,PERSON_1234,PERSON,CALLED,2025-09-01 10:58:43,0.05,0.82,CDR_AGG_PERSON_0054_PERSON_1234
PERSON_0193,PERSON,PERSON_1186,PERSON,CALLED,2025-10-28 02:40:53,0.05,0.52,CDR_AGG_PERSON_0193_PERSON_1186
PERSON_0163,PERSON,PERSON_1034,PERSON,CALLED,2024-11-17 10:24:59,0.05,0.72,CDR_AGG_PERSON_0163_PERSON_1034
PERSON_0052,PERSON,PERSON_0488,PERSON,CALLED,2026-01-05 20:24:14,0.05,0.72,CDR_AGG_PERSON_0052_PERSON_0488
PERSON_0461,PERSON,PERSON_1318,PERSON,CALLED,2026-03-15 09:59:30,0.1,0.57,CDR_AGG_PERSON_0461_PERSON_1318
PERSON_0602,PERSON,PERSON_1112,PERSON,CALLED,2024-08-11 03:59:29,0.05,0.77,CDR_AGG_PERSON_0602_PERSON_1112
PERSON_1149,PERSON,PERSON_1441,PERSON,CALLED,2026-04-01 04:02:23,0.05,0.43,CDR_AGG_PERSON_1149_PERSON_1441
PERSON_0172,PERSON,PERSON_1136,PERSON,CALLED,2024-02-15 18:32:19,0.05,0.49,CDR_AGG_PERSON_0172_PERSON_1136
PERSON_0372,PERSON,PERSON_0437,PERSON,CALLED,2024-05-09 18:52:05,0.05,0.82,CDR_AGG_PERSON_0372_PERSON_0437
PERSON_0029,PERSON,PERSON_0601,PERSON,CALLED,2026-01-17 03:59:42,0.05,0.42,CDR_AGG_PERSON_0029_PERSON_0601
PERSON_0903,PERSON,PERSON_1025,PERSON,CALLED,2024-12-17 14:38:32,0.05,0.44,CDR_AGG_PERSON_0903_PERSON_1025
