event_id,timestamp,vehicle_id,location_id,event_type,source,confidence
VEVENT_000053,2025-11-10 09:06:46,VEHICLE_00625,LOCATION_0004,ANPR,TOLL_PLAZA,0.91
VEVENT_000054,2025-11-10 09:10:46,VEHICLE_00681,LOCATION_0004,ANPR,POLICE_CHECKPOINT,0.97
VEVENT_000055,2025-11-10 09:18:46,VEHICLE_00625,LOCATION_0214,ANPR,FIELD_SURVEILLANCE,0.82
VEVENT_000056,2025-11-10 09:20:46,VEHICLE_00681,LOCATION_0214,ANPR,ANPR_CAMERA,0.96
VEVENT_000057,2025-11-10 09:30:46,VEHICLE_00625,LOCATION_0234,ANPR,TOLL_PLAZA,0.88
VEVENT_000058,2025-11-10 09:34:46,VEHICLE_00681,LOCATION_0234,ANPR,TOLL_PLAZA,0.92
VEVENT_000059,2025-11-10 09:42:46,VEHICLE_00625,LOCATION_0174,ANPR,FIELD_SURVEILLANCE,0.91
VEVENT_000060,2025-11-10 09:47:46,VEHICLE_00681,LOCATION_0174,ANPR,FIELD_SURVEILLANCE,0.89
VEVENT_000061,2025-12-23 05:06:32,VEHICLE_00625,LOCATION_0294,ANPR,POLICE_CHECKPOINT,0.91
VEVENT_000062,2025-12-23 05:08:32,VEHICLE_00681,LOCATION_0294,ANPR,ANPR_CAMERA,0.96
VEVENT_000063,2025-12-23 05:18:32,VEHICLE_00625,LOCATION_0004,ANPR,POLICE_CHECKPOINT,0.87
VEVENT_000064,2025-12-23 05:21:32,VEHICLE_00681,LOCATION_0004,ANPR,ANPR_CAMERA,0.96
VEVENT_000065,2025-12-23 05:30:32,VEHICLE_00625,LOCATION_0214,ANPR,ANPR_CAMERA,0.94
VEVENT_000066,2025-12-23 05:31:32,VEHICLE_00681,LOCATION_0214,ANPR,POLICE_CHECKPOINT,0.92
VEVENT_000067,2025-12-23 05:42:32,VEHICLE_00625,LOCATION_0234,ANPR,ANPR_CAMERA,0.89
VEVENT_000068,2025-12-23 05:45:32,VEHICLE_00681,LOCATION_0234,ANPR,FIELD_SURVEILLANCE,0.92
VEVENT_000069,2025-12-23 05:54:32,VEHICLE_00625,LOCATION_0174,ANPR,ANPR_CAMERA,0.83
VEVENT_000070,2025-12-23 05:55:32,VEHICLE_00681,LOCATION_0174,ANPR,ANPR_CAMERA,0.8
VEVENT_000071,2025-03-17 02:00:54,VEHICLE_00625,LOCATION_0294,ANPR,POLICE_CHECKPOINT,0.91
VEVENT_000072,2025-03-17 02:06:54,VEHICLE_00681,LOCATION_0294,ANPR,FIELD_SURVEILLANCE,0.95
VEVENT_000073,2025-03-17 02:12:54,VEHICLE_00625,LOCATION_0004,ANPR,TOLL_PLAZA,0.87
VEVENT_000074,2025-03-17 02:13:54,VEHICLE_00681,LOCATION_0004,ANPR,FIELD_SURVEILLANCE,0.96
VEVENT_000075,2025-03-17 02:24:54,VEHICLE_00625,LOCATION_0214,ANPR,FIELD_SURVEILLANCE,0.88
VEVENT_000076,2025-03-17 02:28:54,VEHICLE_00681,LOCATION_0214,ANPR,ANPR_CAMERA,0.82
VEVENT_000077,2025-03-17 02:36:54,VEHICLE_00625,LOCATION_0234,ANPR,POLICE_CHECKPOINT,0.84
VEVENT_000078,2025-03-17 02:37:54,VEHICLE_00681,LOCATION_0234,ANPR,ANPR_CAMERA,0.8
VEVENT_000079,2025-03-17 02:48:54,VEHICLE_00625,LOCATION_0174,ANPR,TOLL_PLAZA,0.97
VEVENT_000080,2025-03-17 02:50:54,VEHICLE_00681,LOCATION_0174,ANPR,ANPR_CAMERA,0.9
VEVENT_000081,2024-12-22 22:22:00,VEHICLE_00625,LOCATION_0294,ANPR,FIELD_SURVEILLANCE,0.82
VEVENT_000082,2024-12-22 22:27:00,VEHICLE_00681,LOCATION_0294,ANPR,POLICE_CHECKPOINT,0.84
VEVENT_000083,2024-12-22 22:34:00,VEHICLE_00625,LOCATION_0004,ANPR,POLICE_CHECKPOINT,0.93
VEVENT_000084,2024-12-22 22:39:00,VEHICLE_00681,LOCATION_0004,ANPR,POLICE_CHECKPOINT,0.96
VEVENT_000085,2024-12-22 22:46:00,VEHICLE_00625,LOCATION_0214,ANPR,POLICE_CHECKPOINT,0.88
VEVENT_000086,2024-12-22 22:47:00,VEHICLE_00681,LOCATION_0214,ANPR,FIELD_SURVEILLANCE,0.84
VEVENT_000087,2024-12-22 22:58:00,VEHICLE_00625,LOCATION_0234,ANPR,POLICE_CHECKPOINT,0.86
VEVENT_000088,2024-12-22 23:00:00,VEHICLE_00681,LOCATION_0234,ANPR,TOLL_PLAZA,0.92
VEVENT_000089,2024-12-22 23:10:00,VEHICLE_00625,LOCATION_0174,ANPR,POLICE_CHECKPOINT,0.93
VEVENT_000090,2024-12-22 23:13:00,VEHICLE_00681,LOCATION_0174,ANPR,FIELD_SURVEILLANCE,0.88
VEVENT_000091,2024-04-01 07:12:31,VEHICLE_00608,LOCATION_0100,ANPR,FIELD_SURVEILLANCE,0.9
VEVENT_000092,2024-04-01 07:13:31,VEHICLE_00027,LOCATION_0100,ANPR,POLICE_CHECKPOINT,0.81
VEVENT_000093,2024-04-01 07:24:31,VEHICLE_00608,LOCATION_0120,ANPR,TOLL_PLAZA,0.88
VEVENT_000094,2024-04-01 07:25:31,VEHICLE_00027,LOCATION_0120,ANPR,POLICE_CHECKPOINT,0.92
VEVENT_000095,2024-04-01 07:36:31,VEHICLE_00608,LOCATION_0150,ANPR,TOLL_PLAZA,0.94
VEVENT_000096,2024-04-01 07:42:31,VEHICLE_00027,LOCATION_0150,ANPR,TOLL_PLAZA,0.82
VEVENT_000097,2024-04-01 07:48:31,VEHICLE_00608,LOCATION_0290,ANPR,ANPR_CAMERA,0.85
VEVENT_000098,2024-04-01 07:54:31,VEHICLE_00027,LOCATION_0290,ANPR,TOLL_PLAZA,0.91
VEVENT_000099,2024-04-01 08:00:31,VEHICLE_00608,LOCATION_0200,ANPR,ANPR_CAMERA,0.95
VEVENT_000100,2024-04-01 08:04:31,VEHICLE_00027,LOCATION_0200,ANPR,POLICE_CHECKPOINT,0.8
VEVENT_000101,2024-11-10 11:04:44,VEHICLE_00608,LOCATION_0100,ANPR,ANPR_CAMERA,0.91
VEVENT_000102,2024-11-10 11:09:44,VEHICLE_00027,LOCATION_0100,ANPR,FIELD_SURVEILLANCE,0.82
VEVENT_000103,2024-11-10 11:16:44,VEHICLE_00608,LOCATION_0120,ANPR,FIELD_SURVEILLANCE,0.86
VEVENT_000104,2024-11-10 11:21:44,VEHICLE_00027,LOCATION_0120,ANPR,POLICE_CHECKPOINT,0.85
VEVENT_000105,2024-11-10 11:28:44,VEHICLE_00608,LOCATION_0150,ANPR,POLICE_CHECKPOINT,0.95
VEVENT_000106,2024-11-10 11:31:44,VEHICLE_00027,LOCATION_0150,ANPR,POLICE_CHECKPOINT,0.89
VEVENT_000107,2024-11-10 11:40:44,VEHICLE_00608,LOCATION_0290,ANPR,TOLL_PLAZA,0.97
VEVENT_000108,2024-11-10 11:41:44,VEHICLE_00027,LOCATION_0290,ANPR,TOLL_PLAZA,0.92
VEVENT_000109,2024-11-10 11:52:44,VEHICLE_00608,LOCATION_0200,ANPR,FIELD_SURVEILLANCE,0.89
VEVENT_000110,2024-11-10 11:56:44,VEHICLE_00027,LOCATION_0200,ANPR,ANPR_CAMERA,0.93
VEVENT_000111,2026-06-05 16:15:29,VEHICLE_00608,LOCATION_0100,ANPR,TOLL_PLAZA,0.94
VEVENT_000112,2026-06-05 16:20:29,VEHICLE_00027,LOCATION_0100,ANPR,FIELD_SURVEILLANCE,0.86
VEVENT_000113,2026-06-05 16:27:29,VEHICLE_00608,LOCATION_0120,ANPR,FIELD_SURVEILLANCE,0.83
VEVENT_000114,2026-06-05 16:30:29,VEHICLE_00027,LOCATION_0120,ANPR,TOLL_PLAZA,0.91
VEVENT_000115,2026-06-05 16:39:29,VEHICLE_00608,LOCATION_0150,ANPR,POLICE_CHECKPOINT,0.83
VEVENT_000116,2026-06-05 16:44:29,VEHICLE_00027,LOCATION_0150,ANPR,POLICE_CHECKPOINT,0.89
VEVENT_000117,2026-06-05 16:51:29,VEHICLE_00608,LOCATION_0290,ANPR,FIELD_SURVEILLANCE,0.89
VEVENT_000118,2026-06-05 16:56:29,VEHICLE_00027,LOCATION_0290,ANPR,ANPR_CAMERA,0.86
VEVENT_000119,2026-06-05 17:03:29,VEHICLE_00608,LOCATION_0200,ANPR,FIELD_SURVEILLANCE,0.97
VEVENT_000120,2026-06-05 17:08:29,VEHICLE_00027,LOCATION_0200,ANPR,POLICE_CHECKPOINT,0.81
VEVENT_000121,2024-02-10 11:30:30,VEHICLE_00608,LOCATION_0100,ANPR,TOLL_PLAZA,0.95
VEVENT_000122,2024-02-10 11:32:30,VEHICLE_00027,LOCATION_0100,ANPR,FIELD_SURVEILLANCE,0.92
VEVENT_000123,2024-02-10 11:42:30,VEHICLE_00608,LOCATION_0120,ANPR,FIELD_SURVEILLANCE,0.91
VEVENT_000124,2024-02-10 11:44:30,VEHICLE_00027,LOCATION_0120,ANPR,FIELD_SURVEILLANCE,0.88
VEVENT_000125,2024-02-10 11:54:30,VEHICLE_00608,LOCATION_0150,ANPR,TOLL_PLAZA,0.92
VEVENT_000126,2024-02-10 11:58:30,VEHICLE_00027,LOCATION_0150,ANPR,FIELD_SURVEILLANCE,0.9
VEVENT_000127,2024-02-10 12:06:30,VEHICLE_00608,LOCATION_0290,ANPR,TOLL_PLAZA,0.81
VEVENT_000128,2024-02-10 12:12:30,VEHICLE_00027,LOCATION_0290,ANPR,ANPR_CAMERA,0.97
VEVENT_000129,2024-02-10 12:18:30,VEHICLE_00608,LOCATION_0200,ANPR,ANPR_CAMERA,0.92
VEVENT_000130,2024-02-10 12:21:30,VEHICLE_00027,LOCATION_0200,ANPR,TOLL_PLAZA,0.95
VEVENT_000131,2024-01-15 22:54:33,VEHICLE_00608,LOCATION_0100,ANPR,ANPR_CAMERA,0.94
VEVENT_000132,2024-01-15 22:59:33,VEHICLE_00027,LOCATION_0100,ANPR,TOLL_PLAZA,0.92
VEVENT_000133,2024-01-15 23:06:33,VEHICLE_00608,LOCATION_0120,ANPR,TOLL_PLAZA,0.95
VEVENT_000134,2024-01-15 23:11:33,VEHICLE_00027,LOCATION_0120,ANPR,POLICE_CHECKPOINT,0.92
VEVENT_000135,2024-01-15 23:18:33,VEHICLE_00608,LOCATION_0150,ANPR,POLICE_CHECKPOINT,0.83
VEVENT_000136,2024-01-15 23:21:33,VEHICLE_00027,LOCATION_0150,ANPR,ANPR_CAMERA,0.92
VEVENT_000137,2024-01-15 23:30:33,VEHICLE_00608,LOCATION_0290,ANPR,FIELD_SURVEILLANCE,0.84
VEVENT_000138,2024-01-15 23:32:33,VEHICLE_00027,LOCATION_0290,ANPR,POLICE_CHECKPOINT,0.94
VEVENT_000139,2024-01-15 23:42:33,VEHICLE_00608,LOCATION_0200,ANPR,POLICE_CHECKPOINT,0.81
VEVENT_000140,2024-01-15 23:44:33,VEHICLE_00027,LOCATION_0200,ANPR,ANPR_CAMERA,0.91
VEVENT_000141,2024-12-25 14:45:37,VEHICLE_00608,LOCATION_0100,ANPR,ANPR_CAMERA,0.92
VEVENT_000142,2024-12-25 14:51:37,VEHICLE_00027,LOCATION_0100,ANPR,TOLL_PLAZA,0.83
VEVENT_000143,2024-12-25 14:57:37,VEHICLE_00608,LOCATION_0120,ANPR,FIELD_SURVEILLANCE,0.97
VEVENT_000144,2024-12-25 14:59:37,VEHICLE_00027,LOCATION_0120,ANPR,FIELD_SURVEILLANCE,0.86
VEVENT_000145,2024-12-25 15:09:37,VEHICLE_00608,LOCATION_0150,ANPR,FIELD_SURVEILLANCE,0.93
VEVENT_000146,2024-12-25 15:11:37,VEHICLE_00027,LOCATION_0150,ANPR,FIELD_SURVEILLANCE,0.95
VEVENT_000147,2024-12-25 15:21:37,VEHICLE_00608,LOCATION_0290,ANPR,FIELD_SURVEILLANCE,0.9
VEVENT_000148,2024-12-25 15:27:37,VEHICLE_00027,LOCATION_0290,ANPR,FIELD_SURVEILLANCE,0.93
VEVENT_000149,2024-12-25 15:33:37,VEHICLE_00608,LOCATION_0200,ANPR,TOLL_PLAZA,0.94
VEVENT_000150,2024-12-25 15:37:37,VEHICLE_00027,LOCATION_0200,ANPR,TOLL_PLAZA,0.89
VEVENT_000151,2025-10-01 08:15:00,VEHICLE_00608,LOCATION_0100,ANPR,TOLL_PLAZA,0.82
VEVENT_000152,2025-10-01 08:16:00,VEHICLE_00027,LOCATION_0100,ANPR,ANPR_CAMERA,0.89
VEVENT_000153,2025-10-01 08:27:00,VEHICLE_00608,LOCATION_0120,ANPR,TOLL_PLAZA,0.87
VEVENT_000154,2025-10-01 08:32:00,VEHICLE_00027,LOCATION_0120,ANPR,TOLL_PLAZA,0.96
VEVENT_000155,2025-10-01 08:39:00,VEHICLE_00608,LOCATION_0150,ANPR,ANPR_CAMERA,0.93
VEVENT_000156,2025-10-01 08:43:00,VEHICLE_00027,LOCATION_0150,ANPR,FIELD_SURVEILLANCE,0.93
VEVENT_000157,2025-10-01 08:51:00,VEHICLE_00608,LOCATION_0290,ANPR,FIELD_SURVEILLANCE,0.81
VEVENT_000158,2025-10-01 08:52:00,VEHICLE_00027,LOCATION_0290,ANPR,POLICE_CHECKPOINT,0.87
VEVENT_000159,2025-10-01 09:03:00,VEHICLE_00608,LOCATION_0200,ANPR,TOLL_PLAZA,0.86
VEVENT_000160,2025-10-01 09:05:00,VEHICLE_00027,LOCATION_0200,ANPR,TOLL_PLAZA,0.92
VEVENT_000161,2025-10-03 00:28:14,VEHICLE_00608,LOCATION_0100,ANPR,ANPR_CAMERA,0.86
VEVENT_000162,2025-10-03 00:30:14,VEHICLE_00027,LOCATION_0100,ANPR,FIELD_SURVEILLANCE,0.93
VEVENT_000163,2025-10-03 00:40:14,VEHICLE_00608,LOCATION_0120,ANPR,TOLL_PLAZA,0.92
VEVENT_000164,2025-10-03 00:44:14,VEHICLE_00027,LOCATION_0120,ANPR,FIELD_SURVEILLANCE,0.92
VEVENT_000165,2025-10-03 00:52:14,VEHICLE_00608,LOCATION_0150,ANPR,TOLL_PLAZA,0.9
VEVENT_000166,2025-10-03 00:56:14,VEHICLE_00027,LOCATION_0150,ANPR,ANPR_CAMERA,0.95
VEVENT_000167,2025-10-03 01:04:14,VEHICLE_00608,LOCATION_0290,ANPR,TOLL_PLAZA,0.81
VEVENT_000168,2025-10-03 01:08:14,VEHICLE_00027,LOCATION_0290,ANPR,TOLL_PLAZA,0.94
VEVENT_000169,2025-10-03 01:16:14,VEHICLE_00608,LOCATION_0200,ANPR,FIELD_SURVEILLANCE,0.84
VEVENT_000170,2025-10-03 01:21:14,VEHICLE_00027,LOCATION_0200,ANPR,ANPR_CAMERA,0.88
VEVENT_000171,2025-02-02 02:19:51,VEHICLE_00446,LOCATION_0278,ANPR,ANPR_CAMERA,0.95
VEVENT_000172,2025-02-02 02:21:51,VEHICLE_00571,LOCATION_0278,ANPR,ANPR_CAMERA,0.96
VEVENT_000173,2025-02-02 02:31:51,VEHICLE_00446,LOCATION_0288,ANPR,TOLL_PLAZA,0.84
VEVENT_000174,2025-02-02 02:34:51,VEHICLE_00571,LOCATION_0288,ANPR,POLICE_CHECKPOINT,0.95
VEVENT_000175,2025-02-02 02:43:51,VEHICLE_00446,LOCATION_0108,ANPR,POLICE_CHECKPOINT,0.81
VEVENT_000176,2025-02-02 02:48:51,VEHICLE_00571,LOCATION_0108,ANPR,FIELD_SURVEILLANCE,0.91
VEVENT_000177,2025-02-02 02:55:51,VEHICLE_00446,LOCATION_0028,ANPR,ANPR_CAMERA,0.83
VEVENT_000178,2025-02-02 03:01:51,VEHICLE_00571,LOCATION_0028,ANPR,FIELD_SURVEILLANCE,0.9
VEVENT_000179,2025-02-02 03:07:51,VEHICLE_00446,LOCATION_0068,ANPR,TOLL_PLAZA,0.93
VEVENT_000180,2025-02-02 03:10:51,VEHICLE_00571,LOCATION_0068,ANPR,POLICE_CHECKPOINT,0.93
VEVENT_000181,2026-01-07 18:51:09,VEHICLE_00446,LOCATION_0278,ANPR,POLICE_CHECKPOINT,0.94
VEVENT_000182,2026-01-07 18:52:09,VEHICLE_00571,LOCATION_0278,ANPR,POLICE_CHECKPOINT,0.87
VEVENT_000183,2026-01-07 19:03:09,VEHICLE_00446,LOCATION_0288,ANPR,POLICE_CHECKPOINT,0.96
VEVENT_000184,2026-01-07 19:07:09,VEHICLE_00571,LOCATION_0288,ANPR,POLICE_CHECKPOINT,0.86
VEVENT_000185,2026-01-07 19:15:09,VEHICLE_00446,LOCATION_0108,ANPR,FIELD_SURVEILLANCE,0.89
VEVENT_000186,2026-01-07 19:18:09,VEHICLE_00571,LOCATION_0108,ANPR,FIELD_SURVEILLANCE,0.94
VEVENT_000187,2026-01-07 19:27:09,VEHICLE_00446,LOCATION_0028,ANPR,POLICE_CHECKPOINT,0.87
VEVENT_000188,2026-01-07 19:30:09,VEHICLE_00571,LOCATION_0028,ANPR,FIELD_SURVEILLANCE,0.97
VEVENT_000189,2026-01-07 19:39:09,VEHICLE_00446,LOCATION_0068,ANPR,ANPR_CAMERA,0.9
VEVENT_000190,2026-01-07 19:44:09,VEHICLE_00571,LOCATION_0068,ANPR,ANPR_CAMERA,0.96
VEVENT_000191,2024-05-25 12:12:03,VEHICLE_00446,LOCATION_0278,ANPR,TOLL_PLAZA,0.94
VEVENT_000192,2024-05-25 12:18:03,VEHICLE_00571,LOCATION_0278,ANPR,TOLL_PLAZA,0.85
VEVENT_000193,2024-05-25 12:24:03,VEHICLE_00446,LOCATION_0288,ANPR,ANPR_CAMERA,0.87
VEVENT_000194,2024-05-25 12:27:03,VEHICLE_00571,LOCATION_0288,ANPR,ANPR_CAMERA,0.96
VEVENT_000195,2024-05-25 12:36:03,VEHICLE_00446,LOCATION_0108,ANPR,ANPR_CAMERA,0.92
VEVENT_000196,2024-05-25 12:42:03,VEHICLE_00571,LOCATION_0108,ANPR,TOLL_PLAZA,0.9
VEVENT_000197,2024-05-25 12:48:03,VEHICLE_00446,LOCATION_0028,ANPR,ANPR_CAMERA,0.8
VEVENT_000198,2024-05-25 12:52:03,VEHICLE_00571,LOCATION_0028,ANPR,TOLL_PLAZA,0.86
VEVENT_000199,2024-05-25 13:00:03,VEHICLE_00446,LOCATION_0068,ANPR,FIELD_SURVEILLANCE,0.91
VEVENT_000200,2024-05-25 13:02:03,VEHICLE_00571,LOCATION_0068,ANPR,TOLL_PLAZA,0.81
VEVENT_000201,2026-03-06 12:34:58,VEHICLE_00446,LOCATION_0278,ANPR,FIELD_SURVEILLANCE,0.85
VEVENT_000202,2026-03-06 12:35:58,VEHICLE_00571,LOCATION_0278,ANPR,FIELD_SURVEILLANCE,0.9
VEVENT_000203,2026-03-06 12:46:58,VEHICLE_00446,LOCATION_0288,ANPR,POLICE_CHECKPOINT,0.85
VEVENT_000204,2026-03-06 12:52:58,VEHICLE_00571,LOCATION_0288,ANPR,TOLL_PLAZA,0.83
VEVENT_000205,2026-03-06 12:58:58,VEHICLE_00446,LOCATION_0108,ANPR,ANPR_CAMERA,0.84
VEVENT_000206,2026-03-06 13:01:58,VEHICLE_00571,LOCATION_0108,ANPR,ANPR_CAMERA,0.94
VEVENT_000207,2026-03-06 13:10:58,VEHICLE_00446,LOCATION_0028,ANPR,POLICE_CHECKPOINT,0.82
VEVENT_000208,2026-03-06 13:15:58,VEHICLE_00571,LOCATION_0028,ANPR,TOLL_PLAZA,0.9
VEVENT_000209,2026-03-06 13:22:58,VEHICLE_00446,LOCATION_0068,ANPR,TOLL_PLAZA,0.87
VEVENT_000210,2026-03-06 13:27:58,VEHICLE_00571,LOCATION_0068,ANPR,ANPR_CAMERA,0.9
VEVENT_000211,2026-02-23 18:48:16,VEHICLE_00446,LOCATION_0278,ANPR,ANPR_CAMERA,0.82
VEVENT_000212,2026-02-23 18:49:16,VEHICLE_00571,LOCATION_0278,ANPR,ANPR_CAMERA,0.83
VEVENT_000213,2026-02-23 19:00:16,VEHICLE_00446,LOCATION_0288,ANPR,TOLL_PLAZA,0.83
VEVENT_000214,2026-02-23 19:02:16,VEHICLE_00571,LOCATION_0288,ANPR,POLICE_CHECKPOINT,0.82
VEVENT_000215,2026-02-23 19:12:16,VEHICLE_00446,LOCATION_0108,ANPR,POLICE_CHECKPOINT,0.84
VEVENT_000216,2026-02-23 19:16:16,VEHICLE_00571,LOCATION_0108,ANPR,FIELD_SURVEILLANCE,0.94
VEVENT_000217,2026-02-23 19:24:16,VEHICLE_00446,LOCATION_0028,ANPR,POLICE_CHECKPOINT,0.82
VEVENT_000218,2026-02-23 19:30:16,VEHICLE_00571,LOCATION_0028,ANPR,FIELD_SURVEILLANCE,0.86
VEVENT_000219,2026-02-23 19:36:16,VEHICLE_00446,LOCATION_0068,ANPR,ANPR_CAMERA,0.86
VEVENT_000220,2026-02-23 19:41:16,VEHICLE_00571,LOCATION_0068,ANPR,ANPR_CAMERA,0.92
VEVENT_000221,2026-04-16 01:11:42,VEHICLE_00446,LOCATION_0278,ANPR,TOLL_PLAZA,0.96
