evidence_id,case_id,evidence_type,source_record_id,entity_id,related_entity_id,timestamp,description,reliability,confidence,supports_relationship,ground_truth_status
EVID_000022,CASE_0003,CDR,CALL_000034,PHONE_01343,PHONE_00486,2025-10-15 10:29:43,Call record linking PHONE_01343 and PHONE_00486 in the coordination chain.,0.901,0.884,,CONFIRMED
EVID_000023,CASE_0003,CDR,CALL_000035,PHONE_01343,PHONE_01232,2025-09-21 10:03:43,Call record linking PHONE_01343 and PHONE_01232 in the coordination chain.,0.907,0.845,,CONFIRMED
EVID_000024,CASE_0003,CDR,CALL_000036,PHONE_01232,PHONE_00486,2025-09-02 22:03:43,Call record linking PHONE_01232 and PHONE_00486 in the coordination chain.,0.911,0.964,,CONFIRMED
EVID_000025,CASE_0004,CDR,CALL_000039,PHONE_01060,PHONE_00720,2025-11-18 13:25:44,Call record linking PHONE_01060 and PHONE_00720 in the coordination chain.,0.894,0.716,,CONFIRMED
EVID_000026,CASE_0004,CDR,CALL_000040,PHONE_00720,PHONE_00950,2025-11-18 13:37:44,Call record linking PHONE_00720 and PHONE_00950 in the coordination chain.,0.888,0.519,,CONFIRMED
EVID_000027,CASE_0004,CDR,CALL_000041,PHONE_00950,PHONE_00096,2025-11-18 13:52:44,Call record linking PHONE_00950 and PHONE_00096 in the coordination chain.,0.921,0.797,,CONFIRMED
EVID_000028,CASE_0004,CDR,CALL_000042,PHONE_00096,PHONE_00950,2025-11-18 16:28:44,Call record linking PHONE_00096 and PHONE_00950 in the coordination chain.,0.87,0.661,,CONFIRMED
EVID_000029,CASE_0004,CDR,CALL_000043,PHONE_00950,PHONE_00720,2025-11-18 16:41:44,Call record linking PHONE_00950 and PHONE_00720 in the coordination chain.,0.853,0.91,,CONFIRMED
EVID_000030,CASE_0004,CDR,CALL_000044,PHONE_00720,PHONE_01060,2025-11-18 17:04:44,Call record linking PHONE_00720 and PHONE_01060 in the coordination chain.,0.858,0.704,,CONFIRMED
EVID_000031,CASE_0004,CDR,CALL_000045,PHONE_00096,PHONE_00720,2025-10-18 16:19:44,Call record linking PHONE_00096 and PHONE_00720 in the coordination chain.,0.901,0.554,,CONFIRMED
EVID_000032,CASE_0004,CDR,CALL_000046,PHONE_01060,PHONE_00720,2025-11-07 15:19:44,Call record linking PHONE_01060 and PHONE_00720 in the coordination chain.,0.929,0.627,,CONFIRMED
EVID_000033,CASE_0005,CDR,CALL_000051,PHONE_01008,PHONE_00105,2025-05-14 13:11:21,Call record linking PHONE_01008 and PHONE_00105 in the coordination chain.,0.883,0.945,,CONFIRMED
EVID_000034,CASE_0005,CDR,CALL_000052,PHONE_00105,PHONE_01002,2025-05-14 13:25:21,Call record linking PHONE_00105 and PHONE_01002 in the coordination chain.,0.913,0.908,,CONFIRMED
EVID_000035,CASE_0005,CDR,CALL_000053,PHONE_01002,PHONE_01269,2025-05-14 13:31:21,Call record linking PHONE_01002 and PHONE_01269 in the coordination chain.,0.886,0.61,,CONFIRMED
EVID_000036,CASE_0005,CDR,CALL_000054,PHONE_01269,PHONE_01002,2025-05-14 16:23:21,Call record linking PHONE_01269 and PHONE_01002 in the coordination chain.,0.935,0.601,,CONFIRMED
EVID_000037,CASE_0005,CDR,CALL_000055,PHONE_01002,PHONE_00105,2025-05-14 16:33:21,Call record linking PHONE_01002 and PHONE_00105 in the coordination chain.,0.924,0.536,,CONFIRMED
EVID_000038,CASE_0005,CDR,CALL_000056,PHONE_00105,PHONE_01008,2025-05-14 16:53:21,Call record linking PHONE_00105 and PHONE_01008 in the coordination chain.,0.934,0.703,,CONFIRMED
EVID_000039,CASE_0005,CDR,CALL_000057,PHONE_00105,PHONE_01269,2025-05-11 10:02:21,Call record linking PHONE_00105 and PHONE_01269 in the coordination chain.,0.864,0.913,,CONFIRMED
EVID_000040,CASE_0005,CDR,CALL_000058,PHONE_01269,PHONE_01002,2025-04-26 09:02:21,Call record linking PHONE_01269 and PHONE_01002 in the coordination chain.,0.918,0.649,,CONFIRMED
EVID_000041,CASE_0006,CDR,CALL_000066,PHONE_01190,PHONE_01170,2025-12-31 17:58:31,Call record linking PHONE_01190 and PHONE_01170 in the coordination chain.,0.86,0.762,,CONFIRMED
EVID_000042,CASE_0006,CDR,CALL_000067,PHONE_01170,PHONE_00266,2025-12-31 18:04:31,Call record linking PHONE_01170 and PHONE_00266 in the coordination chain.,0.923,0.804,,CONFIRMED
EVID_000043,CASE_0006,CDR,CALL_000068,PHONE_00266,PHONE_01170,2025-12-31 21:07:31,Call record linking PHONE_00266 and PHONE_01170 in the coordination chain.,0.861,0.898,,CONFIRMED
EVID_000044,CASE_0006,CDR,CALL_000069,PHONE_01170,PHONE_01190,2025-12-31 21:20:31,Call record linking PHONE_01170 and PHONE_01190 in the coordination chain.,0.946,0.772,,CONFIRMED
EVID_000045,CASE_0006,CDR,CALL_000070,PHONE_00266,PHONE_01170,2025-12-27 11:52:31,Call record linking PHONE_00266 and PHONE_01170 in the coordination chain.,0.95,0.662,,CONFIRMED
EVID_000046,CASE_0006,CDR,CALL_000071,PHONE_01190,PHONE_00266,2025-11-21 01:52:31,Call record linking PHONE_01190 and PHONE_00266 in the coordination chain.,0.869,0.721,,CONFIRMED
EVID_000047,CASE_0006,CDR,CALL_000072,PHONE_00266,PHONE_01170,2025-12-30 02:52:31,Call record linking PHONE_00266 and PHONE_01170 in the coordination chain.,0.954,0.893,,CONFIRMED
EVID_000048,CASE_0006,CDR,CALL_000073,PHONE_01170,PHONE_01190,2025-11-26 00:52:31,Call record linking PHONE_01170 and PHONE_01190 in the coordination chain.,0.871,0.639,,CONFIRMED
EVID_000049,CASE_0007,CDR,CALL_000075,PHONE_01499,PHONE_00037,2025-01-19 17:40:00,Call record linking PHONE_01499 and PHONE_00037 in the coordination chain.,0.862,0.93,,CONFIRMED
EVID_000050,CASE_0007,CDR,CALL_000076,PHONE_00037,PHONE_01449,2025-01-19 17:47:00,Call record linking PHONE_00037 and PHONE_01449 in the coordination chain.,0.937,0.895,,CONFIRMED
EVID_000051,CASE_0007,CDR,CALL_000077,PHONE_01449,PHONE_01303,2025-01-19 18:04:00,Call record linking PHONE_01449 and PHONE_01303 in the coordination chain.,0.964,0.945,,CONFIRMED
EVID_000052,CASE_0007,CDR,CALL_000078,PHONE_01303,PHONE_01449,2025-01-19 20:24:00,Call record linking PHONE_01303 and PHONE_01449 in the coordination chain.,0.858,0.965,,CONFIRMED
EVID_000053,CASE_0007,CDR,CALL_000079,PHONE_01449,PHONE_00037,2025-01-19 20:47:00,Call record linking PHONE_01449 and PHONE_00037 in the coordination chain.,0.966,0.68,,CONFIRMED
EVID_000054,CASE_0007,CDR,CALL_000080,PHONE_00037,PHONE_01499,2025-01-19 20:55:00,Call record linking PHONE_00037 and PHONE_01499 in the coordination chain.,0.911,0.664,,CONFIRMED
EVID_000055,CASE_0007,CDR,CALL_000081,PHONE_01449,PHONE_01499,2025-01-13 14:26:00,Call record linking PHONE_01449 and PHONE_01499 in the coordination chain.,0.869,0.955,,CONFIRMED
EVID_000056,CASE_0007,CDR,CALL_000082,PHONE_00037,PHONE_01449,2024-12-30 11:26:00,Call record linking PHONE_00037 and PHONE_01449 in the coordination chain.,0.962,0.847,,CONFIRMED
EVID_000057,CASE_0008,CDR,CALL_000086,PHONE_00398,PHONE_00736,2025-05-12 03:21:40,Call record linking PHONE_00398 and PHONE_00736 in the coordination chain.,0.898,0.696,,CONFIRMED
EVID_000058,CASE_0008,CDR,CALL_000087,PHONE_00736,PHONE_00785,2025-05-12 03:29:40,Call record linking PHONE_00736 and PHONE_00785 in the coordination chain.,0.95,0.88,,CONFIRMED
EVID_000059,CASE_0008,CDR,CALL_000088,PHONE_00785,PHONE_00736,2025-05-12 06:24:40,Call record linking PHONE_00785 and PHONE_00736 in the coordination chain.,0.871,0.946,,CONFIRMED
EVID_000060,CASE_0008,CDR,CALL_000089,PHONE_00736,PHONE_00398,2025-05-12 06:46:40,Call record linking PHONE_00736 and PHONE_00398 in the coordination chain.,0.859,0.728,,CONFIRMED
EVID_000061,CASE_0008,CDR,CALL_000090,PHONE_00785,PHONE_00736,2025-04-20 02:08:40,Call record linking PHONE_00785 and PHONE_00736 in the coordination chain.,0.954,0.784,,CONFIRMED
EVID_000062,CASE_0008,CDR,CALL_000091,PHONE_00785,PHONE_00398,2025-04-11 04:08:40,Call record linking PHONE_00785 and PHONE_00398 in the coordination chain.,0.885,0.913,,CONFIRMED
EVID_000063,CASE_0008,CDR,CALL_000092,PHONE_00398,PHONE_00785,2025-04-30 11:08:40,Call record linking PHONE_00398 and PHONE_00785 in the coordination chain.,0.939,0.704,,CONFIRMED
EVID_000064,CASE_0008,CDR,CALL_000093,PHONE_00736,PHONE_00398,2025-03-27 12:08:40,Call record linking PHONE_00736 and PHONE_00398 in the coordination chain.,0.916,0.609,,CONFIRMED
EVID_000065,CASE_0009,CDR,CALL_000095,PHONE_00671,PHONE_00639,2025-12-02 14:04:34,Call record linking PHONE_00671 and PHONE_00639 in the coordination chain.,0.882,0.949,,CONFIRMED
EVID_000066,CASE_0009,CDR,CALL_000096,PHONE_00639,PHONE_01203,2025-12-02 14:16:34,Call record linking PHONE_00639 and PHONE_01203 in the coordination chain.,0.923,0.536,,CONFIRMED
EVID_000067,CASE_0009,CDR,CALL_000097,PHONE_01203,PHONE_00945,2025-12-02 14:32:34,Call record linking PHONE_01203 and PHONE_00945 in the coordination chain.,0.878,0.885,,CONFIRMED
EVID_000068,CASE_0009,CDR,CALL_000098,PHONE_00945,PHONE_01203,2025-12-02 17:02:34,Call record linking PHONE_00945 and PHONE_01203 in the coordination chain.,0.887,0.577,,CONFIRMED
EVID_000069,CASE_0009,CDR,CALL_000099,PHONE_01203,PHONE_00639,2025-12-02 17:13:34,Call record linking PHONE_01203 and PHONE_00639 in the coordination chain.,0.855,0.76,,CONFIRMED
EVID_000070,CASE_0009,CDR,CALL_000100,PHONE_00639,PHONE_00671,2025-12-02 17:28:34,Call record linking PHONE_00639 and PHONE_00671 in the coordination chain.,0.924,0.562,,CONFIRMED
EVID_000071,CASE_0009,CDR,CALL_000101,PHONE_01203,PHONE_00639,2025-10-22 13:55:34,Call record linking PHONE_01203 and PHONE_00639 in the coordination chain.,0.958,0.781,,CONFIRMED
EVID_000072,CASE_0009,CDR,CALL_000102,PHONE_00639,PHONE_00945,2025-11-15 22:55:34,Call record linking PHONE_00639 and PHONE_00945 in the coordination chain.,0.87,0.843,,CONFIRMED
EVID_000073,CASE_0010,CDR,CALL_000106,PHONE_00104,PHONE_01433,2025-10-20 12:26:44,Call record linking PHONE_00104 and PHONE_01433 in the coordination chain.,0.9,0.651,,CONFIRMED
EVID_000074,CASE_0010,CDR,CALL_000107,PHONE_01433,PHONE_00551,2025-10-20 12:38:44,Call record linking PHONE_01433 and PHONE_00551 in the coordination chain.,0.945,0.924,,CONFIRMED
EVID_000075,CASE_0010,CDR,CALL_000108,PHONE_00551,PHONE_00180,2025-10-20 12:53:44,Call record linking PHONE_00551 and PHONE_00180 in the coordination chain.,0.966,0.921,,CONFIRMED
EVID_000076,CASE_0010,CDR,CALL_000109,PHONE_00180,PHONE_00030,2025-10-20 13:11:44,Call record linking PHONE_00180 and PHONE_00030 in the coordination chain.,0.915,0.834,,CONFIRMED
EVID_000077,CASE_0010,CDR,CALL_000110,PHONE_00030,PHONE_00180,2025-10-20 15:35:44,Call record linking PHONE_00030 and PHONE_00180 in the coordination chain.,0.907,0.685,,CONFIRMED
EVID_000078,CASE_0010,CDR,CALL_000111,PHONE_00180,PHONE_00551,2025-10-20 15:53:44,Call record linking PHONE_00180 and PHONE_00551 in the coordination chain.,0.876,0.77,,CONFIRMED
EVID_000079,CASE_0010,CDR,CALL_000112,PHONE_00551,PHONE_01433,2025-10-20 16:03:44,Call record linking PHONE_00551 and PHONE_01433 in the coordination chain.,0.969,0.792,,CONFIRMED
EVID_000080,CASE_0010,CDR,CALL_000113,PHONE_01433,PHONE_00104,2025-10-20 16:19:44,Call record linking PHONE_01433 and PHONE_00104 in the coordination chain.,0.902,0.546,,CONFIRMED
EVID_000081,CASE_0011,CDR,CALL_000122,PHONE_01242,PHONE_01046,2025-06-17 16:40:20,Call record linking PHONE_01242 and PHONE_01046 in the coordination chain.,0.854,0.658,,CONFIRMED
EVID_000082,CASE_0011,CDR,CALL_000123,PHONE_01046,PHONE_00256,2025-06-17 16:53:20,Call record linking PHONE_01046 and PHONE_00256 in the coordination chain.,0.916,0.876,,CONFIRMED
EVID_000083,CASE_0011,CDR,CALL_000124,PHONE_00256,PHONE_01376,2025-06-17 17:08:20,Call record linking PHONE_00256 and PHONE_01376 in the coordination chain.,0.85,0.841,,CONFIRMED
EVID_000084,CASE_0011,CDR,CALL_000125,PHONE_01376,PHONE_00256,2025-06-17 19:31:20,Call record linking PHONE_01376 and PHONE_00256 in the coordination chain.,0.88,0.677,,CONFIRMED
EVID_000085,CASE_0011,CDR,CALL_000126,PHONE_00256,PHONE_01046,2025-06-17 19:39:20,Call record linking PHONE_00256 and PHONE_01046 in the coordination chain.,0.941,0.519,,CONFIRMED
EVID_000086,CASE_0011,CDR,CALL_000127,PHONE_01046,PHONE_01242,2025-06-17 19:58:20,Call record linking PHONE_01046 and PHONE_01242 in the coordination chain.,0.878,0.705,,CONFIRMED
EVID_000087,CASE_0011,CDR,CALL_000128,PHONE_01242,PHONE_00256,2025-06-11 22:34:20,Call record linking PHONE_01242 and PHONE_00256 in the coordination chain.,0.932,0.811,,CONFIRMED
EVID_000088,CASE_0011,CDR,CALL_000129,PHONE_00256,PHONE_01242,2025-06-16 17:34:20,Call record linking PHONE_00256 and PHONE_01242 in the coordination chain.,0.903,0.59,,CONFIRMED
EVID_000089,CASE_0012,CDR,CALL_000133,PHONE_00423,PHONE_00784,2025-04-05 10:42:43,Call record linking PHONE_00423 and PHONE_00784 in the coordination chain.,0.951,0.784,,CONFIRMED
EVID_000090,CASE_0012,CDR,CALL_000134,PHONE_00784,PHONE_00580,2025-04-05 10:57:43,Call record linking PHONE_00784 and PHONE_00580 in the coordination chain.,0.942,0.702,,CONFIRMED
EVID_000091,CASE_0012,CDR,CALL_000135,PHONE_00580,PHONE_00903,2025-04-05 11:10:43,Call record linking PHONE_00580 and PHONE_00903 in the coordination chain.,0.911,0.867,,CONFIRMED
EVID_000092,CASE_0012,CDR,CALL_000136,PHONE_00903,PHONE_00725,2025-04-05 11:22:43,Call record linking PHONE_00903 and PHONE_00725 in the coordination chain.,0.855,0.605,,CONFIRMED
EVID_000093,CASE_0012,CDR,CALL_000137,PHONE_00725,PHONE_00903,2025-04-05 13:33:43,Call record linking PHONE_00725 and PHONE_00903 in the coordination chain.,0.953,0.768,,CONFIRMED
EVID_000094,CASE_0012,CDR,CALL_000138,PHONE_00903,PHONE_00580,2025-04-05 13:47:43,Call record linking PHONE_00903 and PHONE_00580 in the coordination chain.,0.942,0.568,,CONFIRMED
EVID_000095,CASE_0012,CDR,CALL_000139,PHONE_00580,PHONE_00784,2025-04-05 13:59:43,Call record linking PHONE_00580 and PHONE_00784 in the coordination chain.,0.962,0.802,,CONFIRMED
EVID_000096,CASE_0012,CDR,CALL_000140,PHONE_00784,PHONE_00423,2025-04-05 14:10:43,Call record linking PHONE_00784 and PHONE_00423 in the coordination chain.,0.893,0.761,,CONFIRMED
EVID_000097,CASE_0001,TRANSACTION,TXN_000001,ACCOUNT_00084,ACCOUNT_00114,2025-08-19 19:24:50,Financial transfer of amount 18885.32 possibly linked to network operation funding.,0.978,0.796,,CONFIRMED
EVID_000098,CASE_0001,TRANSACTION,TXN_000002,ACCOUNT_00114,ACCOUNT_00143,2025-08-20 15:24:50,Financial transfer of amount 14825.38 possibly linked to network operation funding.,0.953,0.831,,CONFIRMED
EVID_000099,CASE_0001,TRANSACTION,TXN_000003,ACCOUNT_00143,ACCOUNT_00050,2025-08-21 07:24:50,Financial transfer of amount 9322.76 possibly linked to network operation funding.,0.903,0.632,,CONFIRMED
EVID_000100,CASE_0001,TRANSACTION,TXN_000004,ACCOUNT_00050,ACCOUNT_00146,2025-08-21 19:24:50,Financial transfer of amount 7044.75 possibly linked to network operation funding.,0.948,0.72,,CONFIRMED
EVID_000101,CASE_0001,TRANSACTION,TXN_000005,ACCOUNT_00147,ACCOUNT_00084,2025-09-02 19:24:50,Financial transfer of amount 2674.08 possibly linked to network operation funding.,0.952,0.755,,CONFIRMED
EVID_000102,CASE_0002,TRANSACTION,TXN_000006,ACCOUNT_00109,ACCOUNT_00033,2025-07-27 01:37:23,Financial transfer of amount 33899.99 possibly linked to network operation funding.,0.914,0.59,,CONFIRMED
EVID_000103,CASE_0002,TRANSACTION,TXN_000007,ACCOUNT_00033,ACCOUNT_00026,2025-07-28 07:37:23,Financial transfer of amount 26636.04 possibly linked to network operation funding.,0.933,0.795,,CONFIRMED
EVID_000104,CASE_0002,TRANSACTION,TXN_000008,ACCOUNT_00026,ACCOUNT_00076,2025-07-29 13:37:23,Financial transfer of amount 18212.54 possibly linked to network operation funding.,0.918,0.621,,CONFIRMED
EVID_000105,CASE_0002,TRANSACTION,TXN_000009,ACCOUNT_00135,ACCOUNT_00109,2025-08-05 01:37:23,Financial transfer of amount 8617.18 possibly linked to network operation funding.,0.905,0.854,,CONFIRMED
EVID_000106,CASE_0003,TRANSACTION,TXN_000010,ACCOUNT_00027,ACCOUNT_00089,2025-10-07 09:03:43,Financial transfer of amount 30265.51 possibly linked to network operation funding.,0.926,0.821,,CONFIRMED
EVID_000107,CASE_0003,TRANSACTION,TXN_000011,ACCOUNT_00089,ACCOUNT_00040,2025-10-07 21:03:43,Financial transfer of amount 26131.41 possibly linked to network operation funding.,0.909,0.889,,CONFIRMED
EVID_000108,CASE_0003,TRANSACTION,TXN_000012,ACCOUNT_00040,ACCOUNT_00108,2025-10-08 10:03:43,Financial transfer of amount 21999.04 possibly linked to network operation funding.,0.954,0.808,,CONFIRMED
EVID_000109,CASE_0003,TRANSACTION,TXN_000013,ACCOUNT_00098,ACCOUNT_00027,2025-10-22 09:03:43,Financial transfer of amount 5657.51 possibly linked to network operation funding.,0.972,0.953,,CONFIRMED
EVID_000110,CASE_0004,TRANSACTION,TXN_000014,ACCOUNT_00128,ACCOUNT_00091,2025-11-08 15:19:44,Financial transfer of amount 13150.9 possibly linked to network operation funding.,0.9,0.503,,CONFIRMED
EVID_000111,CASE_0004,TRANSACTION,TXN_000015,ACCOUNT_00091,ACCOUNT_00104,2025-11-09 15:19:44,Financial transfer of amount 9936.92 possibly linked to network operation funding.,0.932,0.717,,CONFIRMED
EVID_000112,CASE_0004,TRANSACTION,TXN_000016,ACCOUNT_00104,ACCOUNT_00092,2025-11-10 16:19:44,Financial transfer of amount 5992.86 possibly linked to network operation funding.,0.921,0.817,,CONFIRMED
EVID_000113,CASE_0004,TRANSACTION,TXN_000017,ACCOUNT_00127,ACCOUNT_00128,2025-11-24 15:19:44,Financial transfer of amount 2086.78 possibly linked to network operation funding.,0.98,0.581,,CONFIRMED
EVID_000114,CASE_0005,TRANSACTION,TXN_000018,ACCOUNT_00003,ACCOUNT_00002,2025-05-12 15:02:21,Financial transfer of amount 6807.9 possibly linked to network operation funding.,0.939,0.916,,CONFIRMED
EVID_000115,CASE_0005,TRANSACTION,TXN_000019,ACCOUNT_00002,ACCOUNT_00061,2025-05-13 08:02:21,Financial transfer of amount 4179.6 possibly linked to network operation funding.,0.972,0.706,,CONFIRMED
EVID_000116,CASE_0005,TRANSACTION,TXN_000020,ACCOUNT_00061,ACCOUNT_00157,2025-05-14 13:02:21,Financial transfer of amount 2664.36 possibly linked to network operation funding.,0.943,0.886,,CONFIRMED
EVID_000117,CASE_0005,TRANSACTION,TXN_000021,ACCOUNT_00139,ACCOUNT_00003,2025-05-19 15:02:21,Financial transfer of amount 753.2 possibly linked to network operation funding.,0.958,0.532,,CONFIRMED
EVID_000118,CASE_0006,TRANSACTION,TXN_000022,ACCOUNT_00042,ACCOUNT_00043,2025-12-23 19:52:31,Financial transfer of amount 11295.88 possibly linked to network operation funding.,0.98,0.691,,CONFIRMED
EVID_000119,CASE_0006,TRANSACTION,TXN_000023,ACCOUNT_00043,ACCOUNT_00011,2025-12-24 06:52:31,Financial transfer of amount 7978.25 possibly linked to network operation funding.,0.927,0.728,,CONFIRMED
EVID_000120,CASE_0006,TRANSACTION,TXN_000024,ACCOUNT_00066,ACCOUNT_00042,2026-01-11 19:52:31,Financial transfer of amount 3338.59 possibly linked to network operation funding.,0.922,0.67,,CONFIRMED
EVID_000121,CASE_0007,TRANSACTION,TXN_000025,ACCOUNT_00016,ACCOUNT_00125,2025-01-11 19:26:00,Financial transfer of amount 39410.34 possibly linked to network operation funding.,0.9,0.906,,CONFIRMED
EVID_000122,CASE_0007,TRANSACTION,TXN_000026,ACCOUNT_00125,ACCOUNT_00132,2025-01-12 05:26:00,Financial transfer of amount 35714.74 possibly linked to network operation funding.,0.978,0.765,,CONFIRMED
EVID_000123,CASE_0007,TRANSACTION,TXN_000027,ACCOUNT_00132,ACCOUNT_00022,2025-01-13 05:26:00,Financial transfer of amount 20760.29 possibly linked to network operation funding.,0.961,0.603,,CONFIRMED
EVID_000124,CASE_0007,TRANSACTION,TXN_000028,ACCOUNT_00062,ACCOUNT_00016,2025-01-31 19:26:00,Financial transfer of amount 6370.84 possibly linked to network operation funding.,0.954,0.635,,CONFIRMED
EVID_000125,CASE_0008,TRANSACTION,TXN_000029,ACCOUNT_00052,ACCOUNT_00107,2025-05-03 05:08:40,Financial transfer of amount 24367.41 possibly linked to network operation funding.,0.958,0.616,,CONFIRMED
EVID_000126,CASE_0008,TRANSACTION,TXN_000030,ACCOUNT_00107,ACCOUNT_00068,2025-05-03 23:08:40,Financial transfer of amount 17366.18 possibly linked to network operation funding.,0.964,0.715,,CONFIRMED
EVID_000127,CASE_0008,TRANSACTION,TXN_000031,ACCOUNT_00074,ACCOUNT_00052,2025-05-24 05:08:40,Financial transfer of amount 8460.29 possibly linked to network operation funding.,0.912,0.718,,CONFIRMED
EVID_000128,CASE_0009,TRANSACTION,TXN_000032,ACCOUNT_00048,ACCOUNT_00035,2025-11-28 15:55:34,Financial transfer of amount 15160.21 possibly linked to network operation funding.,0.947,0.97,,CONFIRMED
EVID_000129,CASE_0009,TRANSACTION,TXN_000033,ACCOUNT_00035,ACCOUNT_00038,2025-11-29 10:55:34,Financial transfer of amount 14230.33 possibly linked to network operation funding.,0.906,0.905,,CONFIRMED
EVID_000130,CASE_0009,TRANSACTION,TXN_000034,ACCOUNT_00038,ACCOUNT_00177,2025-11-29 18:55:34,Financial transfer of amount 10544.46 possibly linked to network operation funding.,0.914,0.691,,CONFIRMED
EVID_000131,CASE_0009,TRANSACTION,TXN_000035,ACCOUNT_00151,ACCOUNT_00048,2025-12-04 15:55:34,Financial transfer of amount 4716.78 possibly linked to network operation funding.,0.906,0.915,,CONFIRMED
EVID_000132,CASE_0010,TRANSACTION,TXN_000036,ACCOUNT_00117,ACCOUNT_00072,2025-10-17 14:19:44,Financial transfer of amount 14340.61 possibly linked to network operation funding.,0.972,0.688,,CONFIRMED
EVID_000133,CASE_0010,TRANSACTION,TXN_000037,ACCOUNT_00072,ACCOUNT_00150,2025-10-18 14:19:44,Financial transfer of amount 8488.79 possibly linked to network operation funding.,0.932,0.566,,CONFIRMED
