tower_id,location_id,latitude,longitude,coverage_radius,city
TOWER_0062,LOCATION_0192,26.9746,75.75939,1.77,Jaipur
TOWER_0063,LOCATION_0073,26.80119,81.07104,1.97,Lucknow
TOWER_0064,LOCATION_0184,30.67699,76.7297,4.44,Chandigarh
TOWER_0065,LOCATION_0275,22.94552,72.55282,1.1,Ahmedabad
TOWER_0066,LOCATION_0166,18.95627,72.84594,4.21,Mumbai
TOWER_0067,LOCATION_0227,18.58181,73.88876,4.06,Pune
TOWER_0068,LOCATION_0138,22.74302,75.78435,2.71,Indore
TOWER_0069,LOCATION_0079,23.3103,77.51472,2.3,Bhopal
TOWER_0070,LOCATION_0020,17.54331,78.49974,1.07,Hyderabad
TOWER_0071,LOCATION_0221,28.49942,77.22538,2.22,Delhi
TOWER_0072,LOCATION_0032,27.00772,75.86999,0.84,Jaipur
TOWER_0073,LOCATION_0153,26.87885,81.0378,3.29,Lucknow
TOWER_0074,LOCATION_0144,30.84793,76.68216,3.89,Chandigarh
TOWER_0075,LOCATION_0235,22.87964,72.70305,2.55,Ahmedabad
TOWER_0076,LOCATION_0056,19.01947,72.73943,2.85,Mumbai
TOWER_0077,LOCATION_0257,18.64851,73.74365,3.29,Pune
TOWER_0078,LOCATION_0068,22.7557,75.96985,1.81,Indore
TOWER_0079,LOCATION_0119,23.13605,77.53237,2.45,Bhopal
TOWER_0080,LOCATION_0190,17.29963,78.53893,3.82,Hyderabad
TOWER_0081,LOCATION_0261,28.46009,77.27965,1.93,Delhi
TOWER_0082,LOCATION_0092,26.93996,75.66525,2.19,Jaipur
TOWER_0083,LOCATION_0023,26.86989,80.85262,3.82,Lucknow
TOWER_0084,LOCATION_0144,30.86128,76.66549,0.89,Chandigarh
TOWER_0085,LOCATION_0145,23.10664,72.43527,1.83,Ahmedabad
TOWER_0086,LOCATION_0146,19.17177,72.96517,1.24,Mumbai
TOWER_0087,LOCATION_0097,18.42794,73.73537,4.04,Pune
TOWER_0088,LOCATION_0258,22.66761,75.74829,0.86,Indore
TOWER_0089,LOCATION_0139,23.19692,77.5312,3.14,Bhopal
TOWER_0090,LOCATION_0110,17.40378,78.35826,4.3,Hyderabad
TOWER_0091,LOCATION_0181,28.48523,77.3011,1.02,Delhi
TOWER_0092,LOCATION_0232,26.90626,75.8114,4.33,Jaipur
TOWER_0093,LOCATION_0113,26.89735,80.85617,1.08,Lucknow
TOWER_0094,LOCATION_0274,30.69312,76.82042,3.75,Chandigarh
TOWER_0095,LOCATION_0265,23.08478,72.5536,4.33,Ahmedabad
TOWER_0096,LOCATION_0056,19.01866,72.74297,3.44,Mumbai
TOWER_0097,LOCATION_0237,18.57799,73.98855,3.84,Pune
TOWER_0098,LOCATION_0108,22.59966,75.96381,1.78,Indore
TOWER_0099,LOCATION_0109,23.28761,77.32904,3.98,Bhopal
TOWER_0100,LOCATION_0090,17.51666,78.55973,3.52,Hyderabad
TOWER_0101,LOCATION_0281,28.68693,77.1776,2.32,Delhi
TOWER_0102,LOCATION_0112,26.96587,75.776,1.18,Jaipur
TOWER_0103,LOCATION_0113,26.90734,80.86449,4.15,Lucknow
TOWER_0104,LOCATION_0014,30.78119,76.89835,2.72,Chandigarh
TOWER_0105,LOCATION_0155,23.10368,72.58128,0.91,Ahmedabad
TOWER_0106,LOCATION_0206,18.96882,72.78025,3.81,Mumbai
TOWER_0107,LOCATION_0137,18.57421,73.75158,1.52,Pune
TOWER_0108,LOCATION_0298,22.6636,75.72976,1.74,Indore
TOWER_0109,LOCATION_0159,23.20511,77.41975,4.38,Bhopal
TOWER_0110,LOCATION_0160,17.39962,78.41855,1.57,Hyderabad
TOWER_0111,LOCATION_0061,28.60217,77.3497,2.72,Delhi
TOWER_0112,LOCATION_0042,26.76275,75.71508,0.93,Jaipur
TOWER_0113,LOCATION_0183,26.80624,80.97213,2.23,Lucknow
TOWER_0114,LOCATION_0074,30.66194,76.64942,2.68,Chandigarh
TOWER_0115,LOCATION_0005,22.93572,72.57595,2.79,Ahmedabad
TOWER_0116,LOCATION_0246,19.22489,72.79126,2.43,Mumbai
TOWER_0117,LOCATION_0227,18.58612,73.8903,3.28,Pune
TOWER_0118,LOCATION_0068,22.74959,75.95914,2.17,Indore
TOWER_0119,LOCATION_0229,23.38521,77.50466,1.76,Bhopal
TOWER_0120,LOCATION_0160,17.39839,78.42344,3.08,Hyderabad
TOWER_0121,LOCATION_0011,28.48481,77.16963,2.78,Delhi
TOWER_0122,LOCATION_0182,26.9875,75.78291,3.65,Jaipur
TOWER_0123,LOCATION_0283,26.86675,80.9724,1.51,Lucknow
TOWER_0124,LOCATION_0234,30.7573,76.74233,3.29,Chandigarh
TOWER_0125,LOCATION_0105,23.05042,72.42949,2.04,Ahmedabad
TOWER_0126,LOCATION_0036,19.11136,72.99363,1.3,Mumbai
TOWER_0127,LOCATION_0207,18.50346,73.90426,2.51,Pune
TOWER_0128,LOCATION_0028,22.72212,75.92882,1.48,Indore
TOWER_0129,LOCATION_0169,23.31719,77.47397,3.49,Bhopal
TOWER_0130,LOCATION_0230,17.24979,78.37671,3.68,Hyderabad
TOWER_0131,LOCATION_0171,28.59355,77.22854,0.84,Delhi
TOWER_0132,LOCATION_0032,27.00197,75.87318,1.33,Jaipur
TOWER_0133,LOCATION_0113,26.89935,80.85759,1.32,Lucknow
TOWER_0134,LOCATION_0164,30.86165,76.87231,2.87,Chandigarh
TOWER_0135,LOCATION_0045,23.02859,72.65742,4.44,Ahmedabad
TOWER_0136,LOCATION_0266,19.07008,72.72326,3.77,Mumbai
TOWER_0137,LOCATION_0277,18.66886,73.94901,4.19,Pune
TOWER_0138,LOCATION_0248,22.68896,75.73935,3.08,Indore
TOWER_0139,LOCATION_0179,23.21197,77.53903,0.98,Bhopal
TOWER_0140,LOCATION_0080,17.43849,78.51527,3.76,Hyderabad
TOWER_0141,LOCATION_0141,28.76658,77.23127,2.69,Delhi
TOWER_0142,LOCATION_0272,27.01042,75.92183,2.48,Jaipur
TOWER_0143,LOCATION_0193,26.88935,80.84478,1.7,Lucknow
TOWER_0144,LOCATION_0244,30.7781,76.64839,3.27,Chandigarh
TOWER_0145,LOCATION_0075,22.87418,72.5353,3.89,Ahmedabad
TOWER_0146,LOCATION_0186,19.14493,73.01044,4.13,Mumbai
TOWER_0147,LOCATION_0227,18.5907,73.88953,1.63,Pune
TOWER_0148,LOCATION_0018,22.8606,75.82111,3.11,Indore
TOWER_0149,LOCATION_0069,23.20584,77.32512,3.89,Bhopal
TOWER_0150,LOCATION_0200,17.35585,78.63222,4.13,Hyderabad
