vehicle_id,owner_person_id,vehicle_type,model,registration_alias,ownership_start,ownership_end,confidence
VEHICLE_00035,PERSON_0748,SUV,SynModel-B5,PUN-10-SYN-5342,2021-09-02 18:12:17,,0.97
VEHICLE_00036,PERSON_1103,hatchback,SynModel-A4,JAI-83-SYN-3874,2023-04-03 12:52:47,,0.98
VEHICLE_00037,PERSON_0650,sedan,SynModel-B5,DEL-36-SYN-4921,2021-12-26 10:08:49,,0.84
VEHICLE_00038,PERSON_1468,hatchback,SynModel-Z3,LKO-98-SYN-4890,2023-02-28 09:30:34,,0.81
VEHICLE_00039,PERSON_0591,hatchback,SynModel-A4,IND-22-SYN-6628,2023-02-06 17:22:00,,0.93
VEHICLE_00040,PERSON_1190,hatchback,SynModel-B5,BHO-29-SYN-4701,2025-08-26 15:38:29,,0.82
VEHICLE_00041,PERSON_1170,SUV,SynModel-Y2,PUN-65-SYN-4256,2021-07-20 20:15:15,,0.8
VEHICLE_00042,PERSON_0266,two_wheeler,SynModel-A4,DEL-12-SYN-1751,2023-11-27 15:40:01,,0.83
VEHICLE_00043,PERSON_1499,hatchback,SynModel-A4,HYD-57-SYN-1979,2022-04-03 07:51:53,,0.97
VEHICLE_00044,PERSON_0037,sedan,SynModel-Y2,PUN-95-SYN-4315,2022-04-27 09:20:32,,0.92
VEHICLE_00045,PERSON_1449,two_wheeler,SynModel-A4,BHO-14-SYN-1215,2024-03-01 06:44:32,,0.84
VEHICLE_00046,PERSON_1303,two_wheeler,SynModel-X1,JAI-23-SYN-5464,2026-04-05 13:12:54,,0.93
VEHICLE_00047,PERSON_1250,two_wheeler,SynModel-B5,BHO-45-SYN-2502,2021-10-07 04:17:36,,0.83
VEHICLE_00048,PERSON_0554,hatchback,SynModel-B5,MUM-82-SYN-3187,2021-11-03 20:12:47,,0.87
VEHICLE_00049,PERSON_1353,commercial_van,SynModel-A4,BHO-86-SYN-4391,2023-05-13 10:55:17,,0.84
VEHICLE_00050,PERSON_0666,sedan,SynModel-A4,PUN-67-SYN-3481,2021-11-21 14:33:53,,0.86
VEHICLE_00051,PERSON_1115,SUV,SynModel-X1,DEL-90-SYN-8343,2023-05-27 19:19:17,,0.98
VEHICLE_00052,PERSON_0398,SUV,SynModel-A4,MUM-14-SYN-8580,2023-02-13 21:31:00,,0.87
VEHICLE_00053,PERSON_0736,hatchback,SynModel-Z3,IND-43-SYN-9720,2025-11-18 18:14:21,,0.8
VEHICLE_00054,PERSON_0785,two_wheeler,SynModel-B5,HYD-10-SYN-1903,2024-07-07 22:25:51,,0.92
VEHICLE_00055,PERSON_0671,sedan,SynModel-Z3,MUM-30-SYN-9884,2024-10-09 13:27:06,,0.86
VEHICLE_00056,PERSON_0639,two_wheeler,SynModel-A4,HYD-80-SYN-4202,2023-11-26 19:32:49,,0.8
VEHICLE_00057,PERSON_1203,commercial_van,SynModel-B5,LKO-67-SYN-9526,2026-04-26 22:22:08,,0.88
VEHICLE_00058,PERSON_0945,commercial_van,SynModel-X1,JAI-33-SYN-1528,2024-06-12 20:58:12,,0.82
VEHICLE_00059,PERSON_0065,two_wheeler,SynModel-A4,BHO-21-SYN-4538,2024-04-06 00:15:07,,0.96
VEHICLE_00060,PERSON_0319,hatchback,SynModel-B5,AHM-67-SYN-1047,2021-12-16 04:03:26,,0.97
VEHICLE_00061,PERSON_0032,two_wheeler,SynModel-Z3,LKO-89-SYN-8728,2024-07-26 10:49:43,,0.93
VEHICLE_00062,PERSON_0938,hatchback,SynModel-X1,JAI-58-SYN-1714,2024-06-14 07:50:08,,0.84
VEHICLE_00063,PERSON_0676,commercial_van,SynModel-Z3,BHO-76-SYN-3125,2021-11-15 05:25:02,,0.91
VEHICLE_00064,PERSON_0104,commercial_van,SynModel-Z3,LKO-14-SYN-1798,2025-07-28 18:44:22,,0.88
VEHICLE_00065,PERSON_1433,SUV,SynModel-X1,IND-86-SYN-6022,2022-04-08 04:03:12,,0.93
VEHICLE_00066,PERSON_0551,hatchback,SynModel-B5,DEL-67-SYN-2187,2025-07-04 12:03:47,,0.93
VEHICLE_00067,PERSON_0180,sedan,SynModel-Y2,HYD-65-SYN-6042,2024-05-24 01:52:51,,0.82
VEHICLE_00068,PERSON_0030,sedan,SynModel-X1,DEL-55-SYN-1864,2024-01-03 10:07:24,,0.84
VEHICLE_00069,PERSON_1242,hatchback,SynModel-A4,JAI-21-SYN-1621,2025-10-07 16:38:04,,0.94
VEHICLE_00070,PERSON_0256,commercial_van,SynModel-A4,BHO-49-SYN-2331,2024-03-05 20:44:02,,0.9
VEHICLE_00071,PERSON_1376,SUV,SynModel-Z3,AHM-91-SYN-5082,2024-01-30 16:38:46,,0.85
VEHICLE_00072,PERSON_0504,hatchback,SynModel-Z3,LKO-40-SYN-8626,2021-11-20 18:11:00,,0.97
VEHICLE_00073,PERSON_1007,SUV,SynModel-Y2,BHO-92-SYN-8682,2022-08-24 21:35:14,,0.91
VEHICLE_00074,PERSON_0048,SUV,SynModel-Y2,HYD-46-SYN-9604,2025-07-22 16:39:52,,0.88
VEHICLE_00075,PERSON_0376,sedan,SynModel-Z3,MUM-31-SYN-4493,2026-01-13 19:13:28,,0.81
VEHICLE_00076,PERSON_1464,hatchback,SynModel-Y2,LKO-18-SYN-2340,2021-11-24 01:16:22,,0.9
VEHICLE_00077,PERSON_0423,two_wheeler,SynModel-A4,LKO-23-SYN-5670,2026-03-23 07:07:35,,0.95
VEHICLE_00078,PERSON_0784,hatchback,SynModel-B5,PUN-48-SYN-9612,2024-06-08 00:01:02,,0.88
VEHICLE_00079,PERSON_0580,SUV,SynModel-Z3,CHD-69-SYN-4523,2023-05-24 21:05:33,,0.92
VEHICLE_00080,PERSON_0903,commercial_van,SynModel-B5,AHM-45-SYN-5932,2023-03-08 03:25:24,,0.97
VEHICLE_00081,PERSON_0725,two_wheeler,SynModel-X1,AHM-97-SYN-3817,2022-08-29 05:24:06,,0.83
VEHICLE_00082,PERSON_1123,hatchback,SynModel-X1,BHO-72-SYN-1790,2025-05-15 06:57:05,,0.81
VEHICLE_00083,PERSON_0577,SUV,SynModel-Z3,IND-26-SYN-1182,2025-05-15 11:57:05,,0.98
VEHICLE_00084,PERSON_0089,commercial_van,SynModel-B5,HYD-95-SYN-7498,2026-04-30 07:27:42,,0.93
VEHICLE_00085,PERSON_0908,SUV,SynModel-X1,PUN-93-SYN-9445,2022-06-12 09:25:13,,0.95
VEHICLE_00086,PERSON_0815,two_wheeler,SynModel-X1,PUN-98-SYN-8476,2024-08-03 17:33:47,,0.96
VEHICLE_00087,PERSON_0822,sedan,SynModel-B5,IND-93-SYN-5192,2021-12-26 07:11:09,,0.85
VEHICLE_00088,PERSON_0619,hatchback,SynModel-A4,HYD-13-SYN-7698,2021-11-25 08:49:03,,0.96
VEHICLE_00089,PERSON_0752,commercial_van,SynModel-X1,PUN-52-SYN-9153,2026-04-16 02:55:01,,0.82
VEHICLE_00090,PERSON_1360,SUV,SynModel-X1,MUM-75-SYN-7963,2022-11-29 20:53:35,,0.92
VEHICLE_00091,PERSON_0412,hatchback,SynModel-Y2,AHM-18-SYN-7780,2025-02-11 15:47:04,,0.89
VEHICLE_00092,PERSON_0477,commercial_van,SynModel-A4,MUM-34-SYN-7298,2025-10-21 16:54:18,,0.84
VEHICLE_00093,PERSON_0170,two_wheeler,SynModel-B5,MUM-15-SYN-3880,2022-08-17 03:26:31,,0.85
VEHICLE_00094,PERSON_0310,two_wheeler,SynModel-B5,CHD-60-SYN-3142,2026-04-28 00:30:23,,0.85
VEHICLE_00095,PERSON_1427,commercial_van,SynModel-Y2,MUM-82-SYN-1848,2025-01-15 04:31:03,,0.96
VEHICLE_00096,PERSON_1412,commercial_van,SynModel-A4,JAI-29-SYN-2014,2024-09-10 12:13:01,,0.84
VEHICLE_00097,PERSON_0506,SUV,SynModel-B5,AHM-45-SYN-9998,2024-11-28 06:59:32,,0.96
VEHICLE_00098,PERSON_0864,SUV,SynModel-X1,PUN-63-SYN-9361,2024-05-06 00:34:03,,0.86
VEHICLE_00099,PERSON_0552,two_wheeler,SynModel-X1,HYD-37-SYN-1815,2024-06-28 20:17:27,,0.8
VEHICLE_00100,PERSON_0600,hatchback,SynModel-Y2,AHM-71-SYN-1664,2024-06-30 06:01:27,,0.96
VEHICLE_00101,PERSON_0462,SUV,SynModel-B5,CHD-39-SYN-7711,2024-01-22 10:38:21,,0.96
VEHICLE_00102,PERSON_0215,SUV,SynModel-X1,PUN-98-SYN-4191,2023-02-12 12:21:28,,0.87
VEHICLE_00103,PERSON_0071,hatchback,SynModel-Z3,AHM-96-SYN-2791,2022-11-29 22:02:38,,0.91
VEHICLE_00104,PERSON_1477,two_wheeler,SynModel-Z3,AHM-71-SYN-3388,2022-04-06 04:28:05,,0.87
VEHICLE_00105,PERSON_0471,commercial_van,SynModel-A4,MUM-73-SYN-1309,2023-10-24 20:55:29,,0.91
VEHICLE_00106,PERSON_1493,two_wheeler,SynModel-Z3,DEL-57-SYN-4466,2024-04-11 04:16:19,,0.84
VEHICLE_00107,PERSON_1321,commercial_van,SynModel-A4,BHO-11-SYN-3076,2024-06-28 04:04:59,,0.96
VEHICLE_00108,PERSON_0455,sedan,SynModel-Y2,PUN-69-SYN-6215,2023-01-03 08:06:46,,0.97
VEHICLE_00109,PERSON_0131,two_wheeler,SynModel-X1,AHM-46-SYN-9972,2025-09-29 05:09:25,,0.84
VEHICLE_00110,PERSON_0428,two_wheeler,SynModel-A4,IND-75-SYN-1679,2025-05-01 03:16:11,,0.82
VEHICLE_00111,PERSON_0745,commercial_van,SynModel-X1,LKO-51-SYN-4462,2024-05-20 09:26:05,,0.91
VEHICLE_00112,PERSON_0372,hatchback,SynModel-X1,CHD-93-SYN-7237,2025-04-05 07:56:14,,0.83
VEHICLE_00113,PERSON_0325,two_wheeler,SynModel-Y2,MUM-28-SYN-4158,2026-01-27 11:17:36,,0.92
VEHICLE_00114,PERSON_0611,two_wheeler,SynModel-Z3,IND-75-SYN-8350,2026-01-18 00:53:02,,0.95
VEHICLE_00115,PERSON_0924,hatchback,SynModel-B5,CHD-49-SYN-5031,2025-07-03 03:47:10,,0.82
VEHICLE_00116,PERSON_1432,hatchback,SynModel-Z3,CHD-78-SYN-4783,2022-02-18 01:49:59,,0.82
VEHICLE_00117,PERSON_0842,two_wheeler,SynModel-Y2,DEL-82-SYN-3297,2025-09-13 20:50:34,,0.86
VEHICLE_00118,PERSON_1130,two_wheeler,SynModel-Y2,BHO-29-SYN-7810,2022-07-03 06:19:58,,0.99
VEHICLE_00119,PERSON_0355,commercial_van,SynModel-B5,JAI-50-SYN-2374,2023-08-27 07:44:59,,0.86
VEHICLE_00120,PERSON_0657,commercial_van,SynModel-Z3,MUM-99-SYN-3254,2022-05-01 01:27:17,,0.8
VEHICLE_00121,PERSON_0273,hatchback,SynModel-B5,PUN-12-SYN-4193,2024-10-10 11:18:04,,0.94
VEHICLE_00122,PERSON_0790,SUV,SynModel-Z3,HYD-86-SYN-2396,2025-05-02 16:21:37,,0.86
VEHICLE_00123,PERSON_0993,commercial_van,SynModel-B5,BHO-62-SYN-7327,2023-07-19 12:08:29,,0.83
VEHICLE_00124,PERSON_0816,commercial_van,SynModel-Y2,DEL-13-SYN-3166,2026-03-15 04:46:11,,0.86
VEHICLE_00125,PERSON_0679,two_wheeler,SynModel-Z3,LKO-63-SYN-3711,2022-07-22 17:09:59,,0.82
VEHICLE_00126,PERSON_0947,SUV,SynModel-A4,BHO-19-SYN-4079,2026-02-11 18:24:16,,0.95
VEHICLE_00127,PERSON_1336,two_wheeler,SynModel-Z3,BHO-86-SYN-2178,2023-04-24 04:47:17,,0.94
VEHICLE_00128,PERSON_0458,hatchback,SynModel-X1,IND-54-SYN-3580,2024-04-02 13:17:28,,0.99
VEHICLE_00129,PERSON_0791,commercial_van,SynModel-B5,PUN-97-SYN-3347,2025-08-09 13:52:21,,0.95
VEHICLE_00130,PERSON_1442,two_wheeler,SynModel-A4,IND-88-SYN-6190,2023-12-18 12:56:39,,0.92
VEHICLE_00131,PERSON_0406,SUV,SynModel-B5,LKO-78-SYN-5137,2021-12-09 19:03:26,,0.9
VEHICLE_00132,PERSON_0218,two_wheeler,SynModel-Y2,JAI-56-SYN-2755,2021-10-18 08:22:03,,0.96
VEHICLE_00133,PERSON_1091,hatchback,SynModel-X1,LKO-18-SYN-5168,2025-07-30 06:45:59,,0.97
VEHICLE_00134,PERSON_1253,sedan,SynModel-Z3,CHD-10-SYN-8388,2022-02-25 00:48:15,,0.86
VEHICLE_00135,PERSON_0882,two_wheeler,SynModel-B5,PUN-47-SYN-8171,2025-10-20 06:52:12,,0.89
VEHICLE_00136,PERSON_0379,SUV,SynModel-Y2,PUN-71-SYN-7520,2023-07-18 13:48:16,,0.87
VEHICLE_00137,PERSON_0062,two_wheeler,SynModel-Y2,IND-96-SYN-1950,2022-11-24 06:01:27,,0.95
VEHICLE_00138,PERSON_1443,sedan,SynModel-B5,AHM-72-SYN-4020,2022-02-01 07:24:08,,0.87
VEHICLE_00139,PERSON_0710,hatchback,SynModel-Y2,DEL-74-SYN-5391,2024-09-22 12:05:49,,0.83
VEHICLE_00140,PERSON_1135,commercial_van,SynModel-Y2,LKO-68-SYN-9326,2022-02-12 13:18:50,,0.96
VEHICLE_00141,PERSON_0136,sedan,SynModel-Y2,JAI-15-SYN-6769,2022-02-23 01:18:52,,0.86
VEHICLE_00142,PERSON_1244,two_wheeler,SynModel-B5,AHM-42-SYN-2620,2024-06-07 14:26:46,,0.89
VEHICLE_00143,PERSON_0317,commercial_van,SynModel-A4,PUN-83-SYN-7256,2025-06-14 21:35:54,,0.83
VEHICLE_00144,PERSON_0202,sedan,SynModel-X1,BHO-95-SYN-5726,2023-11-26 02:09:33,,0.89
VEHICLE_00145,PERSON_1267,two_wheeler,SynModel-Y2,PUN-30-SYN-7363,2023-06-11 04:17:49,,0.95
VEHICLE_00146,PERSON_0108,sedan,SynModel-X1,MUM-59-SYN-3527,2025-09-18 18:20:38,,0.98
VEHICLE_00147,PERSON_0043,commercial_van,SynModel-Y2,IND-47-SYN-6048,2025-11-04 16:26:39,,0.96
VEHICLE_00148,PERSON_1455,SUV,SynModel-Y2,MUM-47-SYN-9326,2025-06-11 07:37:32,,0.97
VEHICLE_00149,PERSON_0321,SUV,SynModel-B5,IND-33-SYN-8038,2025-05-21 08:47:51,,0.93
VEHICLE_00150,PERSON_0196,commercial_van,SynModel-A4,IND-16-SYN-5103,2024-03-05 12:45:43,,0.91
VEHICLE_00151,PERSON_0457,SUV,SynModel-Z3,PUN-13-SYN-7361,2025-08-24 19:54:49,,0.93
VEHICLE_00152,PERSON_0221,two_wheeler,SynModel-X1,BHO-28-SYN-9190,2024-07-14 10:04:25,,0.91
VEHICLE_00153,PERSON_0128,sedan,SynModel-Y2,MUM-75-SYN-8103,2023-05-31 13:22:34,,0.92
VEHICLE_00154,PERSON_1122,commercial_van,SynModel-B5,AHM-59-SYN-9334,2022-11-21 07:59:16,,0.91
VEHICLE_00155,PERSON_0023,commercial_van,SynModel-Z3,AHM-10-SYN-5985,2023-04-06 11:17:14,,0.94
VEHICLE_00156,PERSON_1107,commercial_van,SynModel-A4,JAI-56-SYN-1043,2022-08-28 22:03:46,,0.91
VEHICLE_00157,PERSON_1304,sedan,SynModel-A4,MUM-16-SYN-9945,2022-04-19 06:18:57,,0.87
VEHICLE_00158,PERSON_0701,SUV,SynModel-B5,HYD-89-SYN-8213,2022-04-01 07:10:59,,0.82
VEHICLE_00159,PERSON_0636,commercial_van,SynModel-B5,BHO-28-SYN-2646,2022-05-28 00:12:33,,0.8
VEHICLE_00160,PERSON_1374,sedan,SynModel-Y2,AHM-40-SYN-5828,2022-05-17 23:44:35,,0.89
VEHICLE_00161,PERSON_0536,sedan,SynModel-Y2,HYD-28-SYN-7517,2022-09-24 02:49:43,,0.83
VEHICLE_00162,PERSON_0238,SUV,SynModel-X1,DEL-32-SYN-8789,2024-05-25 07:11:17,,0.91
VEHICLE_00163,PERSON_1031,commercial_van,SynModel-A4,HYD-80-SYN-2963,2024-07-16 01:10:51,,0.97
VEHICLE_00164,PERSON_0772,hatchback,SynModel-Z3,CHD-44-SYN-1688,2024-12-09 00:16:47,,0.93
VEHICLE_00165,PERSON_1032,commercial_van,SynModel-Z3,MUM-20-SYN-1519,2022-12-21 22:41:10,,0.93
VEHICLE_00166,PERSON_0755,sedan,SynModel-Y2,HYD-19-SYN-1889,2023-09-06 23:21:07,,0.91
VEHICLE_00167,PERSON_1118,two_wheeler,SynModel-A4,PUN-28-SYN-7966,2023-04-12 20:13:32,,0.86
VEHICLE_00168,PERSON_1216,SUV,SynModel-X1,BHO-55-SYN-2941,2022-11-05 17:29:18,,0.91
VEHICLE_00169,PERSON_0664,sedan,SynModel-B5,DEL-70-SYN-1946,2021-11-24 00:52:52,,0.91
VEHICLE_00170,PERSON_1300,hatchback,SynModel-Y2,DEL-42-SYN-6196,2021-12-22 07:19:09,,0.82
VEHICLE_00171,PERSON_1236,hatchback,SynModel-A4,IND-84-SYN-3662,2021-07-23 15:40:04,,0.91
VEHICLE_00172,PERSON_0593,two_wheeler,SynModel-Y2,JAI-59-SYN-6777,2022-12-16 06:08:33,,0.86
VEHICLE_00173,PERSON_0871,sedan,SynModel-Z3,CHD-13-SYN-1351,2025-02-04 14:42:59,,0.81
VEHICLE_00174,PERSON_0081,two_wheeler,SynModel-X1,AHM-49-SYN-3772,2022-07-07 07:13:33,,0.84
VEHICLE_00175,PERSON_1102,SUV,SynModel-Y2,LKO-27-SYN-5215,2022-11-21 21:01:29,,0.93
VEHICLE_00176,PERSON_1344,two_wheeler,SynModel-Z3,JAI-84-SYN-3302,2025-01-15 06:47:24,,0.9
VEHICLE_00177,PERSON_0483,commercial_van,SynModel-X1,CHD-72-SYN-8767,2024-04-25 07:06:11,,0.82
VEHICLE_00178,PERSON_0054,sedan,SynModel-Z3,MUM-95-SYN-7438,2026-01-22 17:20:41,,0.89
VEHICLE_00179,PERSON_0094,two_wheeler,SynModel-A4,PUN-59-SYN-3342,2024-07-19 04:55:55,,0.83
VEHICLE_00180,PERSON_0863,commercial_van,SynModel-A4,HYD-47-SYN-7788,2022-12-20 12:01:59,,0.9
VEHICLE_00181,PERSON_0364,SUV,SynModel-Y2,MUM-75-SYN-8243,2024-01-03 00:34:55,,0.92
VEHICLE_00182,PERSON_1069,two_wheeler,SynModel-B5,CHD-59-SYN-9211,2025-08-17 21:20:32,,0.94
VEHICLE_00183,PERSON_0124,commercial_van,SynModel-A4,BHO-35-SYN-6055,2024-05-17 07:16:43,,0.84
VEHICLE_00184,PERSON_0083,sedan,SynModel-B5,CHD-30-SYN-7037,2025-12-13 20:25:15,,0.91
VEHICLE_00185,PERSON_1169,two_wheeler,SynModel-Y2,JAI-15-SYN-8072,2025-04-15 06:02:43,,0.87
VEHICLE_00186,PERSON_0955,sedan,SynModel-B5,MUM-11-SYN-8853,2023-03-11 21:26:23,,0.87
VEHICLE_00187,PERSON_1095,commercial_van,SynModel-Z3,AHM-42-SYN-2900,2024-03-21 03:37:40,,0.92
VEHICLE_00188,PERSON_0963,hatchback,SynModel-B5,HYD-84-SYN-3304,2026-02-22 08:18:47,,0.83
VEHICLE_00189,PERSON_0545,two_wheeler,SynModel-Y2,LKO-11-SYN-3199,2025-04-16 15:01:45,,0.92
VEHICLE_00190,PERSON_0248,two_wheeler,SynModel-B5,IND-26-SYN-8559,2021-10-27 05:12:17,,0.82
VEHICLE_00191,PERSON_1465,SUV,SynModel-A4,LKO-70-SYN-5169,2023-07-28 22:18:10,,0.86
VEHICLE_00192,PERSON_1280,sedan,SynModel-X1,AHM-50-SYN-8020,2024-05-08 07:54:32,,0.98
VEHICLE_00193,PERSON_0892,hatchback,SynModel-A4,DEL-21-SYN-5422,2024-11-12 22:32:42,,0.94
VEHICLE_00194,PERSON_0341,SUV,SynModel-Z3,BHO-68-SYN-2462,2022-01-15 03:07:23,,0.85
VEHICLE_00195,PERSON_0868,SUV,SynModel-Y2,LKO-14-SYN-3593,2024-03-06 10:57:46,,0.81
VEHICLE_00196,PERSON_1436,sedan,SynModel-B5,LKO-64-SYN-7671,2023-06-21 00:27:44,,0.89
VEHICLE_00197,PERSON_0563,sedan,SynModel-X1,AHM-28-SYN-8011,2024-08-21 16:37:04,,0.82
VEHICLE_00198,PERSON_0490,sedan,SynModel-Z3,JAI-16-SYN-9556,2024-08-10 01:24:08,,0.96
VEHICLE_00199,PERSON_0263,two_wheeler,SynModel-Y2,AHM-31-SYN-1328,2026-01-24 01:38:08,,0.8
VEHICLE_00200,PERSON_0861,two_wheeler,SynModel-B5,PUN-22-SYN-7460,2024-01-17 01:16:51,,0.97
VEHICLE_00201,PERSON_0118,sedan,SynModel-Z3,DEL-43-SYN-4856,2022-07-18 05:10:07,,0.84
VEHICLE_00202,PERSON_0294,two_wheeler,SynModel-Y2,JAI-64-SYN-1597,2023-05-21 00:41:48,,0.95
VEHICLE_00203,PERSON_1371,SUV,SynModel-Z3,MUM-42-SYN-9791,2023-02-02 00:28:05,,0.81
VEHICLE_00204,PERSON_0550,hatchback,SynModel-Z3,AHM-71-SYN-8152,2025-05-31 07:27:10,,0.98
VEHICLE_00205,PERSON_1074,hatchback,SynModel-Z3,AHM-34-SYN-5794,2025-02-13 15:36:24,,0.82
VEHICLE_00206,PERSON_1129,hatchback,SynModel-X1,PUN-86-SYN-4567,2025-08-28 01:38:09,,0.93
VEHICLE_00207,PERSON_0714,hatchback,SynModel-B5,BHO-38-SYN-3102,2021-11-03 08:08:08,,0.91
VEHICLE_00208,PERSON_0995,sedan,SynModel-B5,AHM-22-SYN-2431,2024-08-22 07:11:48,,0.86
VEHICLE_00209,PERSON_0916,two_wheeler,SynModel-X1,CHD-88-SYN-7223,2024-07-12 10:00:11,,0.93
VEHICLE_00210,PERSON_0326,two_wheeler,SynModel-A4,LKO-71-SYN-8725,2022-11-04 21:12:14,,0.82
VEHICLE_00211,PERSON_0632,hatchback,SynModel-A4,HYD-13-SYN-3528,2022-02-09 15:46:22,,0.85
VEHICLE_00212,PERSON_0661,commercial_van,SynModel-A4,IND-68-SYN-6990,2025-05-13 19:39:19,,0.85
VEHICLE_00213,PERSON_0985,two_wheeler,SynModel-B5,JAI-92-SYN-7776,2025-11-23 11:29:44,,0.98
VEHICLE_00214,PERSON_0320,SUV,SynModel-Y2,HYD-65-SYN-4594,2025-03-05 02:46:02,,0.93
VEHICLE_00215,PERSON_0165,hatchback,SynModel-Z3,JAI-42-SYN-9941,2026-04-06 10:40:29,,0.86
VEHICLE_00216,PERSON_0763,sedan,SynModel-X1,MUM-46-SYN-9949,2025-03-15 06:35:21,,0.99
VEHICLE_00217,PERSON_1119,SUV,SynModel-X1,DEL-14-SYN-8010,2023-04-26 08:13:47,,0.97
VEHICLE_00218,PERSON_0040,hatchback,SynModel-B5,CHD-27-SYN-7122,2025-01-01 11:08:17,,0.84
VEHICLE_00219,PERSON_0044,hatchback,SynModel-A4,AHM-48-SYN-6037,2024-10-22 19:07:53,,0.9
VEHICLE_00220,PERSON_0855,sedan,SynModel-X1,PUN-88-SYN-5475,2023-07-11 16:28:47,,0.93
VEHICLE_00221,PERSON_1309,two_wheeler,SynModel-A4,PUN-93-SYN-1944,2025-05-07 16:26:22,,0.86
VEHICLE_00222,PERSON_0896,two_wheeler,SynModel-Z3,HYD-40-SYN-9888,2023-06-12 18:13:14,,0.82
