call_id,timestamp,caller_phone_id,receiver_phone_id,duration_seconds,call_type,caller_tower_id,receiver_tower_id,source,confidence
CALL_000024,2025-06-24 18:37:23,PHONE_01104,PHONE_00969,91,outgoing,TOWER_0050,TOWER_0028,TELCO_A,0.97
CALL_000025,2025-07-06 14:37:23,PHONE_00809,PHONE_01104,213,missed,TOWER_0109,TOWER_0010,TELCO_C,0.9
CALL_000026,2025-07-06 16:37:23,PHONE_00969,PHONE_01226,184,missed,TOWER_0128,TOWER_0080,TELCO_B,0.94
CALL_000027,2025-06-21 14:37:23,PHONE_00809,PHONE_00969,101,incoming,TOWER_0069,TOWER_0118,TELCO_C,0.95
CALL_000028,2025-07-27 05:37:23,PHONE_01226,PHONE_00809,284,incoming,TOWER_0090,TOWER_0029,TELCO_B,0.9
CALL_000029,2025-10-15 07:13:43,PHONE_00486,PHONE_01343,57,outgoing,TOWER_0074,TOWER_0049,TELCO_A,0.95
CALL_000030,2025-10-15 07:22:43,PHONE_01343,PHONE_00833,174,outgoing,TOWER_0049,TOWER_0103,TELCO_A,0.98
CALL_000031,2025-10-15 07:35:43,PHONE_00833,PHONE_01232,89,outgoing,TOWER_0143,TOWER_0003,TELCO_B,0.92
CALL_000032,2025-10-15 09:50:43,PHONE_01232,PHONE_00833,154,outgoing,TOWER_0003,TOWER_0053,TELCO_B,0.91
CALL_000033,2025-10-15 10:12:43,PHONE_00833,PHONE_01343,33,outgoing,TOWER_0033,TOWER_0129,TELCO_B,0.97
CALL_000034,2025-10-15 10:29:43,PHONE_01343,PHONE_00486,58,outgoing,TOWER_0119,TOWER_0064,TELCO_C,0.94
CALL_000035,2025-09-21 10:03:43,PHONE_01343,PHONE_01232,218,incoming,TOWER_0139,TOWER_0063,TELCO_B,0.91
CALL_000036,2025-09-02 22:03:43,PHONE_01232,PHONE_00486,97,outgoing,TOWER_0093,TOWER_0044,TELCO_C,0.96
CALL_000037,2025-09-30 14:03:43,PHONE_01343,PHONE_00833,234,outgoing,TOWER_0029,TOWER_0023,TELCO_A,0.94
CALL_000038,2025-10-08 03:03:43,PHONE_01343,PHONE_00486,63,missed,TOWER_0009,TOWER_0084,TELCO_A,0.87
CALL_000039,2025-11-18 13:25:44,PHONE_01060,PHONE_00720,91,outgoing,TOWER_0058,TOWER_0004,TELCO_C,0.91
CALL_000040,2025-11-18 13:37:44,PHONE_00720,PHONE_00950,141,outgoing,TOWER_0094,TOWER_0149,TELCO_B,0.88
CALL_000041,2025-11-18 13:52:44,PHONE_00950,PHONE_00096,167,outgoing,TOWER_0059,TOWER_0124,TELCO_A,0.96
CALL_000042,2025-11-18 16:28:44,PHONE_00096,PHONE_00950,35,outgoing,TOWER_0044,TOWER_0059,TELCO_B,0.98
CALL_000043,2025-11-18 16:41:44,PHONE_00950,PHONE_00720,97,outgoing,TOWER_0099,TOWER_0084,TELCO_B,0.97
CALL_000044,2025-11-18 17:04:44,PHONE_00720,PHONE_01060,106,outgoing,TOWER_0144,TOWER_0088,TELCO_C,0.86
CALL_000045,2025-10-18 16:19:44,PHONE_00096,PHONE_00720,108,incoming,TOWER_0084,TOWER_0134,TELCO_C,0.9
CALL_000046,2025-11-07 15:19:44,PHONE_01060,PHONE_00720,293,incoming,TOWER_0078,TOWER_0094,TELCO_A,0.86
CALL_000047,2025-10-25 05:19:44,PHONE_00096,PHONE_00950,40,missed,TOWER_0104,TOWER_0139,TELCO_B,0.86
CALL_000048,2025-11-13 08:19:44,PHONE_01060,PHONE_00096,150,outgoing,TOWER_0018,TOWER_0134,TELCO_B,0.88
CALL_000049,2025-10-31 09:19:44,PHONE_00096,PHONE_00950,84,missed,TOWER_0104,TOWER_0089,TELCO_B,0.95
CALL_000050,2025-10-31 07:19:44,PHONE_00720,PHONE_00096,286,incoming,TOWER_0014,TOWER_0094,TELCO_B,0.94
CALL_000051,2025-05-14 13:11:21,PHONE_01008,PHONE_00105,86,outgoing,TOWER_0117,TOWER_0031,TELCO_B,0.92
CALL_000052,2025-05-14 13:25:21,PHONE_00105,PHONE_01002,133,outgoing,TOWER_0001,TOWER_0053,TELCO_C,0.88
CALL_000053,2025-05-14 13:31:21,PHONE_01002,PHONE_01269,38,outgoing,TOWER_0123,TOWER_0056,TELCO_C,0.97
CALL_000054,2025-05-14 16:23:21,PHONE_01269,PHONE_01002,63,outgoing,TOWER_0036,TOWER_0093,TELCO_A,0.94
CALL_000055,2025-05-14 16:33:21,PHONE_01002,PHONE_00105,108,outgoing,TOWER_0143,TOWER_0081,TELCO_A,0.93
CALL_000056,2025-05-14 16:53:21,PHONE_00105,PHONE_01008,74,outgoing,TOWER_0011,TOWER_0137,TELCO_B,0.94
CALL_000057,2025-05-11 10:02:21,PHONE_00105,PHONE_01269,120,outgoing,TOWER_0031,TOWER_0026,TELCO_B,0.87
CALL_000058,2025-04-26 09:02:21,PHONE_01269,PHONE_01002,269,outgoing,TOWER_0066,TOWER_0123,TELCO_A,0.95
CALL_000059,2025-04-10 11:02:21,PHONE_01002,PHONE_00105,77,outgoing,TOWER_0063,TOWER_0001,TELCO_A,0.95
CALL_000060,2025-04-25 15:02:21,PHONE_01008,PHONE_01269,150,missed,TOWER_0047,TOWER_0086,TELCO_C,0.95
CALL_000061,2025-04-05 20:02:21,PHONE_00105,PHONE_01002,99,missed,TOWER_0051,TOWER_0063,TELCO_B,0.88
CALL_000062,2025-04-10 18:02:21,PHONE_01269,PHONE_00105,88,incoming,TOWER_0106,TOWER_0001,TELCO_C,0.87
CALL_000063,2025-05-03 08:02:21,PHONE_01008,PHONE_01269,154,outgoing,TOWER_0087,TOWER_0076,TELCO_C,0.9
CALL_000064,2025-04-12 03:02:21,PHONE_01269,PHONE_01002,216,missed,TOWER_0096,TOWER_0023,TELCO_B,0.93
CALL_000065,2025-05-03 19:02:21,PHONE_01002,PHONE_00105,17,missed,TOWER_0143,TOWER_0081,TELCO_B,0.96
CALL_000066,2025-12-31 17:58:31,PHONE_01190,PHONE_01170,32,outgoing,TOWER_0059,TOWER_0137,TELCO_B,0.98
CALL_000067,2025-12-31 18:04:31,PHONE_01170,PHONE_00266,202,outgoing,TOWER_0007,TOWER_0071,TELCO_A,0.96
CALL_000068,2025-12-31 21:07:31,PHONE_00266,PHONE_01170,109,outgoing,TOWER_0011,TOWER_0037,TELCO_A,0.94
CALL_000069,2025-12-31 21:20:31,PHONE_01170,PHONE_01190,143,outgoing,TOWER_0007,TOWER_0099,TELCO_A,0.97
CALL_000070,2025-12-27 11:52:31,PHONE_00266,PHONE_01170,270,incoming,TOWER_0081,TOWER_0007,TELCO_B,0.96
CALL_000071,2025-11-21 01:52:31,PHONE_01190,PHONE_00266,272,missed,TOWER_0149,TOWER_0041,TELCO_A,0.94
CALL_000072,2025-12-30 02:52:31,PHONE_00266,PHONE_01170,75,incoming,TOWER_0011,TOWER_0047,TELCO_C,0.9
CALL_000073,2025-11-26 00:52:31,PHONE_01170,PHONE_01190,223,outgoing,TOWER_0107,TOWER_0079,TELCO_C,0.92
CALL_000074,2025-12-21 07:52:31,PHONE_00266,PHONE_01170,189,incoming,TOWER_0011,TOWER_0017,TELCO_A,0.99
CALL_000075,2025-01-19 17:40:00,PHONE_01499,PHONE_00037,188,outgoing,TOWER_0150,TOWER_0017,TELCO_B,0.91
CALL_000076,2025-01-19 17:47:00,PHONE_00037,PHONE_01449,121,outgoing,TOWER_0067,TOWER_0139,TELCO_A,0.9
CALL_000077,2025-01-19 18:04:00,PHONE_01449,PHONE_01303,237,outgoing,TOWER_0129,TOWER_0092,TELCO_B,0.97
CALL_000078,2025-01-19 20:24:00,PHONE_01303,PHONE_01449,66,outgoing,TOWER_0112,TOWER_0109,TELCO_C,0.92
CALL_000079,2025-01-19 20:47:00,PHONE_01449,PHONE_00037,118,outgoing,TOWER_0019,TOWER_0027,TELCO_B,0.9
CALL_000080,2025-01-19 20:55:00,PHONE_00037,PHONE_01499,177,outgoing,TOWER_0047,TOWER_0110,TELCO_C,0.87
CALL_000081,2025-01-13 14:26:00,PHONE_01449,PHONE_01499,151,incoming,TOWER_0049,TOWER_0130,TELCO_A,0.98
CALL_000082,2024-12-30 11:26:00,PHONE_00037,PHONE_01449,103,missed,TOWER_0097,TOWER_0139,TELCO_A,0.91
CALL_000083,2025-01-14 22:26:00,PHONE_01303,PHONE_00037,195,outgoing,TOWER_0122,TOWER_0137,TELCO_B,0.97
CALL_000084,2024-12-09 05:26:00,PHONE_00037,PHONE_01499,73,outgoing,TOWER_0037,TOWER_0130,TELCO_B,0.94
CALL_000085,2024-12-25 22:26:00,PHONE_01303,PHONE_01499,240,outgoing,TOWER_0082,TOWER_0070,TELCO_A,0.99
CALL_000086,2025-05-12 03:21:40,PHONE_00398,PHONE_00736,237,outgoing,TOWER_0116,TOWER_0128,TELCO_C,0.96
CALL_000087,2025-05-12 03:29:40,PHONE_00736,PHONE_00785,55,outgoing,TOWER_0028,TOWER_0030,TELCO_C,0.89
CALL_000088,2025-05-12 06:24:40,PHONE_00785,PHONE_00736,122,outgoing,TOWER_0070,TOWER_0128,TELCO_A,0.91
CALL_000089,2025-05-12 06:46:40,PHONE_00736,PHONE_00398,23,outgoing,TOWER_0148,TOWER_0086,TELCO_C,0.99
CALL_000090,2025-04-20 02:08:40,PHONE_00785,PHONE_00736,200,incoming,TOWER_0110,TOWER_0018,TELCO_A,0.98
CALL_000091,2025-04-11 04:08:40,PHONE_00785,PHONE_00398,80,incoming,TOWER_0030,TOWER_0016,TELCO_A,0.88
CALL_000092,2025-04-30 11:08:40,PHONE_00398,PHONE_00785,194,incoming,TOWER_0056,TOWER_0130,TELCO_C,0.86
CALL_000093,2025-03-27 12:08:40,PHONE_00736,PHONE_00398,81,incoming,TOWER_0068,TOWER_0076,TELCO_B,0.9
CALL_000094,2025-05-04 06:08:40,PHONE_00785,PHONE_00398,85,incoming,TOWER_0020,TOWER_0006,TELCO_A,0.97
CALL_000095,2025-12-02 14:04:34,PHONE_00671,PHONE_00639,141,outgoing,TOWER_0026,TOWER_0140,TELCO_A,0.92
CALL_000096,2025-12-02 14:16:34,PHONE_00639,PHONE_01203,218,outgoing,TOWER_0050,TOWER_0083,TELCO_B,0.97
CALL_000097,2025-12-02 14:32:34,PHONE_01203,PHONE_00945,125,outgoing,TOWER_0093,TOWER_0102,TELCO_B,0.87
CALL_000098,2025-12-02 17:02:34,PHONE_00945,PHONE_01203,149,outgoing,TOWER_0052,TOWER_0003,TELCO_B,0.96
CALL_000099,2025-12-02 17:13:34,PHONE_01203,PHONE_00639,85,outgoing,TOWER_0063,TOWER_0070,TELCO_C,0.93
CALL_000100,2025-12-02 17:28:34,PHONE_00639,PHONE_00671,32,outgoing,TOWER_0020,TOWER_0116,TELCO_C,0.97
CALL_000101,2025-10-22 13:55:34,PHONE_01203,PHONE_00639,52,incoming,TOWER_0093,TOWER_0070,TELCO_B,0.98
CALL_000102,2025-11-15 22:55:34,PHONE_00639,PHONE_00945,121,outgoing,TOWER_0140,TOWER_0132,TELCO_C,0.91
CALL_000103,2025-11-02 18:55:34,PHONE_01203,PHONE_00639,45,outgoing,TOWER_0103,TOWER_0090,TELCO_B,0.92
CALL_000104,2025-11-17 18:55:34,PHONE_01203,PHONE_00639,84,missed,TOWER_0033,TOWER_0100,TELCO_B,0.95
CALL_000105,2025-11-30 13:55:34,PHONE_00671,PHONE_01203,195,outgoing,TOWER_0076,TOWER_0133,TELCO_A,0.92
CALL_000106,2025-10-20 12:26:44,PHONE_00104,PHONE_01433,125,outgoing,TOWER_0143,TOWER_0148,TELCO_C,0.85
CALL_000107,2025-10-20 12:38:44,PHONE_01433,PHONE_00551,71,outgoing,TOWER_0008,TOWER_0041,TELCO_C,0.97
CALL_000108,2025-10-20 12:53:44,PHONE_00551,PHONE_00180,125,outgoing,TOWER_0111,TOWER_0140,TELCO_B,0.95
CALL_000109,2025-10-20 13:11:44,PHONE_00180,PHONE_00030,144,outgoing,TOWER_0150,TOWER_0101,TELCO_A,0.88
CALL_000110,2025-10-20 15:35:44,PHONE_00030,PHONE_00180,25,outgoing,TOWER_0091,TOWER_0140,TELCO_C,0.98
CALL_000111,2025-10-20 15:53:44,PHONE_00180,PHONE_00551,84,outgoing,TOWER_0130,TOWER_0061,TELCO_C,0.87
CALL_000112,2025-10-20 16:03:44,PHONE_00551,PHONE_01433,178,outgoing,TOWER_0001,TOWER_0078,TELCO_A,0.95
CALL_000113,2025-10-20 16:19:44,PHONE_01433,PHONE_00104,81,outgoing,TOWER_0048,TOWER_0033,TELCO_B,0.97
CALL_000114,2025-10-02 00:19:44,PHONE_01433,PHONE_00104,89,incoming,TOWER_0058,TOWER_0083,TELCO_C,0.85
CALL_000115,2025-09-21 06:19:44,PHONE_01433,PHONE_00104,216,missed,TOWER_0048,TOWER_0023,TELCO_C,0.92
CALL_000116,2025-10-01 03:19:44,PHONE_00104,PHONE_01433,111,missed,TOWER_0003,TOWER_0138,TELCO_A,0.87
CALL_000117,2025-09-27 06:19:44,PHONE_00030,PHONE_00551,166,missed,TOWER_0081,TOWER_0081,TELCO_C,0.97
CALL_000118,2025-10-03 08:19:44,PHONE_00180,PHONE_00104,227,outgoing,TOWER_0080,TOWER_0003,TELCO_C,0.92
CALL_000119,2025-09-18 04:19:44,PHONE_00030,PHONE_00180,228,incoming,TOWER_0021,TOWER_0050,TELCO_C,0.95
CALL_000120,2025-10-01 12:19:44,PHONE_00104,PHONE_00030,79,incoming,TOWER_0053,TOWER_0041,TELCO_A,0.88
CALL_000121,2025-10-02 16:19:44,PHONE_00551,PHONE_01433,292,missed,TOWER_0041,TOWER_0018,TELCO_A,0.93
CALL_000122,2025-06-17 16:40:20,PHONE_01242,PHONE_01046,144,outgoing,TOWER_0042,TOWER_0128,TELCO_A,0.9
CALL_000123,2025-06-17 16:53:20,PHONE_01046,PHONE_00256,168,outgoing,TOWER_0128,TOWER_0049,TELCO_B,0.96
CALL_000124,2025-06-17 17:08:20,PHONE_00256,PHONE_01376,71,outgoing,TOWER_0039,TOWER_0005,TELCO_C,0.85
CALL_000125,2025-06-17 19:31:20,PHONE_01376,PHONE_00256,136,outgoing,TOWER_0085,TOWER_0119,TELCO_B,0.85
CALL_000126,2025-06-17 19:39:20,PHONE_00256,PHONE_01046,111,outgoing,TOWER_0139,TOWER_0128,TELCO_B,0.92
CALL_000127,2025-06-17 19:58:20,PHONE_01046,PHONE_01242,157,outgoing,TOWER_0048,TOWER_0052,TELCO_C,0.86
CALL_000128,2025-06-11 22:34:20,PHONE_01242,PHONE_00256,137,outgoing,TOWER_0112,TOWER_0119,TELCO_C,0.93
CALL_000129,2025-06-16 17:34:20,PHONE_00256,PHONE_01242,121,outgoing,TOWER_0069,TOWER_0012,TELCO_B,0.95
CALL_000130,2025-05-06 00:34:20,PHONE_00256,PHONE_01242,64,missed,TOWER_0059,TOWER_0142,TELCO_B,0.94
CALL_000131,2025-05-02 23:34:20,PHONE_01046,PHONE_01376,267,outgoing,TOWER_0068,TOWER_0135,TELCO_B,0.98
CALL_000132,2025-05-17 01:34:20,PHONE_00256,PHONE_01242,219,outgoing,TOWER_0029,TOWER_0132,TELCO_B,0.89
CALL_000133,2025-04-05 10:42:43,PHONE_00423,PHONE_00784,174,outgoing,TOWER_0093,TOWER_0107,TELCO_B,0.85
CALL_000134,2025-04-05 10:57:43,PHONE_00784,PHONE_00580,53,outgoing,TOWER_0097,TOWER_0054,TELCO_A,0.96
CALL_000135,2025-04-05 11:10:43,PHONE_00580,PHONE_00903,168,outgoing,TOWER_0144,TOWER_0115,TELCO_A,0.86
CALL_000136,2025-04-05 11:22:43,PHONE_00903,PHONE_00725,53,outgoing,TOWER_0085,TOWER_0035,TELCO_C,0.94
CALL_000137,2025-04-05 13:33:43,PHONE_00725,PHONE_00903,138,outgoing,TOWER_0065,TOWER_0005,TELCO_B,0.88
CALL_000138,2025-04-05 13:47:43,PHONE_00903,PHONE_00580,155,outgoing,TOWER_0005,TOWER_0144,TELCO_C,0.95
CALL_000139,2025-04-05 13:59:43,PHONE_00580,PHONE_00784,150,outgoing,TOWER_0044,TOWER_0037,TELCO_A,0.86
CALL_000140,2025-04-05 14:10:43,PHONE_00784,PHONE_00423,109,outgoing,TOWER_0087,TOWER_0083,TELCO_C,0.99
CALL_000141,2025-03-01 18:34:43,PHONE_00580,PHONE_00903,71,outgoing,TOWER_0054,TOWER_0135,TELCO_A,0.99
CALL_000142,2025-02-24 19:34:43,PHONE_00784,PHONE_00580,209,missed,TOWER_0137,TOWER_0104,TELCO_A,0.88
CALL_000143,2025-03-14 10:34:43,PHONE_00903,PHONE_00423,127,missed,TOWER_0005,TOWER_0023,TELCO_C,0.85
CALL_000144,2025-03-22 14:34:43,PHONE_00725,PHONE_00784,191,outgoing,TOWER_0125,TOWER_0067,TELCO_A,0.96
CALL_000145,2025-02-22 02:34:43,PHONE_00725,PHONE_00784,125,missed,TOWER_0105,TOWER_0047,TELCO_C,0.95
CALL_000146,2025-03-20 13:34:43,PHONE_00423,PHONE_00725,191,outgoing,TOWER_0003,TOWER_0115,TELCO_B,0.91
CALL_000147,2025-04-02 19:34:43,PHONE_00725,PHONE_00580,294,outgoing,TOWER_0105,TOWER_0014,TELCO_C,0.99
CALL_000148,2025-03-20 17:34:43,PHONE_00423,PHONE_00580,73,incoming,TOWER_0093,TOWER_0144,TELCO_C,0.96
CALL_000149,2024-03-25 12:11:45,PHONE_01184,PHONE_00509,24,incoming,TOWER_0084,TOWER_0028,TELCO_B,0.88
CALL_000150,2026-01-17 23:29:02,PHONE_01184,PHONE_00509,132,incoming,TOWER_0104,TOWER_0118,TELCO_C,0.87
CALL_000151,2024-12-12 19:33:52,PHONE_01184,PHONE_00509,47,outgoing,TOWER_0064,TOWER_0058,TELCO_A,0.86
CALL_000152,2024-02-05 01:45:56,PHONE_01184,PHONE_00509,15,outgoing,TOWER_0054,TOWER_0008,TELCO_C,0.97
CALL_000153,2024-07-22 23:33:11,PHONE_01184,PHONE_00509,319,incoming,TOWER_0104,TOWER_0028,TELCO_B,0.89
CALL_000154,2025-04-10 13:15:28,PHONE_01184,PHONE_00509,88,missed,TOWER_0104,TOWER_0058,TELCO_C,0.91
CALL_000155,2024-08-16 17:38:39,PHONE_01184,PHONE_00509,171,outgoing,TOWER_0134,TOWER_0148,TELCO_B,0.92
CALL_000156,2024-06-13 01:00:11,PHONE_01184,PHONE_00509,16,outgoing,TOWER_0094,TOWER_0088,TELCO_C,0.9
CALL_000157,2024-07-14 06:09:52,PHONE_01184,PHONE_00509,39,missed,TOWER_0094,TOWER_0108,TELCO_C,0.86
CALL_000158,2024-07-12 12:25:57,PHONE_01184,PHONE_00509,171,outgoing,TOWER_0064,TOWER_0038,TELCO_B,0.86
CALL_000159,2025-02-23 11:49:31,PHONE_01184,PHONE_00509,225,outgoing,TOWER_0074,TOWER_0078,TELCO_B,0.91
CALL_000160,2024-03-20 04:20:00,PHONE_01184,PHONE_00509,88,outgoing,TOWER_0004,TOWER_0088,TELCO_A,0.97
CALL_000161,2024-06-09 06:03:38,PHONE_01184,PHONE_00509,180,incoming,TOWER_0004,TOWER_0058,TELCO_A,0.93
CALL_000162,2025-05-22 06:11:28,PHONE_01184,PHONE_00509,127,incoming,TOWER_0044,TOWER_0138,TELCO_C,0.89
CALL_000163,2025-10-22 02:16:48,PHONE_01184,PHONE_00509,101,incoming,TOWER_0014,TOWER_0148,TELCO_A,0.9
CALL_000164,2024-10-22 06:13:17,PHONE_01184,PHONE_00509,20,outgoing,TOWER_0094,TOWER_0028,TELCO_C,0.96
CALL_000165,2024-03-28 12:09:06,PHONE_01184,PHONE_00509,31,missed,TOWER_0054,TOWER_0138,TELCO_B,0.86
CALL_000166,2024-10-14 03:44:45,PHONE_01184,PHONE_00509,99,outgoing,TOWER_0064,TOWER_0008,TELCO_C,0.95
CALL_000167,2024-07-09 18:23:39,PHONE_01184,PHONE_00509,76,outgoing,TOWER_0024,TOWER_0058,TELCO_B,0.87
CALL_000168,2024-08-19 14:44:48,PHONE_01184,PHONE_00509,12,outgoing,TOWER_0114,TOWER_0018,TELCO_C,0.9
CALL_000169,2024-11-15 18:11:07,PHONE_01184,PHONE_00509,23,outgoing,TOWER_0114,TOWER_0058,TELCO_A,0.88
CALL_000170,2024-12-08 07:55:46,PHONE_01184,PHONE_00509,65,outgoing,TOWER_0144,TOWER_0028,TELCO_C,0.88
CALL_000171,2025-01-18 20:54:18,PHONE_01184,PHONE_00509,329,outgoing,TOWER_0144,TOWER_0018,TELCO_A,0.97
CALL_000172,2026-03-08 10:38:47,PHONE_01184,PHONE_00509,172,missed,TOWER_0014,TOWER_0078,TELCO_A,0.96
CALL_000173,2025-04-26 18:54:21,PHONE_01184,PHONE_00509,113,outgoing,TOWER_0114,TOWER_0138,TELCO_A,0.9
CALL_000174,2026-02-01 08:48:34,PHONE_01184,PHONE_00509,62,missed,TOWER_0074,TOWER_0008,TELCO_B,0.93
CALL_000175,2024-10-18 23:52:41,PHONE_01184,PHONE_00509,48,outgoing,TOWER_0094,TOWER_0008,TELCO_B,0.98
CALL_000176,2025-09-03 23:30:21,PHONE_01184,PHONE_00509,61,incoming,TOWER_0134,TOWER_0068,TELCO_C,0.87
CALL_000177,2025-07-14 20:08:46,PHONE_00413,PHONE_00367,142,missed,TOWER_0050,TOWER_0116,TELCO_B,0.93
CALL_000178,2025-04-11 15:20:09,PHONE_00413,PHONE_00367,66,missed,TOWER_0150,TOWER_0086,TELCO_A,0.88
CALL_000179,2025-08-16 12:09:39,PHONE_00413,PHONE_00367,67,outgoing,TOWER_0010,TOWER_0076,TELCO_A,0.91
CALL_000180,2024-09-24 10:00:32,PHONE_00413,PHONE_00367,336,incoming,TOWER_0010,TOWER_0086,TELCO_A,0.93
CALL_000181,2025-09-27 20:49:52,PHONE_00413,PHONE_00367,8,incoming,TOWER_0010,TOWER_0146,TELCO_C,0.96
CALL_000182,2026-01-30 00:55:28,PHONE_00413,PHONE_00367,38,outgoing,TOWER_0090,TOWER_0126,TELCO_A,0.97
CALL_000183,2024-02-12 21:16:23,PHONE_00413,PHONE_00367,86,outgoing,TOWER_0130,TOWER_0066,TELCO_A,0.94
CALL_000184,2025-11-18 08:03:08,PHONE_00413,PHONE_00367,74,incoming,TOWER_0060,TOWER_0096,TELCO_B,0.97
CALL_000185,2025-05-26 22:07:10,PHONE_00413,PHONE_00367,134,outgoing,TOWER_0010,TOWER_0026,TELCO_A,0.95
CALL_000186,2025-06-08 20:50:01,PHONE_00413,PHONE_00367,209,missed,TOWER_0110,TOWER_0016,TELCO_A,0.92
CALL_000187,2026-06-23 03:32:01,PHONE_00413,PHONE_00367,34,missed,TOWER_0140,TOWER_0016,TELCO_C,0.92
CALL_000188,2025-11-15 08:52:20,PHONE_00413,PHONE_00367,32,missed,TOWER_0060,TOWER_0126,TELCO_A,0.91
CALL_000189,2024-11-06 03:34:32,PHONE_00413,PHONE_00367,33,outgoing,TOWER_0130,TOWER_0096,TELCO_A,0.98
CALL_000190,2025-12-14 14:49:27,PHONE_00413,PHONE_00367,42,incoming,TOWER_0020,TOWER_0026,TELCO_A,0.91
CALL_000191,2024-02-16 11:17:59,PHONE_00413,PHONE_00367,104,missed,TOWER_0060,TOWER_0016,TELCO_A,0.88
CALL_000192,2026-02-11 23:19:51,PHONE_00413,PHONE_00367,23,outgoing,TOWER_0060,TOWER_0146,TELCO_C,0.88
CALL_000193,2025-06-05 22:39:27,PHONE_00413,PHONE_00367,32,missed,TOWER_0050,TOWER_0006,TELCO_A,0.89
CALL_000194,2026-01-10 12:40:34,PHONE_00413,PHONE_00367,107,missed,TOWER_0150,TOWER_0146,TELCO_A,0.93
CALL_000195,2024-08-22 14:48:41,PHONE_00413,PHONE_00367,82,incoming,TOWER_0130,TOWER_0086,TELCO_B,0.94
CALL_000196,2025-01-02 14:51:29,PHONE_00413,PHONE_00367,146,missed,TOWER_0110,TOWER_0076,TELCO_A,0.95
CALL_000197,2026-06-21 20:03:22,PHONE_00413,PHONE_00367,46,outgoing,TOWER_0080,TOWER_0016,TELCO_B,0.86
CALL_000198,2024-10-25 07:06:51,PHONE_00413,PHONE_00367,37,outgoing,TOWER_0090,TOWER_0046,TELCO_A,0.97
CALL_000199,2025-01-17 22:11:14,PHONE_00413,PHONE_00367,42,missed,TOWER_0020,TOWER_0036,TELCO_B,0.93
