location_event_id,timestamp,entity_type,entity_id,tower_id,location_id,source,accuracy,confidence
LOCEV_000033,2025-07-14 13:33:21,PHONE,PHONE_01288,TOWER_0068,LOCATION_0138,CDR_DERIVED,0.8,0.9
LOCEV_000034,2026-05-04 04:44:28,PHONE,PHONE_00087,TOWER_0030,LOCATION_0220,CDR_DERIVED,0.68,0.94
LOCEV_000035,2026-03-06 20:33:15,PHONE,PHONE_01334,TOWER_0115,LOCATION_0005,CDR_DERIVED,0.81,0.97
LOCEV_000036,2026-03-27 10:32:24,PHONE,PHONE_00424,TOWER_0113,LOCATION_0183,CDR_DERIVED,0.6,0.85
LOCEV_000037,2025-07-08 17:17:31,PHONE,PHONE_01618,TOWER_0034,LOCATION_0134,CDR_DERIVED,0.77,0.93
LOCEV_000038,2025-06-18 21:37:54,PHONE,PHONE_00920,TOWER_0063,LOCATION_0073,CDR_DERIVED,0.79,0.95
LOCEV_000039,2024-06-16 10:03:03,PHONE,PHONE_00413,TOWER_0110,LOCATION_0160,CDR_DERIVED,0.72,0.95
LOCEV_000040,2024-04-03 17:05:47,PHONE,PHONE_01791,TOWER_0046,LOCATION_0166,CDR_DERIVED,0.68,0.93
LOCEV_000041,2024-11-11 02:11:33,PHONE,PHONE_01743,TOWER_0068,LOCATION_0138,CDR_DERIVED,0.67,0.92
LOCEV_000042,2024-10-27 06:24:58,PHONE,PHONE_00262,TOWER_0125,LOCATION_0105,CDR_DERIVED,0.65,0.86
LOCEV_000043,2026-01-29 00:42:03,PHONE,PHONE_00273,TOWER_0097,LOCATION_0237,CDR_DERIVED,0.62,0.9
LOCEV_000044,2025-01-17 21:10:56,PHONE,PHONE_00667,TOWER_0063,LOCATION_0073,CDR_DERIVED,0.87,0.94
LOCEV_000045,2024-03-31 09:51:13,PHONE,PHONE_00716,TOWER_0086,LOCATION_0146,CDR_DERIVED,0.52,0.89
LOCEV_000046,2026-06-20 08:24:51,PHONE,PHONE_01834,TOWER_0037,LOCATION_0287,CDR_DERIVED,0.65,0.94
LOCEV_000047,2026-01-15 14:09:10,PHONE,PHONE_01857,TOWER_0068,LOCATION_0138,CDR_DERIVED,0.85,0.93
LOCEV_000048,2025-03-26 21:00:34,PHONE,PHONE_01953,TOWER_0106,LOCATION_0206,CDR_DERIVED,0.77,0.96
LOCEV_000049,2024-03-04 08:14:01,PHONE,PHONE_00132,TOWER_0124,LOCATION_0234,CDR_DERIVED,0.92,0.9
LOCEV_000050,2025-04-20 04:45:10,PHONE,PHONE_00373,TOWER_0028,LOCATION_0158,CDR_DERIVED,0.64,0.94
LOCEV_000051,2026-03-21 05:35:12,PHONE,PHONE_01849,TOWER_0007,LOCATION_0127,CDR_DERIVED,0.66,0.88
LOCEV_000052,2025-11-21 20:38:49,PHONE,PHONE_00412,TOWER_0035,LOCATION_0205,CDR_DERIVED,0.74,0.99
LOCEV_000053,2026-05-13 12:40:54,PHONE,PHONE_00138,TOWER_0051,LOCATION_0231,CDR_DERIVED,0.84,0.86
LOCEV_000054,2025-11-24 04:13:08,PHONE,PHONE_01498,TOWER_0117,LOCATION_0227,CDR_DERIVED,0.84,0.89
LOCEV_000055,2025-12-28 11:55:00,PHONE,PHONE_00988,TOWER_0061,LOCATION_0001,CDR_DERIVED,0.87,0.92
LOCEV_000056,2025-05-17 16:08:54,PHONE,PHONE_01494,TOWER_0054,LOCATION_0174,CDR_DERIVED,0.83,0.86
LOCEV_000057,2025-08-27 08:56:56,PHONE,PHONE_02023,TOWER_0138,LOCATION_0248,CDR_DERIVED,0.88,0.92
LOCEV_000058,2025-05-01 17:22:19,PHONE,PHONE_01973,TOWER_0103,LOCATION_0113,CDR_DERIVED,0.82,0.97
LOCEV_000059,2024-05-08 05:04:39,PHONE,PHONE_00030,TOWER_0021,LOCATION_0011,CDR_DERIVED,0.8,0.93
LOCEV_000060,2026-06-05 12:25:07,PHONE,PHONE_00933,TOWER_0040,LOCATION_0300,CDR_DERIVED,0.8,0.93
LOCEV_000061,2024-06-23 09:42:18,PHONE,PHONE_00837,TOWER_0065,LOCATION_0275,CDR_DERIVED,0.71,0.98
LOCEV_000062,2024-04-29 14:29:32,PHONE,PHONE_00185,TOWER_0121,LOCATION_0011,CDR_DERIVED,0.57,0.9
LOCEV_000063,2024-10-05 06:35:32,PHONE,PHONE_01068,TOWER_0131,LOCATION_0171,CDR_DERIVED,0.96,0.92
LOCEV_000064,2025-11-15 23:57:11,PHONE,PHONE_00352,TOWER_0032,LOCATION_0222,CDR_DERIVED,0.65,0.91
LOCEV_000065,2024-12-26 12:33:35,PHONE,PHONE_01378,TOWER_0062,LOCATION_0192,CDR_DERIVED,0.96,0.87
LOCEV_000066,2025-07-20 08:13:50,PHONE,PHONE_00110,TOWER_0138,LOCATION_0248,CDR_DERIVED,0.55,0.92
LOCEV_000067,2024-07-07 06:55:14,PHONE,PHONE_01381,TOWER_0039,LOCATION_0219,CDR_DERIVED,0.52,0.95
LOCEV_000068,2024-04-11 14:21:49,PHONE,PHONE_01088,TOWER_0096,LOCATION_0056,CDR_DERIVED,0.63,0.87
LOCEV_000069,2025-03-05 20:08:32,PHONE,PHONE_00724,TOWER_0061,LOCATION_0001,CDR_DERIVED,0.89,0.87
LOCEV_000070,2025-01-09 09:21:25,PHONE,PHONE_00906,TOWER_0146,LOCATION_0186,CDR_DERIVED,0.63,0.94
LOCEV_000071,2025-05-25 13:53:35,PHONE,PHONE_00510,TOWER_0027,LOCATION_0167,CDR_DERIVED,0.75,0.95
LOCEV_000072,2024-07-12 22:12:07,PHONE,PHONE_01714,TOWER_0034,LOCATION_0134,CDR_DERIVED,0.54,0.96
LOCEV_000073,2026-01-31 17:46:20,PHONE,PHONE_01720,TOWER_0078,LOCATION_0068,CDR_DERIVED,0.74,0.92
LOCEV_000074,2025-10-07 11:49:31,PHONE,PHONE_01353,TOWER_0009,LOCATION_0009,CDR_DERIVED,0.69,0.85
LOCEV_000075,2024-06-07 20:26:43,PHONE,PHONE_00868,TOWER_0053,LOCATION_0053,CDR_DERIVED,0.79,0.88
LOCEV_000076,2024-11-24 19:18:27,PHONE,PHONE_02025,TOWER_0020,LOCATION_0090,CDR_DERIVED,0.82,0.94
LOCEV_000077,2024-05-10 01:15:32,PHONE,PHONE_00319,TOWER_0005,LOCATION_0115,CDR_DERIVED,0.95,0.91
LOCEV_000078,2024-06-28 23:43:15,PHONE,PHONE_01257,TOWER_0070,LOCATION_0020,CDR_DERIVED,0.8,0.97
LOCEV_000079,2024-11-05 02:34:24,PHONE,PHONE_01114,TOWER_0060,LOCATION_0300,CDR_DERIVED,0.76,0.94
LOCEV_000080,2025-06-12 19:38:47,PHONE,PHONE_01093,TOWER_0044,LOCATION_0154,CDR_DERIVED,0.9,0.89
LOCEV_000081,2024-02-12 12:03:27,PHONE,PHONE_01328,TOWER_0079,LOCATION_0119,CDR_DERIVED,0.86,0.89
LOCEV_000082,2025-08-19 17:32:16,PHONE,PHONE_00170,TOWER_0006,LOCATION_0036,CDR_DERIVED,0.66,0.89
LOCEV_000083,2024-03-31 00:33:12,PHONE,PHONE_00364,TOWER_0076,LOCATION_0056,CDR_DERIVED,0.86,0.97
LOCEV_000084,2024-12-25 13:37:58,PHONE,PHONE_00894,TOWER_0037,LOCATION_0287,CDR_DERIVED,0.87,0.91
LOCEV_000085,2024-12-05 19:11:41,PHONE,PHONE_01143,TOWER_0086,LOCATION_0146,CDR_DERIVED,0.65,0.92
LOCEV_000086,2026-06-21 19:51:49,PHONE,PHONE_01610,TOWER_0095,LOCATION_0265,CDR_DERIVED,0.93,0.94
LOCEV_000087,2024-10-05 17:08:26,PHONE,PHONE_02016,TOWER_0026,LOCATION_0186,CDR_DERIVED,0.93,0.91
LOCEV_000088,2025-03-05 05:28:07,PHONE,PHONE_01484,TOWER_0003,LOCATION_0003,CDR_DERIVED,0.83,0.98
LOCEV_000089,2024-07-05 06:47:01,PHONE,PHONE_00680,TOWER_0080,LOCATION_0190,CDR_DERIVED,0.58,0.94
LOCEV_000090,2025-03-19 07:19:00,PHONE,PHONE_00186,TOWER_0124,LOCATION_0234,CDR_DERIVED,0.83,0.98
LOCEV_000091,2025-09-02 06:44:55,PHONE,PHONE_01023,TOWER_0084,LOCATION_0144,CDR_DERIVED,0.65,0.95
LOCEV_000092,2025-08-28 13:07:46,PHONE,PHONE_00010,TOWER_0124,LOCATION_0234,CDR_DERIVED,0.97,0.9
LOCEV_000093,2024-05-13 16:34:14,PHONE,PHONE_02016,TOWER_0116,LOCATION_0246,CDR_DERIVED,0.84,0.94
LOCEV_000094,2026-06-09 05:30:47,PHONE,PHONE_00604,TOWER_0071,LOCATION_0221,CDR_DERIVED,0.74,0.89
LOCEV_000095,2024-12-08 06:37:11,PHONE,PHONE_01442,TOWER_0108,LOCATION_0298,CDR_DERIVED,0.85,0.99
LOCEV_000096,2024-07-16 15:54:40,PHONE,PHONE_01290,TOWER_0080,LOCATION_0190,CDR_DERIVED,0.89,0.95
LOCEV_000097,2024-04-09 12:40:26,PHONE,PHONE_01488,TOWER_0040,LOCATION_0300,CDR_DERIVED,0.72,0.89
LOCEV_000098,2024-08-16 00:58:03,PHONE,PHONE_00103,TOWER_0052,LOCATION_0012,CDR_DERIVED,0.74,0.94
LOCEV_000099,2024-04-24 14:03:05,PHONE,PHONE_00469,TOWER_0125,LOCATION_0105,CDR_DERIVED,0.91,0.87
LOCEV_000100,2026-02-20 07:38:29,PHONE,PHONE_00881,TOWER_0140,LOCATION_0080,CDR_DERIVED,0.73,0.91
LOCEV_000101,2024-02-13 21:56:22,PHONE,PHONE_01318,TOWER_0131,LOCATION_0171,CDR_DERIVED,0.72,0.87
LOCEV_000102,2026-06-01 03:58:32,PHONE,PHONE_01016,TOWER_0077,LOCATION_0257,CDR_DERIVED,0.61,0.99
LOCEV_000103,2024-03-21 01:38:04,PHONE,PHONE_00867,TOWER_0064,LOCATION_0184,CDR_DERIVED,0.85,0.85
LOCEV_000104,2024-09-10 18:53:47,PHONE,PHONE_00133,TOWER_0147,LOCATION_0227,CDR_DERIVED,0.87,0.85
LOCEV_000105,2026-01-07 06:10:20,PHONE,PHONE_01851,TOWER_0133,LOCATION_0113,CDR_DERIVED,0.86,0.91
LOCEV_000106,2024-12-05 21:55:41,PHONE,PHONE_01749,TOWER_0059,LOCATION_0299,CDR_DERIVED,0.9,0.9
LOCEV_000107,2025-04-29 07:56:16,PHONE,PHONE_01296,TOWER_0013,LOCATION_0283,CDR_DERIVED,0.78,0.9
LOCEV_000108,2025-05-06 18:31:23,PHONE,PHONE_00889,TOWER_0033,LOCATION_0263,CDR_DERIVED,0.86,0.89
LOCEV_000109,2024-01-14 14:10:37,PHONE,PHONE_00705,TOWER_0002,LOCATION_0142,CDR_DERIVED,0.51,0.95
LOCEV_000110,2024-05-25 01:52:49,PHONE,PHONE_00465,TOWER_0111,LOCATION_0061,CDR_DERIVED,0.95,0.92
LOCEV_000111,2025-07-10 05:21:09,PHONE,PHONE_00245,TOWER_0009,LOCATION_0009,CDR_DERIVED,0.8,0.97
LOCEV_000112,2025-03-31 07:28:44,PHONE,PHONE_01583,TOWER_0101,LOCATION_0281,CDR_DERIVED,0.87,0.89
LOCEV_000113,2024-01-21 11:14:59,PHONE,PHONE_00026,TOWER_0105,LOCATION_0155,CDR_DERIVED,0.92,0.92
LOCEV_000114,2024-11-17 15:06:44,PHONE,PHONE_01620,TOWER_0088,LOCATION_0258,CDR_DERIVED,0.92,0.89
LOCEV_000115,2024-07-06 10:18:56,PHONE,PHONE_01504,TOWER_0098,LOCATION_0108,CDR_DERIVED,0.53,0.98
LOCEV_000116,2026-04-27 22:23:17,PHONE,PHONE_01025,TOWER_0123,LOCATION_0283,CDR_DERIVED,0.83,0.97
LOCEV_000117,2025-04-23 08:15:07,PHONE,PHONE_00780,TOWER_0084,LOCATION_0144,CDR_DERIVED,0.93,0.93
LOCEV_000118,2025-06-29 21:13:09,PHONE,PHONE_01754,TOWER_0068,LOCATION_0138,CDR_DERIVED,0.86,0.98
LOCEV_000119,2025-12-27 11:00:55,PHONE,PHONE_01100,TOWER_0139,LOCATION_0179,CDR_DERIVED,0.77,0.92
LOCEV_000120,2024-06-06 09:56:42,PHONE,PHONE_00992,TOWER_0141,LOCATION_0141,CDR_DERIVED,0.74,0.92
LOCEV_000121,2024-06-26 02:16:01,PHONE,PHONE_00393,TOWER_0072,LOCATION_0032,CDR_DERIVED,0.53,0.91
LOCEV_000122,2025-07-15 06:11:27,PHONE,PHONE_00555,TOWER_0053,LOCATION_0053,CDR_DERIVED,0.67,0.98
LOCEV_000123,2025-04-27 09:24:52,PHONE,PHONE_00555,TOWER_0073,LOCATION_0153,CDR_DERIVED,0.74,0.94
LOCEV_000124,2025-12-12 19:31:51,PHONE,PHONE_01100,TOWER_0039,LOCATION_0219,CDR_DERIVED,0.85,0.95
LOCEV_000125,2025-03-25 13:52:14,PHONE,PHONE_01085,TOWER_0035,LOCATION_0205,CDR_DERIVED,0.76,0.93
LOCEV_000126,2025-02-09 17:11:50,PHONE,PHONE_01883,TOWER_0109,LOCATION_0159,CDR_DERIVED,0.89,0.88
LOCEV_000127,2026-05-22 22:25:48,PHONE,PHONE_01207,TOWER_0147,LOCATION_0227,CDR_DERIVED,0.61,0.9
LOCEV_000128,2024-12-16 16:43:29,PHONE,PHONE_01533,TOWER_0112,LOCATION_0042,CDR_DERIVED,0.77,0.98
LOCEV_000129,2024-11-05 20:26:25,PHONE,PHONE_01859,TOWER_0061,LOCATION_0001,CDR_DERIVED,0.87,0.97
LOCEV_000130,2025-05-06 12:51:23,PHONE,PHONE_01338,TOWER_0140,LOCATION_0080,CDR_DERIVED,0.84,0.89
LOCEV_000131,2024-10-27 01:25:09,PHONE,PHONE_00598,TOWER_0063,LOCATION_0073,CDR_DERIVED,0.84,0.99
LOCEV_000132,2026-04-20 23:29:37,PHONE,PHONE_01794,TOWER_0137,LOCATION_0277,CDR_DERIVED,0.84,0.86
LOCEV_000133,2024-11-05 01:54:56,PHONE,PHONE_01720,TOWER_0018,LOCATION_0268,CDR_DERIVED,0.52,0.93
LOCEV_000134,2025-11-06 12:39:35,PHONE,PHONE_00527,TOWER_0085,LOCATION_0145,CDR_DERIVED,0.52,0.94
LOCEV_000135,2024-07-10 16:20:00,PHONE,PHONE_00251,TOWER_0085,LOCATION_0145,CDR_DERIVED,0.9,0.9
LOCEV_000136,2025-11-20 04:02:05,PHONE,PHONE_00466,TOWER_0059,LOCATION_0299,CDR_DERIVED,0.64,0.87
LOCEV_000137,2024-02-25 23:15:24,PHONE,PHONE_00382,TOWER_0149,LOCATION_0069,CDR_DERIVED,0.91,0.93
LOCEV_000138,2025-01-02 15:29:49,PHONE,PHONE_01964,TOWER_0044,LOCATION_0154,CDR_DERIVED,0.55,0.97
LOCEV_000139,2024-10-08 13:18:36,PHONE,PHONE_01132,TOWER_0131,LOCATION_0171,CDR_DERIVED,0.59,0.88
LOCEV_000140,2025-09-13 02:45:54,PHONE,PHONE_01582,TOWER_0120,LOCATION_0160,CDR_DERIVED,0.92,0.92
LOCEV_000141,2026-03-08 09:02:55,PHONE,PHONE_01070,TOWER_0070,LOCATION_0020,CDR_DERIVED,0.95,0.97
LOCEV_000142,2024-01-07 13:56:04,PHONE,PHONE_00246,TOWER_0104,LOCATION_0014,CDR_DERIVED,0.6,0.88
LOCEV_000143,2025-12-07 01:42:23,PHONE,PHONE_00776,TOWER_0095,LOCATION_0265,CDR_DERIVED,0.52,0.87
LOCEV_000144,2026-04-02 10:12:03,PHONE,PHONE_01814,TOWER_0071,LOCATION_0221,CDR_DERIVED,0.6,0.89
LOCEV_000145,2026-01-17 17:00:42,PHONE,PHONE_00232,TOWER_0009,LOCATION_0009,CDR_DERIVED,0.69,0.94
LOCEV_000146,2025-03-27 02:35:27,PHONE,PHONE_01969,TOWER_0048,LOCATION_0218,CDR_DERIVED,0.95,0.95
LOCEV_000147,2025-01-20 08:07:39,PHONE,PHONE_01006,TOWER_0107,LOCATION_0137,CDR_DERIVED,0.82,0.96
LOCEV_000148,2024-02-08 23:03:55,PHONE,PHONE_00817,TOWER_0150,LOCATION_0200,CDR_DERIVED,0.95,0.91
LOCEV_000149,2026-04-30 15:26:17,PHONE,PHONE_01491,TOWER_0069,LOCATION_0079,CDR_DERIVED,0.75,0.85
LOCEV_000150,2026-05-21 08:09:34,PHONE,PHONE_00360,TOWER_0090,LOCATION_0110,CDR_DERIVED,0.53,0.96
LOCEV_000151,2024-03-03 09:51:06,PHONE,PHONE_00417,TOWER_0019,LOCATION_0249,CDR_DERIVED,0.97,0.94
LOCEV_000152,2025-04-19 03:33:26,PHONE,PHONE_01268,TOWER_0068,LOCATION_0138,CDR_DERIVED,0.73,0.97
LOCEV_000153,2025-11-30 02:13:33,PHONE,PHONE_01340,TOWER_0003,LOCATION_0003,CDR_DERIVED,0.54,0.91
LOCEV_000154,2025-05-03 09:56:49,PHONE,PHONE_00606,TOWER_0098,LOCATION_0108,CDR_DERIVED,0.68,0.93
LOCEV_000155,2026-01-02 08:10:12,PHONE,PHONE_00934,TOWER_0060,LOCATION_0300,CDR_DERIVED,0.77,0.95
LOCEV_000156,2026-03-11 17:53:14,PHONE,PHONE_00175,TOWER_0056,LOCATION_0006,CDR_DERIVED,0.85,0.98
LOCEV_000157,2025-01-01 09:21:10,PHONE,PHONE_00595,TOWER_0042,LOCATION_0142,CDR_DERIVED,0.94,0.99
LOCEV_000158,2025-02-24 03:56:38,PHONE,PHONE_01661,TOWER_0027,LOCATION_0167,CDR_DERIVED,0.74,0.97
LOCEV_000159,2025-04-26 17:44:33,PHONE,PHONE_00449,TOWER_0123,LOCATION_0283,CDR_DERIVED,0.57,0.85
LOCEV_000160,2025-04-15 06:31:41,PHONE,PHONE_01999,TOWER_0030,LOCATION_0220,CDR_DERIVED,0.88,0.91
LOCEV_000161,2025-04-14 00:54:02,PHONE,PHONE_00083,TOWER_0094,LOCATION_0274,CDR_DERIVED,0.53,0.98
LOCEV_000162,2024-10-27 13:09:58,PHONE,PHONE_00268,TOWER_0051,LOCATION_0231,CDR_DERIVED,0.95,0.96
LOCEV_000163,2026-02-24 13:03:45,PHONE,PHONE_00919,TOWER_0114,LOCATION_0074,CDR_DERIVED,0.73,0.95
LOCEV_000164,2026-02-15 16:14:38,PHONE,PHONE_01565,TOWER_0072,LOCATION_0032,CDR_DERIVED,0.69,0.91
LOCEV_000165,2026-02-01 05:38:05,PHONE,PHONE_01819,TOWER_0119,LOCATION_0229,CDR_DERIVED,0.68,0.86
LOCEV_000166,2024-08-09 13:20:03,PHONE,PHONE_01496,TOWER_0103,LOCATION_0113,CDR_DERIVED,0.62,0.85
LOCEV_000167,2025-11-25 20:04:30,PHONE,PHONE_00878,TOWER_0085,LOCATION_0145,CDR_DERIVED,0.52,0.86
LOCEV_000168,2025-12-14 13:07:59,PHONE,PHONE_00884,TOWER_0065,LOCATION_0275,CDR_DERIVED,0.76,0.97
LOCEV_000169,2026-01-13 08:04:46,PHONE,PHONE_00099,TOWER_0103,LOCATION_0113,CDR_DERIVED,0.96,0.89
LOCEV_000170,2024-05-25 10:25:15,PHONE,PHONE_00797,TOWER_0116,LOCATION_0246,CDR_DERIVED,0.77,0.98
LOCEV_000171,2025-04-20 17:42:08,PHONE,PHONE_01342,TOWER_0101,LOCATION_0281,CDR_DERIVED,0.74,0.93
LOCEV_000172,2025-07-09 12:28:45,PHONE,PHONE_01049,TOWER_0079,LOCATION_0119,CDR_DERIVED,0.87,0.92
LOCEV_000173,2024-01-15 06:28:28,PHONE,PHONE_01798,TOWER_0128,LOCATION_0028,CDR_DERIVED,0.66,0.98
LOCEV_000174,2024-01-13 09:38:12,PHONE,PHONE_00730,TOWER_0128,LOCATION_0028,CDR_DERIVED,0.61,0.98
LOCEV_000175,2026-04-01 00:53:46,PHONE,PHONE_01719,TOWER_0060,LOCATION_0300,CDR_DERIVED,0.81,0.98
LOCEV_000176,2025-07-27 23:22:28,PHONE,PHONE_02018,TOWER_0052,LOCATION_0012,CDR_DERIVED,0.61,0.91
LOCEV_000177,2024-01-30 05:10:40,PHONE,PHONE_00856,TOWER_0023,LOCATION_0253,CDR_DERIVED,0.68,0.92
LOCEV_000178,2025-07-19 22:36:40,PHONE,PHONE_00468,TOWER_0127,LOCATION_0207,CDR_DERIVED,0.89,0.89
LOCEV_000179,2025-05-03 09:18:57,PHONE,PHONE_01434,TOWER_0092,LOCATION_0232,CDR_DERIVED,0.88,0.99
LOCEV_000180,2025-06-06 19:54:25,PHONE,PHONE_00942,TOWER_0053,LOCATION_0053,CDR_DERIVED,0.85,0.92
LOCEV_000181,2025-07-29 17:43:07,PHONE,PHONE_00713,TOWER_0090,LOCATION_0110,CDR_DERIVED,0.65,0.96
LOCEV_000182,2025-07-04 03:39:53,PHONE,PHONE_01657,TOWER_0083,LOCATION_0023,CDR_DERIVED,0.85,0.98
LOCEV_000183,2024-09-10 20:19:00,PHONE,PHONE_00546,TOWER_0005,LOCATION_0115,CDR_DERIVED,0.55,0.88
LOCEV_000184,2025-04-23 10:01:43,PHONE,PHONE_00230,TOWER_0149,LOCATION_0069,CDR_DERIVED,0.84,0.95
LOCEV_000185,2026-03-01 21:26:49,PHONE,PHONE_01296,TOWER_0003,LOCATION_0003,CDR_DERIVED,0.63,0.91
LOCEV_000186,2024-11-28 13:21:27,PHONE,PHONE_00710,TOWER_0101,LOCATION_0281,CDR_DERIVED,0.57,0.92
LOCEV_000187,2025-08-05 15:18:39,PHONE,PHONE_01923,TOWER_0106,LOCATION_0206,CDR_DERIVED,0.67,0.99
LOCEV_000188,2024-04-09 02:21:32,PHONE,PHONE_01914,TOWER_0006,LOCATION_0036,CDR_DERIVED,0.74,0.88
LOCEV_000189,2025-11-11 04:11:02,PHONE,PHONE_01773,TOWER_0143,LOCATION_0193,CDR_DERIVED,0.83,0.89
LOCEV_000190,2024-10-09 02:06:31,PHONE,PHONE_01662,TOWER_0028,LOCATION_0158,CDR_DERIVED,0.82,0.88
LOCEV_000191,2026-06-23 13:12:46,PHONE,PHONE_00626,TOWER_0035,LOCATION_0205,CDR_DERIVED,0.62,0.99
LOCEV_000192,2025-10-03 06:38:43,PHONE,PHONE_00405,TOWER_0122,LOCATION_0182,CDR_DERIVED,0.84,0.93
LOCEV_000193,2026-05-17 11:17:04,PHONE,PHONE_01669,TOWER_0115,LOCATION_0005,CDR_DERIVED,0.94,0.89
LOCEV_000194,2024-02-23 23:06:33,PHONE,PHONE_00140,TOWER_0088,LOCATION_0258,CDR_DERIVED,0.8,0.87
LOCEV_000195,2024-02-02 16:01:20,PHONE,PHONE_00840,TOWER_0011,LOCATION_0161,CDR_DERIVED,0.58,0.92
LOCEV_000196,2024-03-21 13:44:18,PHONE,PHONE_01872,TOWER_0104,LOCATION_0014,CDR_DERIVED,0.83,0.98
LOCEV_000197,2025-12-27 17:23:38,PHONE,PHONE_01492,TOWER_0027,LOCATION_0167,CDR_DERIVED,0.74,0.89
LOCEV_000198,2024-08-07 11:41:15,PHONE,PHONE_00872,TOWER_0045,LOCATION_0065,CDR_DERIVED,0.59,0.89
