relationship_id,source_entity_id,source_entity_type,target_entity_id,target_entity_type,relationship_type,first_seen,last_seen,frequency,confidence,source_record_id,evidence_count,ground_truth_status
REL_000040,PERSON_0452,PERSON,PERSON_1131,PERSON,ASSOCIATED_WITH,2024-06-09 21:46:59,2026-05-22 06:01:16,18,0.63,CDR_AGG_PERSON_0452_PERSON_1131,12,FALSE_POSITIVE
REL_000041,PERSON_0478,PERSON,PERSON_1369,PERSON,ASSOCIATED_WITH,2024-03-05 09:26:56,2026-05-29 15:51:28,25,0.59,CDR_AGG_PERSON_0478_PERSON_1369,12,FALSE_POSITIVE
REL_000042,PERSON_0486,PERSON,PERSON_1343,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-10-08 03:03:43,2025-10-15 10:29:43,3,0.76,CDR_AGG_PERSON_0486_PERSON_1343,3,CONFIRMED
REL_000043,PERSON_0509,PERSON,PERSON_1184,PERSON,ASSOCIATED_WITH,2024-02-05 01:45:56,2026-03-08 10:38:47,28,0.71,CDR_AGG_PERSON_0509_PERSON_1184,12,FALSE_POSITIVE
REL_000044,PERSON_0522,PERSON,PERSON_1026,PERSON,ASSOCIATED_WITH,2024-03-04 14:26:35,2026-06-07 02:09:33,26,0.8,CDR_AGG_PERSON_0522_PERSON_1026,12,INNOCENT
REL_000045,PERSON_0527,PERSON,PERSON_1163,PERSON,ASSOCIATED_WITH,2024-02-15 04:41:13,2026-04-26 16:22:40,28,0.64,CDR_AGG_PERSON_0527_PERSON_1163,12,FALSE_POSITIVE
REL_000046,PERSON_0539,PERSON,PERSON_1358,PERSON,ASSOCIATED_WITH,2024-01-04 02:56:00,2026-05-27 11:20:31,33,0.57,CDR_AGG_PERSON_0539_PERSON_1358,12,FALSE_POSITIVE
REL_000047,PERSON_0551,PERSON,PERSON_1433,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-10-02 16:19:44,2025-10-20 16:03:44,3,0.87,CDR_AGG_PERSON_0551_PERSON_1433,3,CONFIRMED
REL_000048,PERSON_0560,PERSON,PERSON_1441,PERSON,ASSOCIATED_WITH,2024-01-25 08:22:23,2026-05-01 12:16:54,17,0.73,CDR_AGG_PERSON_0560_PERSON_1441,12,INNOCENT
REL_000049,PERSON_0565,PERSON,PERSON_1272,PERSON,ASSOCIATED_WITH,2024-01-24 23:58:56,2026-06-07 01:04:11,40,0.66,CDR_AGG_PERSON_0565_PERSON_1272,12,FALSE_POSITIVE
REL_000050,PERSON_0570,PERSON,PERSON_1132,PERSON,ASSOCIATED_WITH,2024-01-27 00:28:18,2026-04-13 01:01:24,30,0.7,CDR_AGG_PERSON_0570_PERSON_1132,12,INNOCENT
REL_000051,PERSON_0580,PERSON,PERSON_0784,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-02-24 19:34:43,2025-04-05 13:59:43,3,0.9,CDR_AGG_PERSON_0580_PERSON_0784,3,CONFIRMED
REL_000052,PERSON_0580,PERSON,PERSON_0903,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-03-01 18:34:43,2025-04-05 13:47:43,3,0.87,CDR_AGG_PERSON_0580_PERSON_0903,3,CONFIRMED
REL_000053,PERSON_0582,PERSON,PERSON_1241,PERSON,ASSOCIATED_WITH,2024-01-17 01:41:49,2026-05-27 18:21:54,25,0.76,CDR_AGG_PERSON_0582_PERSON_1241,12,FALSE_POSITIVE
REL_000054,PERSON_0603,PERSON,PERSON_1385,PERSON,ASSOCIATED_WITH,2024-07-23 13:17:47,2026-06-27 10:18:06,20,0.68,CDR_AGG_PERSON_0603_PERSON_1385,12,FALSE_POSITIVE
REL_000055,PERSON_0639,PERSON,PERSON_0671,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-12-02 14:04:34,2025-12-02 17:28:34,2,0.85,CDR_AGG_PERSON_0639_PERSON_0671,2,CONFIRMED
REL_000056,PERSON_0639,PERSON,PERSON_1203,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-10-22 13:55:34,2025-12-02 17:13:34,5,0.84,CDR_AGG_PERSON_0639_PERSON_1203,5,CONFIRMED
REL_000057,PERSON_0669,PERSON,PERSON_0789,PERSON,ASSOCIATED_WITH,2024-02-26 12:17:46,2026-06-26 02:02:33,26,0.69,CDR_AGG_PERSON_0669_PERSON_0789,12,INNOCENT
REL_000058,PERSON_0710,PERSON,PERSON_1322,PERSON,ASSOCIATED_WITH,2024-03-19 19:40:14,2026-05-19 03:19:41,25,0.62,CDR_AGG_PERSON_0710_PERSON_1322,12,FALSE_POSITIVE
REL_000059,PERSON_0720,PERSON,PERSON_0950,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-11-18 13:37:44,2025-11-18 16:41:44,2,0.91,CDR_AGG_PERSON_0720_PERSON_0950,2,CONFIRMED
REL_000060,PERSON_0720,PERSON,PERSON_1060,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-11-07 15:19:44,2025-11-18 17:04:44,3,0.91,CDR_AGG_PERSON_0720_PERSON_1060,3,CONFIRMED
REL_000061,PERSON_0725,PERSON,PERSON_0903,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-04-05 11:22:43,2025-04-05 13:33:43,2,0.88,CDR_AGG_PERSON_0725_PERSON_0903,2,CONFIRMED
REL_000062,PERSON_0736,PERSON,PERSON_0785,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-04-20 02:08:40,2025-05-12 06:24:40,3,0.89,CDR_AGG_PERSON_0736_PERSON_0785,3,CONFIRMED
REL_000063,PERSON_0794,PERSON,PERSON_1327,PERSON,ASSOCIATED_WITH,2024-01-13 10:39:19,2026-06-02 06:38:40,31,0.72,CDR_AGG_PERSON_0794_PERSON_1327,12,INNOCENT
REL_000064,PERSON_0809,PERSON,PERSON_0969,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-06-21 14:37:23,2025-07-31 02:35:23,3,0.78,CDR_AGG_PERSON_0809_PERSON_0969,3,CONFIRMED
REL_000065,PERSON_0833,PERSON,PERSON_1232,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-10-15 07:35:43,2025-10-15 09:50:43,2,0.89,CDR_AGG_PERSON_0833_PERSON_1232,2,CONFIRMED
REL_000066,PERSON_0833,PERSON,PERSON_1343,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-09-30 14:03:43,2025-10-15 10:12:43,3,0.82,CDR_AGG_PERSON_0833_PERSON_1343,3,CONFIRMED
REL_000067,PERSON_0884,PERSON,PERSON_1446,PERSON,ASSOCIATED_WITH,2024-01-21 08:37:13,2026-05-28 22:48:18,27,0.7,CDR_AGG_PERSON_0884_PERSON_1446,12,FALSE_POSITIVE
REL_000068,PERSON_0892,PERSON,PERSON_1159,PERSON,ASSOCIATED_WITH,2024-02-06 06:46:59,2026-06-25 10:52:54,38,0.72,CDR_AGG_PERSON_0892_PERSON_1159,12,FALSE_POSITIVE
REL_000069,PERSON_0894,PERSON,PERSON_1383,PERSON,ASSOCIATED_WITH,2024-01-08 06:16:36,2026-05-30 10:43:50,23,0.57,CDR_AGG_PERSON_0894_PERSON_1383,12,FALSE_POSITIVE
REL_000070,PERSON_0945,PERSON,PERSON_1203,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-12-02 14:32:34,2025-12-02 17:02:34,2,0.84,CDR_AGG_PERSON_0945_PERSON_1203,2,CONFIRMED
REL_000071,PERSON_0966,PERSON,PERSON_0981,PERSON,ASSOCIATED_WITH,2024-01-18 06:57:25,2026-06-08 12:04:39,28,0.66,CDR_AGG_PERSON_0966_PERSON_0981,12,FALSE_POSITIVE
REL_000072,PERSON_0969,PERSON,PERSON_1226,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-07-06 16:37:23,2025-07-31 02:44:23,3,0.81,CDR_AGG_PERSON_0969_PERSON_1226,3,CONFIRMED
REL_000073,PERSON_0991,PERSON,PERSON_1166,PERSON,ASSOCIATED_WITH,2024-01-15 07:43:53,2026-02-08 12:16:58,19,0.69,CDR_AGG_PERSON_0991_PERSON_1166,12,FALSE_POSITIVE
REL_000074,PERSON_1002,PERSON,PERSON_1269,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-04-12 03:02:21,2025-05-14 16:23:21,4,0.84,CDR_AGG_PERSON_1002_PERSON_1269,4,CONFIRMED
REL_000075,PERSON_1046,PERSON,PERSON_1242,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-06-17 16:40:20,2025-06-17 19:58:20,2,0.94,CDR_AGG_PERSON_1046_PERSON_1242,2,CONFIRMED
REL_000076,PERSON_1079,PERSON,PERSON_1278,PERSON,ASSOCIATED_WITH,2024-02-14 06:09:13,2026-03-28 13:44:40,18,0.76,CDR_AGG_PERSON_1079_PERSON_1278,12,FALSE_POSITIVE
REL_000077,PERSON_1104,PERSON,PERSON_1226,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-07-30 23:47:23,2025-07-31 02:57:23,2,0.84,CDR_AGG_PERSON_1104_PERSON_1226,2,CONFIRMED
REL_000078,PERSON_1114,PERSON,PERSON_1421,PERSON,ASSOCIATED_WITH,2024-01-06 12:42:38,2026-05-09 11:01:08,20,0.63,CDR_AGG_PERSON_1114_PERSON_1421,12,FALSE_POSITIVE
REL_000079,PERSON_1170,PERSON,PERSON_1190,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-11-26 00:52:31,2025-12-31 21:20:31,3,0.87,CDR_AGG_PERSON_1170_PERSON_1190,3,CONFIRMED
REL_000080,PERSON_1303,PERSON,PERSON_1449,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-01-19 18:04:00,2025-01-19 20:24:00,2,0.92,CDR_AGG_PERSON_1303_PERSON_1449,2,CONFIRMED
REL_000081,PERSON_1332,PERSON,PERSON_1390,PERSON,ASSOCIATED_WITH,2024-05-22 21:25:56,2026-06-15 22:31:18,22,0.61,CDR_AGG_PERSON_1332_PERSON_1390,12,INNOCENT
REL_000082,PERSON_1350,PERSON,PERSON_1380,PERSON,ASSOCIATED_WITH,2024-01-06 17:32:02,2026-06-19 06:39:51,18,0.73,CDR_AGG_PERSON_1350_PERSON_1380,12,FALSE_POSITIVE
REL_000083,PERSON_1049,PERSON,PERSON_1236,PERSON,CALLED,2026-02-05 07:24:14,2026-02-05 07:24:14,1,0.58,CDR_AGG_PERSON_1049_PERSON_1236,1,WEAK
REL_000084,PERSON_0631,PERSON,PERSON_1432,PERSON,CALLED,2025-05-05 18:35:02,2025-05-05 18:35:02,1,0.78,CDR_AGG_PERSON_0631_PERSON_1432,1,UNKNOWN
REL_000085,PERSON_0521,PERSON,PERSON_1249,PERSON,CALLED,2025-12-09 15:59:17,2025-12-09 15:59:17,1,0.57,CDR_AGG_PERSON_0521_PERSON_1249,1,WEAK
REL_000086,PERSON_0191,PERSON,PERSON_0456,PERSON,CALLED,2025-03-15 15:02:41,2025-03-15 15:02:41,1,0.72,CDR_AGG_PERSON_0191_PERSON_0456,1,LIKELY
REL_000087,PERSON_0342,PERSON,PERSON_1256,PERSON,CALLED,2026-04-04 03:15:39,2026-04-04 03:15:39,1,0.68,CDR_AGG_PERSON_0342_PERSON_1256,1,LIKELY
REL_000088,PERSON_0266,PERSON,PERSON_1400,PERSON,CALLED,2025-06-20 22:43:07,2025-06-20 22:43:07,1,0.73,CDR_AGG_PERSON_0266_PERSON_1400,1,UNKNOWN
REL_000089,PERSON_1081,PERSON,PERSON_1112,PERSON,CALLED,2026-06-21 16:18:30,2026-06-21 16:18:30,1,0.57,CDR_AGG_PERSON_1081_PERSON_1112,1,LIKELY
REL_000090,PERSON_0141,PERSON,PERSON_0909,PERSON,CALLED,2025-04-16 07:54:12,2025-04-16 07:54:12,1,0.43,CDR_AGG_PERSON_0141_PERSON_0909,1,LIKELY
REL_000091,PERSON_0023,PERSON,PERSON_0063,PERSON,CALLED,2025-05-27 11:22:23,2025-05-27 11:22:23,1,0.46,CDR_AGG_PERSON_0023_PERSON_0063,1,LIKELY
REL_000092,PERSON_0074,PERSON,PERSON_0419,PERSON,CALLED,2024-09-11 07:58:10,2024-09-11 07:58:10,1,0.49,CDR_AGG_PERSON_0074_PERSON_0419,1,WEAK
REL_000093,PERSON_1232,PERSON,PERSON_1469,PERSON,CALLED,2026-05-28 05:55:50,2026-05-28 05:55:50,1,0.77,CDR_AGG_PERSON_1232_PERSON_1469,1,UNKNOWN
REL_000094,PERSON_0221,PERSON,PERSON_0908,PERSON,CALLED,2024-08-14 21:45:28,2024-08-14 21:45:28,1,0.54,CDR_AGG_PERSON_0221_PERSON_0908,1,UNKNOWN
REL_000095,PERSON_0174,PERSON,PERSON_1166,PERSON,CALLED,2024-03-05 06:55:10,2024-03-05 06:55:10,1,0.7,CDR_AGG_PERSON_0174_PERSON_1166,1,WEAK
REL_000096,PERSON_0421,PERSON,PERSON_1273,PERSON,CALLED,2024-11-26 07:22:34,2024-11-26 07:22:34,1,0.51,CDR_AGG_PERSON_0421_PERSON_1273,1,LIKELY
REL_000097,PERSON_0177,PERSON,PERSON_1002,PERSON,CALLED,2025-05-28 06:28:44,2025-05-28 06:28:44,1,0.74,CDR_AGG_PERSON_0177_PERSON_1002,1,WEAK
REL_000098,PERSON_0538,PERSON,PERSON_0923,PERSON,CALLED,2025-08-24 12:33:41,2025-12-31 20:43:29,2,0.76,CDR_AGG_PERSON_0538_PERSON_0923,2,UNKNOWN
REL_000099,PERSON_0008,PERSON,PERSON_1311,PERSON,CALLED,2025-07-31 23:17:24,2025-07-31 23:17:24,1,0.55,CDR_AGG_PERSON_0008_PERSON_1311,1,UNKNOWN
REL_000100,PERSON_0051,PERSON,PERSON_0291,PERSON,CALLED,2025-10-07 05:03:12,2025-10-07 05:03:12,1,0.59,CDR_AGG_PERSON_0051_PERSON_0291,1,LIKELY
REL_000101,PERSON_1238,PERSON,PERSON_1251,PERSON,CALLED,2026-01-31 14:09:32,2026-01-31 14:09:32,1,0.52,CDR_AGG_PERSON_1238_PERSON_1251,1,LIKELY
REL_000102,PERSON_0362,PERSON,PERSON_0564,PERSON,CALLED,2025-07-31 22:12:00,2025-07-31 22:12:00,1,0.5,CDR_AGG_PERSON_0362_PERSON_0564,1,WEAK
REL_000103,PERSON_0543,PERSON,PERSON_1391,PERSON,CALLED,2025-09-12 11:11:26,2025-09-12 11:11:26,1,0.79,CDR_AGG_PERSON_0543_PERSON_1391,1,LIKELY
REL_000104,PERSON_0483,PERSON,PERSON_1014,PERSON,CALLED,2025-10-19 03:10:53,2025-10-19 03:10:53,1,0.8,CDR_AGG_PERSON_0483_PERSON_1014,1,WEAK
REL_000105,PERSON_0995,PERSON,PERSON_1161,PERSON,CALLED,2024-04-26 22:56:21,2024-04-26 22:56:21,1,0.5,CDR_AGG_PERSON_0995_PERSON_1161,1,UNKNOWN
REL_000106,PERSON_0780,PERSON,PERSON_0836,PERSON,CALLED,2025-01-13 13:31:08,2025-01-13 13:31:08,1,0.43,CDR_AGG_PERSON_0780_PERSON_0836,1,LIKELY
REL_000107,PERSON_0725,PERSON,PERSON_1408,PERSON,CALLED,2025-06-08 03:23:27,2025-06-08 03:23:27,1,0.62,CDR_AGG_PERSON_0725_PERSON_1408,1,WEAK
REL_000108,PERSON_0356,PERSON,PERSON_1413,PERSON,CALLED,2026-06-14 23:45:59,2026-06-14 23:45:59,1,0.73,CDR_AGG_PERSON_0356_PERSON_1413,1,LIKELY
REL_000109,PERSON_1482,PERSON,PERSON_1498,PERSON,CALLED,2026-03-05 03:25:28,2026-03-05 03:25:28,1,0.61,CDR_AGG_PERSON_1482_PERSON_1498,1,LIKELY
REL_000110,PERSON_0488,PERSON,PERSON_1354,PERSON,CALLED,2024-08-08 19:32:36,2024-08-08 19:32:36,1,0.79,CDR_AGG_PERSON_0488_PERSON_1354,1,WEAK
REL_000111,PERSON_0027,PERSON,PERSON_0603,PERSON,CALLED,2024-12-24 00:59:09,2024-12-24 00:59:09,1,0.68,CDR_AGG_PERSON_0027_PERSON_0603,1,LIKELY
REL_000112,PERSON_0584,PERSON,PERSON_0591,PERSON,CALLED,2025-08-29 18:14:40,2025-08-29 18:14:40,1,0.5,CDR_AGG_PERSON_0584_PERSON_0591,1,WEAK
REL_000113,PERSON_0197,PERSON,PERSON_0868,PERSON,CALLED,2024-07-11 17:17:32,2024-07-11 17:17:32,1,0.45,CDR_AGG_PERSON_0197_PERSON_0868,1,UNKNOWN
REL_000114,PERSON_0788,PERSON,PERSON_0917,PERSON,CALLED,2025-04-02 18:11:15,2025-04-02 18:11:15,1,0.61,CDR_AGG_PERSON_0788_PERSON_0917,1,WEAK
REL_000115,PERSON_0700,PERSON,PERSON_1458,PERSON,CALLED,2024-03-16 03:41:20,2024-03-16 03:41:20,1,0.76,CDR_AGG_PERSON_0700_PERSON_1458,1,WEAK
REL_000116,PERSON_0682,PERSON,PERSON_0871,PERSON,CALLED,2026-04-30 18:39:14,2026-04-30 18:39:14,1,0.52,CDR_AGG_PERSON_0682_PERSON_0871,1,UNKNOWN
REL_000117,PERSON_0070,PERSON,PERSON_0259,PERSON,CALLED,2024-04-29 08:42:49,2024-04-29 08:42:49,1,0.62,CDR_AGG_PERSON_0070_PERSON_0259,1,UNKNOWN
REL_000118,PERSON_0171,PERSON,PERSON_0506,PERSON,CALLED,2026-04-11 14:56:01,2026-04-11 14:56:01,1,0.7,CDR_AGG_PERSON_0171_PERSON_0506,1,WEAK
REL_000119,PERSON_0348,PERSON,PERSON_1201,PERSON,CALLED,2026-06-23 05:23:07,2026-06-23 05:23:07,1,0.77,CDR_AGG_PERSON_0348_PERSON_1201,1,UNKNOWN
REL_000120,PERSON_0102,PERSON,PERSON_0395,PERSON,CALLED,2024-01-01 19:27:41,2024-01-01 19:27:41,1,0.43,CDR_AGG_PERSON_0102_PERSON_0395,1,LIKELY
REL_000121,PERSON_0066,PERSON,PERSON_1366,PERSON,CALLED,2025-02-03 17:22:05,2025-02-03 17:22:05,1,0.83,CDR_AGG_PERSON_0066_PERSON_1366,1,WEAK
REL_000122,PERSON_0387,PERSON,PERSON_0847,PERSON,CALLED,2024-02-21 07:32:20,2024-02-21 07:32:20,1,0.59,CDR_AGG_PERSON_0387_PERSON_0847,1,UNKNOWN
REL_000123,PERSON_0690,PERSON,PERSON_0993,PERSON,CALLED,2025-01-27 22:17:58,2025-01-27 22:17:58,1,0.61,CDR_AGG_PERSON_0690_PERSON_0993,1,WEAK
REL_000124,PERSON_0303,PERSON,PERSON_1111,PERSON,CALLED,2026-03-21 09:55:17,2026-03-21 09:55:17,1,0.57,CDR_AGG_PERSON_0303_PERSON_1111,1,UNKNOWN
