case_id,fir_id,crime_type,city,status,opened_date
CASE_0048,FIR_0048,smuggling,Hyderabad,chargesheet_filed,2026-01-31 00:50:01
CASE_0049,FIR_0049,forgery,Bhopal,under_investigation,2025-10-01 16:09:40
CASE_0051,FIR_0051,organized financial crime,Ahmedabad,closed,2025-05-27 11:46:10
CASE_0052,FIR_0052,illegal betting,Delhi,closed,2026-05-28 09:51:44
CASE_0053,FIR_0053,smuggling,Bhopal,chargesheet_filed,2025-10-11 05:55:54
CASE_0054,FIR_0054,cyber fraud,Jaipur,chargesheet_filed,2026-03-30 11:02:20
CASE_0059,FIR_0059,organized theft,Ahmedabad,closed,2024-06-19 18:36:43
CASE_0060,FIR_0060,forgery,Pune,chargesheet_filed,2025-03-10 15:54:33
CASE_0062,FIR_0062,organized theft,Chandigarh,under_investigation,2025-09-20 07:15:06
CASE_0064,FIR_0064,cyber fraud,Indore,closed,2025-01-21 23:06:35
CASE_0067,FIR_0067,cyber fraud,Delhi,closed,2025-05-07 19:34:16
CASE_0069,FIR_0069,organized theft,Pune,closed,2025-10-12 08:26:24
CASE_0070,FIR_0070,organized financial crime,Indore,under_investigation,2026-02-27 21:38:32
CASE_0071,FIR_0071,financial fraud,Mumbai,closed,2025-01-19 13:29:46
CASE_0072,FIR_0072,forgery,Indore,chargesheet_filed,2025-04-01 19:16:24
CASE_0074,FIR_0074,forgery,Indore,chargesheet_filed,2024-10-08 13:16:33
CASE_0075,FIR_0075,extortion,Ahmedabad,closed,2024-07-20 03:29:44
CASE_0076,FIR_0076,financial fraud,Ahmedabad,closed,2024-12-17 16:23:59
CASE_0077,FIR_0077,organized financial crime,Indore,chargesheet_filed,2025-09-05 12:30:16
CASE_0078,FIR_0078,robbery,Bhopal,chargesheet_filed,2025-03-02 18:23:39
CASE_0079,FIR_0079,smuggling,Indore,closed,2025-05-23 02:59:43
CASE_0080,FIR_0080,smuggling,Pune,under_investigation,2025-02-14 08:20:31
CASE_0081,FIR_0081,vehicle theft,Chandigarh,closed,2024-09-17 23:03:00
CASE_0083,FIR_0083,organized theft,Mumbai,closed,2024-10-25 13:25:35
CASE_0084,FIR_0084,robbery,Mumbai,chargesheet_filed,2024-11-02 15:20:54
CASE_0086,FIR_0086,financial fraud,Hyderabad,under_investigation,2025-01-16 07:48:18
CASE_0087,FIR_0087,forgery,Lucknow,closed,2024-11-18 15:55:19
CASE_0089,FIR_0089,forgery,Lucknow,under_investigation,2024-10-12 10:26:04
CASE_0090,FIR_0090,cyber fraud,Lucknow,chargesheet_filed,2026-03-13 02:17:12
CASE_0091,FIR_0091,robbery,Ahmedabad,under_investigation,2024-07-31 01:02:18
CASE_0092,FIR_0092,extortion,Mumbai,under_investigation,2026-02-19 15:29:09
CASE_0094,FIR_0094,vehicle theft,Jaipur,chargesheet_filed,2026-05-23 18:59:00
CASE_0095,FIR_0095,organized theft,Hyderabad,under_investigation,2024-08-22 18:12:19
CASE_0096,FIR_0096,financial fraud,Bhopal,under_investigation,2025-10-30 16:47:31
CASE_0097,FIR_0097,forgery,Indore,under_investigation,2026-03-19 07:39:03
CASE_0101,FIR_0101,robbery,Jaipur,closed,2026-03-05 02:04:36
CASE_0102,FIR_0102,illegal betting,Mumbai,closed,2025-08-18 19:48:29
CASE_0103,FIR_0103,financial fraud,Chandigarh,under_investigation,2025-03-18 22:40:51
CASE_0104,FIR_0104,organized financial crime,Lucknow,closed,2025-12-03 05:35:00
CASE_0105,FIR_0105,smuggling,Jaipur,chargesheet_filed,2025-07-14 04:59:04
CASE_0106,FIR_0106,illegal betting,Hyderabad,under_investigation,2024-12-30 00:16:01
CASE_0109,FIR_0109,financial fraud,Delhi,under_investigation,2025-07-03 14:53:45
CASE_0111,FIR_0111,extortion,Delhi,closed,2024-08-06 00:20:56
CASE_0112,FIR_0112,smuggling,Delhi,under_investigation,2025-03-02 16:20:54
CASE_0114,FIR_0114,cyber fraud,Pune,under_investigation,2025-06-18 19:07:54
CASE_0115,FIR_0115,illegal betting,Bhopal,closed,2025-02-23 04:27:12
CASE_0117,FIR_0117,smuggling,Lucknow,closed,2025-02-17 20:31:43
CASE_0118,FIR_0118,extortion,Delhi,closed,2026-03-22 23:22:56
CASE_0119,FIR_0119,smuggling,Ahmedabad,closed,2025-06-21 13:25:37
CASE_0120,FIR_0120,vehicle theft,Mumbai,closed,2025-11-01 15:31:41
CASE_0121,FIR_0121,smuggling,Pune,chargesheet_filed,2025-05-06 22:48:31
CASE_0122,FIR_0122,cyber fraud,Mumbai,chargesheet_filed,2026-02-25 00:17:44
CASE_0127,FIR_0127,organized financial crime,Mumbai,under_investigation,2025-08-31 01:49:41
CASE_0128,FIR_0128,financial fraud,Hyderabad,under_investigation,2025-05-20 05:24:37
CASE_0129,FIR_0129,cyber fraud,Chandigarh,chargesheet_filed,2024-09-05 21:00:23
CASE_0130,FIR_0130,financial fraud,Pune,chargesheet_filed,2025-06-08 13:20:06
CASE_0136,FIR_0136,smuggling,Lucknow,closed,2025-09-08 02:06:25
CASE_0137,FIR_0137,vehicle theft,Lucknow,under_investigation,2024-06-11 01:28:09
CASE_0139,FIR_0139,financial fraud,Mumbai,under_investigation,2024-07-17 13:48:31
CASE_0140,FIR_0140,vehicle theft,Ahmedabad,under_investigation,2024-12-07 20:24:19
CASE_0141,FIR_0141,cyber fraud,Delhi,closed,2026-04-25 12:12:21
CASE_0142,FIR_0142,extortion,Ahmedabad,chargesheet_filed,2026-02-22 20:08:31
CASE_0143,FIR_0143,robbery,Chandigarh,under_investigation,2025-01-24 18:56:41
CASE_0144,FIR_0144,financial fraud,Lucknow,closed,2026-01-09 07:17:42
CASE_0145,FIR_0145,organized theft,Hyderabad,chargesheet_filed,2025-02-17 03:56:41
CASE_0146,FIR_0146,financial fraud,Hyderabad,under_investigation,2026-03-21 01:38:24
CASE_0148,FIR_0148,cyber fraud,Delhi,under_investigation,2025-11-20 14:00:51
CASE_0150,FIR_0150,extortion,Jaipur,under_investigation,2024-07-19 09:33:38
CASE_0153,FIR_0153,extortion,Delhi,chargesheet_filed,2024-11-03 16:32:04
CASE_0155,FIR_0155,organized theft,Chandigarh,closed,2025-03-15 10:33:57
CASE_0156,FIR_0156,vehicle theft,Chandigarh,under_investigation,2025-03-27 20:49:16
CASE_0157,FIR_0157,robbery,Lucknow,under_investigation,2024-12-30 12:47:10
CASE_0160,FIR_0160,smuggling,Mumbai,closed,2025-09-09 14:05:15
CASE_0162,FIR_0162,vehicle theft,Ahmedabad,under_investigation,2025-04-18 14:54:42
CASE_0163,FIR_0163,extortion,Bhopal,closed,2024-07-09 19:24:57
CASE_0164,FIR_0164,financial fraud,Delhi,chargesheet_filed,2025-06-01 05:34:38
CASE_0165,FIR_0165,illegal betting,Ahmedabad,under_investigation,2024-07-19 09:22:54
CASE_0167,FIR_0167,robbery,Bhopal,chargesheet_filed,2024-10-10 01:07:40
CASE_0168,FIR_0168,forgery,Ahmedabad,under_investigation,2025-11-20 16:33:13
CASE_0169,FIR_0169,robbery,Lucknow,chargesheet_filed,2025-05-29 15:53:03
CASE_0170,FIR_0170,illegal betting,Pune,chargesheet_filed,2025-10-16 09:59:26
CASE_0171,FIR_0171,organized theft,Jaipur,chargesheet_filed,2024-08-16 12:44:17
CASE_0172,FIR_0172,vehicle theft,Indore,under_investigation,2024-11-28 18:44:43
CASE_0173,FIR_0173,illegal betting,Bhopal,closed,2025-08-29 11:23:13
CASE_0174,FIR_0174,organized theft,Delhi,under_investigation,2024-06-30 17:50:58
CASE_0175,FIR_0175,forgery,Pune,under_investigation,2025-05-28 20:52:11
CASE_0176,FIR_0176,robbery,Mumbai,under_investigation,2025-09-15 22:03:36
CASE_0177,FIR_0177,cyber fraud,Lucknow,chargesheet_filed,2026-03-27 15:28:14
CASE_0179,FIR_0179,illegal betting,Jaipur,chargesheet_filed,2025-02-15 10:57:41
CASE_0180,FIR_0180,illegal betting,Hyderabad,chargesheet_filed,2025-01-31 05:39:51
CASE_0181,FIR_0181,organized financial crime,Ahmedabad,closed,2026-05-16 20:35:01
CASE_0182,FIR_0182,organized theft,Delhi,closed,2025-06-13 06:28:28
CASE_0183,FIR_0183,illegal betting,Ahmedabad,chargesheet_filed,2024-11-11 02:03:08
CASE_0184,FIR_0184,illegal betting,Indore,under_investigation,2025-03-15 08:41:07
CASE_0186,FIR_0186,financial fraud,Ahmedabad,under_investigation,2025-10-28 03:34:23
CASE_0187,FIR_0187,cyber fraud,Indore,closed,2025-11-27 13:06:50
CASE_0189,FIR_0189,organized financial crime,Lucknow,under_investigation,2025-01-18 00:50:33
CASE_0190,FIR_0190,extortion,Pune,under_investigation,2024-10-26 23:43:43
CASE_0191,FIR_0191,financial fraud,Chandigarh,under_investigation,2024-06-11 17:44:29
CASE_0193,FIR_0193,forgery,Mumbai,chargesheet_filed,2026-01-12 04:16:49
CASE_0194,FIR_0194,illegal betting,Hyderabad,chargesheet_filed,2025-06-28 18:24:12
CASE_0195,FIR_0195,organized theft,Indore,chargesheet_filed,2025-04-08 11:21:07
CASE_0196,FIR_0196,extortion,Pune,chargesheet_filed,2025-11-01 17:05:17
CASE_0197,FIR_0197,forgery,Lucknow,closed,2025-07-31 04:56:18
CASE_0198,FIR_0198,extortion,Delhi,chargesheet_filed,2024-09-02 22:20:21
CASE_0200,FIR_0200,cyber fraud,Lucknow,chargesheet_filed,2024-11-01 01:40:07
CASE_0201,FIR_0201,extortion,Pune,chargesheet_filed,2024-11-14 04:43:29
CASE_0202,FIR_0202,robbery,Mumbai,closed,2026-03-05 16:18:47
CASE_0204,FIR_0204,forgery,Ahmedabad,chargesheet_filed,2025-05-21 21:19:00
CASE_0205,FIR_0205,cyber fraud,Pune,closed,2025-02-02 00:50:44
CASE_0206,FIR_0206,extortion,Delhi,closed,2026-05-02 12:17:53
CASE_0207,FIR_0207,illegal betting,Ahmedabad,chargesheet_filed,2025-04-26 11:19:55
CASE_0208,FIR_0208,organized financial crime,Jaipur,under_investigation,2025-05-31 07:39:23
CASE_0209,FIR_0209,extortion,Hyderabad,under_investigation,2025-08-12 02:58:51
CASE_0210,FIR_0210,forgery,Delhi,chargesheet_filed,2024-08-13 16:08:57
CASE_0211,FIR_0211,extortion,Bhopal,closed,2024-06-14 19:23:07
CASE_0213,FIR_0213,illegal betting,Bhopal,chargesheet_filed,2025-09-08 09:05:58
CASE_0214,FIR_0214,organized theft,Lucknow,chargesheet_filed,2026-04-13 03:53:47
CASE_0215,FIR_0215,cyber fraud,Indore,chargesheet_filed,2024-07-29 01:51:51
CASE_0216,FIR_0216,smuggling,Jaipur,chargesheet_filed,2025-07-19 13:18:18
CASE_0218,FIR_0218,vehicle theft,Indore,under_investigation,2026-02-11 12:31:23
CASE_0219,FIR_0219,robbery,Delhi,chargesheet_filed,2024-11-09 08:11:08
CASE_0220,FIR_0220,smuggling,Delhi,under_investigation,2025-08-23 16:47:49
CASE_0221,FIR_0221,organized financial crime,Jaipur,under_investigation,2025-03-21 08:38:57
CASE_0222,FIR_0222,cyber fraud,Chandigarh,closed,2024-10-12 19:44:56
CASE_0224,FIR_0224,extortion,Indore,under_investigation,2026-04-05 19:28:26
CASE_0226,FIR_0226,extortion,Pune,chargesheet_filed,2025-07-26 06:32:13
CASE_0227,FIR_0227,vehicle theft,Jaipur,chargesheet_filed,2026-04-29 20:57:46
CASE_0229,FIR_0229,extortion,Jaipur,closed,2024-10-13 06:02:49
CASE_0230,FIR_0230,forgery,Lucknow,under_investigation,2024-11-06 00:04:41
CASE_0231,FIR_0231,forgery,Chandigarh,under_investigation,2025-03-11 05:43:44
CASE_0232,FIR_0232,financial fraud,Indore,under_investigation,2025-03-24 18:57:55
CASE_0233,FIR_0233,cyber fraud,Delhi,chargesheet_filed,2024-07-16 06:46:34
CASE_0235,FIR_0235,vehicle theft,Hyderabad,chargesheet_filed,2025-05-12 15:15:03
CASE_0236,FIR_0236,organized theft,Lucknow,closed,2025-10-15 16:09:03
CASE_0237,FIR_0237,cyber fraud,Mumbai,under_investigation,2025-12-06 10:22:54
CASE_0239,FIR_0239,forgery,Delhi,chargesheet_filed,2024-11-06 08:30:45
CASE_0240,FIR_0240,illegal betting,Chandigarh,chargesheet_filed,2024-08-28 14:11:21
CASE_0241,FIR_0241,extortion,Mumbai,under_investigation,2025-05-03 00:50:23
CASE_0242,FIR_0242,organized theft,Lucknow,chargesheet_filed,2025-07-30 15:16:16
CASE_0243,FIR_0243,extortion,Jaipur,closed,2025-11-05 13:53:34
CASE_0244,FIR_0244,extortion,Jaipur,under_investigation,2026-04-08 01:04:48
CASE_0246,FIR_0246,organized theft,Mumbai,under_investigation,2024-10-22 08:19:39
CASE_0248,FIR_0248,financial fraud,Ahmedabad,closed,2025-05-20 23:17:04
CASE_0249,FIR_0249,vehicle theft,Indore,chargesheet_filed,2024-08-22 18:13:40
CASE_0250,FIR_0250,cyber fraud,Ahmedabad,under_investigation,2025-08-21 16:10:54
CASE_0251,FIR_0251,illegal betting,Jaipur,chargesheet_filed,2025-10-16 21:19:00
CASE_0252,FIR_0252,organized theft,Mumbai,under_investigation,2025-03-18 00:29:54
CASE_0253,FIR_0253,organized theft,Pune,under_investigation,2025-06-10 22:48:22
CASE_0254,FIR_0254,forgery,Pune,under_investigation,2025-11-05 03:48:08
CASE_0255,FIR_0255,extortion,Indore,closed,2026-03-11 22:21:31
CASE_0256,FIR_0256,cyber fraud,Pune,under_investigation,2026-03-05 01:55:32
CASE_0257,FIR_0257,financial fraud,Bhopal,closed,2025-03-15 22:05:26
CASE_0258,FIR_0258,organized theft,Pune,under_investigation,2025-07-26 13:38:15
CASE_0259,FIR_0259,organized theft,Delhi,chargesheet_filed,2025-05-25 18:15:04
CASE_0262,FIR_0262,financial fraud,Jaipur,under_investigation,2025-08-14 06:45:27
CASE_0264,FIR_0264,organized theft,Delhi,under_investigation,2025-01-12 08:37:09
CASE_0265,FIR_0265,vehicle theft,Lucknow,chargesheet_filed,2025-05-16 07:08:03
CASE_0266,FIR_0266,financial fraud,Delhi,closed,2024-10-25 07:00:38
CASE_0267,FIR_0267,organized theft,Hyderabad,closed,2025-10-10 21:14:20
CASE_0268,FIR_0268,organized financial crime,Ahmedabad,chargesheet_filed,2025-05-22 14:47:35
CASE_0269,FIR_0269,organized financial crime,Jaipur,closed,2024-07-10 07:56:55
CASE_0271,FIR_0271,organized financial crime,Jaipur,under_investigation,2025-01-17 07:43:21
CASE_0272,FIR_0272,vehicle theft,Indore,under_investigation,2026-05-13 15:00:40
CASE_0275,FIR_0275,cyber fraud,Pune,chargesheet_filed,2025-05-27 21:59:23
CASE_0276,FIR_0276,smuggling,Bhopal,chargesheet_filed,2026-03-18 14:58:45
CASE_0278,FIR_0278,forgery,Ahmedabad,closed,2026-04-02 12:09:55
CASE_0279,FIR_0279,illegal betting,Delhi,under_investigation,2025-10-26 09:54:30
CASE_0281,FIR_0281,financial fraud,Hyderabad,chargesheet_filed,2025-07-12 20:20:11
CASE_0282,FIR_0282,extortion,Chandigarh,under_investigation,2025-12-24 22:21:35
CASE_0284,FIR_0284,vehicle theft,Jaipur,chargesheet_filed,2026-01-27 07:33:54
CASE_0285,FIR_0285,financial fraud,Indore,under_investigation,2026-01-18 13:49:05
CASE_0286,FIR_0286,illegal betting,Indore,closed,2024-06-05 09:36:15
CASE_0287,FIR_0287,smuggling,Lucknow,chargesheet_filed,2025-09-24 08:19:14
CASE_0288,FIR_0288,extortion,Jaipur,under_investigation,2025-05-16 06:15:00
CASE_0289,FIR_0289,organized financial crime,Lucknow,chargesheet_filed,2026-01-24 09:51:47
CASE_0290,FIR_0290,vehicle theft,Hyderabad,closed,2025-12-18 19:17:14
CASE_0291,FIR_0291,organized financial crime,Hyderabad,closed,2025-10-10 14:27:25
CASE_0293,FIR_0293,organized financial crime,Bhopal,closed,2024-12-29 11:48:46
CASE_0295,FIR_0295,smuggling,Pune,under_investigation,2024-12-25 19:30:38
CASE_0296,FIR_0296,organized financial crime,Pune,closed,2025-11-06 00:00:55
CASE_0298,FIR_0298,forgery,Bhopal,under_investigation,2025-05-03 22:38:54
CASE_0300,FIR_0300,organized theft,Ahmedabad,closed,2025-06-23 14:45:16
